,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Oshi no Ko,推しの子,8.86,"Shueisha, Kadokawa",TV,Completed,11,24 Menit,"Apr 12, 2023",Doga Kobo,"Drama, Reincarnation, Seinen, Showbiz, Supernatural"
1,Kawaisugi Crisis,カワイスギクライシス,6.84,"Pony Canyon, Shueisha, Bit grooove promotion",TV,Completed,12,23 Menit,"Apr 07, 2023",SynergySP,"Comedy, Pets, Sci-Fi, Shounen"
2,Isekai One Turn Kill Neesan,世界ワンターンキル姉さん ～姉同伴の異世界生活はじめました～,6.36,"KlockWorx, Nikkatsu, BS Fuji, Tokyo MX, FUTURE LEAP",TV,Completed,12,23 Menit,"Apr 08, 2023",Gekkou,"Comedy, Fantasy, Isekai, Seinen"
3,Yuusha ga Shinda!,勇者が死んだ！,6.63,"Pony Canyon, Tohokushinsha Film Corporation, Shogakukan, Crunchyroll, WOWMAX",TV,Completed,12,23 Menit,"Apr 07, 2023",LIDENFILMS,"Action, Comedy,  , Fantasy, Harem, Parody"
4,Watashi no Yuri wa Oshigoto desu!,私の百合はお仕事です！,6.71,"Infinite, Ichijinsha",TV,Completed,12,23 Menit,"Apr 06, 2023","Passione, Studio Lings","Comedy, Girls Love, Shoujo Ai"
5,Ousama Ranking: Yuuki no Takarabako,王様ランキング 勇気の宝箱,7.25,"Aniplex, Dentsu, Fuji TV, Kadokawa, Bandai Spirits",TV,Completed,10,22 Menit,"Apr 14, 2023",Wit Studio,"Adventure, Fantasy"
6,Mahoutsukai no Yome Season 2,魔法使いの嫁 SEASON2,7.79,"flying DOG, Sound Team Don Juan, Chiptune, Twin Engine",TV,Completed,12,24 Menit,"Apr 06, 2023",Studio Kafka,"Drama, Fantasy, Mythology, Romance, Shounen"
7,Edomae Elf,江戸前エルフ,7.3,"Kodansha, Heart Company, INSPION Edge",TV,Completed,12,24 Menit,"Apr 08, 2023",C2C,"Comedy, Shounen, Supernatural"
8,Kono Subarashii Sekai ni Bakuen wo!,この素晴らしい世界に爆焔を！,7.53,"Half H.P Studio, Nippon Columbia, Atelier Musa, Kadokawa",TV,Completed,12,23 Menit,"Apr 06, 2023",Drive,"Comedy, Fantasy"
9,Skip to Loafer,キップとローファー,8.19,"Kodansha, Kansai Telecasting, Crunchyroll, A-Sketch, DMM pictures, DMM Music, NetEase",TV,Completed,12,23 Menit,"Apr 04, 2023",P.A. Works,"Drama, School"
10,Kubo-san wa Mob wo Yurusanai,久保さんは僕を許さない,7.6,"Pony Canyon, AT-X, Tokyo MX, Glovision, Shueisha, bilibili, Kadokawa",TV,Completed,12,24 Menit,"Jan 10, 2023",Pine Jam,"Comedy, Romance, School, Seinen"
11,Vinland Saga Season 2,ヴィンランド・サガ SEASON2,8.84,"Dentsu, Kodansha, Twin Engine",TV,Completed,24,26 Menit,"Jan 10, 2023",MAPPA,"Action, Adventure, Drama, Gore, Historical, Seinen"
12,Isekai wa Smartphone to Tomo ni Season 2,異世界はスマートフォンとともに。,6.44,"Sotsu, MediaNet, Pony Canyon, AT-X, Asmik Ace, Hobby Japan, 81 Produce, Kadokawa, CTW",TV,Completed,12,24 Menit,"Apr 03, 2023",J.C.Staff,"Adventure, Comedy, Fantasy, Harem, Isekai, Reincarnation, Romance"
13,Kizuna no Allele,絆のアリル,5.32,"TV Tokyo, Shogakukan-Shueisha Productions, Animax, Movic, Bandai, Shogakukan Music & Digital Entertainment, NTT Plala, Legs, NetEase, Kizuna AI",TV,Completed,12,24 Menit,"Apr 04, 2023","Wit Studio, Signal.MD",Music
14,Kimetsu no Yaiba: Katanakaji no Sato-hen,鬼滅の刃 刀鍛冶の里編,8.42,"Aniplex, Shueisha",TV,Completed,11,26 Menit,"Apr 09, 2023",ufotable,"Action, Fantasy, Historical, Shounen"
