,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Koimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,6,24 Menit / Episode,"Nov 23, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
1,Onimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,4,24 Menit,"Oct 26, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
2,Otorimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,4,24 Menit,"Sep 21, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
3,Kabukimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,4,24 Menit,"Aug 17, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
4,Nekomonogatari: Shiro,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,5,24 Menit,"Jul 06, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
5,Koyomimonogatari,暦物語,7.78,"Aniplex, Kodansha",BD,Completed,12,14 Menit,"Jan 10, 2016",Shaft,"Comedy, Mystery, Supernatural"
6,Owarimonogatari Season 2,終物語,9.04,"Aniplex, Kodansha",BD,Completed,7,22 Menit,"Aug 12, 2017",Shaft,"Comedy, Mystery, Supernatural"
7,Owarimonogatari,終物語,8.42,Aniplex,BD,Completed,12,26 Menit,"Oct 4, 2015",Shaft,"Comedy, Mystery, Supernatural"
8,Tsukimonogatari,憑物語,8.2,Aniplex,BD,Completed,4,24 Menit / Episode,"Dec 31, 2014",Shaft,"Comedy, Mystery, Supernatural"
9,Hanamonogatari,花物語,8.1,"Aniplex, Kodansha",BD,Completed,5,25 Menit,"Aug 16, 2014",Shaft,"Comedy, Mystery, Supernatural"
10,Nekomonogatari: Kuro,猫物語（黒）,8.06,"Aniplex, Kodansha",BD,Completed,4,24 Menit,"Dec 31, 2012",Shaft,"Comedy, Romance, Supernatural"
11,Nisemonogatari,偽物語,8.21,"Aniplex, Kodansha, Rakuonsha",BD,Completed,11,24 Menit,"Jan 08, 2012",Shaft,"Comedy, Mystery, Supernatural"
12,Bakemonogatari,化物語,8.37,"Aniplex, Kodansha",BD,Completed,15,24 Menit,"Jul 03, 2009",Shaft,"Mystery, Romance, Supernatural, Vampire"
13,Arslan Senki Season 2,アルスラーン戦記 風塵乱舞,7.6,"Mainichi Broadcasting System, Magic Capsule, Ultra Super Pictures, Graphinica, NBCUniversal Entertainment Japan",BD,Completed,8,24 Menit,"Jul 3, 2016",LIDENFILMS,"Action, Adventure, Drama, Fantasy, Historical, Shounen, Supernatural"
14,Boku no Hero Academia Season 3,僕のヒーローアカデミア 3rdシーズン,8.68,Shueisha,TV,Completed,25,23 Menit,"Apr 7, 2018",Bones,"Action, Comedy, School, Shounen, Super Power"
15,Boku no Hero Academia Season 2,僕のヒーローアカデミア 2ndシーズン,8.77,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",BD,Completed,25,23 Menit,"Apr 1, 2017",Bones,"Action, Comedy, School, Shounen, Super Power"
16,Blood Lad,ブラッドラッド,7.52,"Kadokawa Shoten, KlockWorx, flying DOG",BD,Completed,10,24 Menit,"Jul 8, 2013",Brain's Base,"Action, Comedy, Demons, Seinen, Supernatural, Vampire"
17,Arakawa Under the Bridge Season 2,荒川アンダー ザブリッジ×ブリッジ,7.84,"Square Enix, Starchild Records, TV Tokyo Music, Other",BD,Completed,13,23 Menit / Episode,"Oct 4, 2010",Shaft,"Comedy, Romance, Seinen"
18,Arakawa Under the Bridge,荒川アンダー ザ ブリッジ,7.69,"Square Enix, Starchild Records, Rakuonsha",BD,Completed,13,24 Menit,"Apr 5, 2010",Shaft,"Comedy, Romance, Seinen"
19,Ao no Exorcist,青の祓魔師(エクソシスト),7.9,"Aniplex, Dentsu, Mainichi Broadcasting System, Other.",BD,Completed,25,24 Menit,"Apr 17, 2011",A-1 Pictures,"Action, Demons, Fantasy, Shounen, Supernatural"
20,W'z,ウィズ,5.76,Frontier Works,TV,Completed,13,23 Menit,"Jan 6, 2019",GoHands,"Action, Music"
21,Tokyo Ravens,東京レイヴンズ,7.76,"Geneon Universal Entertainment, Movic, Bushiroad, Showgate, Tokyo MX, Fujimi Shobo",BD,Completed,24,23 Menit,"Oct 9, 2013",8bit,"Comedy, School, Shounen, Super Power, Supernatural"
22,Ao Haru Ride,アオハライド,7.86,"Mainichi Broadcasting System, Movic",BD,Completed,12,23 Menit / Episode,"Jul 8, 2014",Production I.G,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
23,Ansatsu Kyoushitsu Season 2,暗殺教室　第２期,8.64,"Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",BD,Completed,25,23 Menit,"Jan 8, 2016",Lerche,"Action, Comedy, School, Shounen"
24,Nanatsu no Taizai Season 2,七つの大罪 戒めの復活,8.27,"Aniplex, Dentsu, Kodansha, Movic, Sammy",TV,Completed,24,24 Menit,"Jan 13, 2018",A-1 Pictures,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural"
