,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Tsuki to Laika to Nosferatu,月とライカと吸血姫,7.37,Bandai Namco Arts,TV,Completed,12,23 Menit,"Okt 04, 2021",Arvo Animation,"Sci-Fi, Space, Vampire"
1,Mieruko-chan,見える子ちゃん,7.55,"Magic Capsule, Kadokawa",TV,Completed,12,24 Menit,"Oct 3, 2021",Passione,"Comedy, Horror, Supernatural"
2,Heike Monogatari,平家物語,7.75,"Dentsu, Pony Canyon, Fuji TV, Asmik Ace, BS Fuji, bilibili",TV,Completed,11,22 Menit,"Sep 16, 2021",Science SARU,Historical
3,Mob Psycho 100 Season 2,モブサイコ100 II,9.0,"Warner Bros. Japan, Shogakukan",TV,Completed,13,24 Menit,"Jan 7, 2019",Bones,"Action, Comedy, Slice of Life, Supernatural"
4,Jahy-sama wa Kujikenai!,ジャヒー様はくじけない！,7.12,"Square Enix, ABC Animation",TV,Completed,20,23 Menit,"Aug 1, 2021",SILVER LINK.,"Comedy, Shounen, Supernatural"
5,Blue Period,ブルーピリオド,7.9,"DMM pictures, DMM Music",TV,Completed,12,23 Menit,"Oct 2, 2021",Seven Arcs,"Drama, School, Seinen, Slice of Life"
6,Isekai Shokudou Season 2,異世界食堂 2,7.64,DMM pictures,TV,Completed,12,23 Min,"Oct 2, 2021",OLM,"Fantasy, Gourmet, Slice of Life"
7,Kimetsu no Yaiba: Mugen Ressha-hen,鬼滅の刃 無限列車編,8.33,"Aniplex, Shueisha",TV,Completed,7,25 Menit,"Oct 10, 2021",ufotable,"Demons, Historical, Shounen, Supernatural"
8,Getsuyoubi no Tawawa Season 2,月曜日のたわわ2,6.67,NBCUniversal Entertainment Japan,TV,Completed,12,6 Menit,"Sep 20, 2021",Yokohama Animation Lab," , Slice of Life"
9,Edens Zero,EDENS ZERO,7.35,"Magic Capsule, Nippon Television Music",TV,Completed,25,24 Menit,"Apr 11, 2021",J.C.Staff,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen"
10,Deatte 5-byou de Battle,出会って5秒でバトル,6.84,"Shogakukan-Shueisha Productions, Studio A-CAT",TV,Completed,12,23 Menit,"Jul 13, 2021","SynergySP, Vega Entertainment","Action, Super Power, Supernatural"
11,Hamefura Season 2,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…X,7.33,Nichion,TV,Completed,12,23 Menit,"Jul 3, 2021",SILVER LINK.,"Comedy, Drama, Fantasy, Harem, Romance, School, Shoujo"
12,Heion Sedai no Idaten-tachi,平穏世代の韋駄天達,7.72,Fuji TV,TV,Completed,11,22 Menit,"Jul 23, 2021",MAPPA,"Action, Adventure, Demons, Fantasy, Seinen"
13,Magia Record Season 2,マギアレコード 魔法少女まどか☆マギカ外伝 2nd Season,7.04,Aniplex,TV,Completed,8,23 Menit,"Jul 31, 2021",Shaft,"Drama, Magic, Psychological, Thriller"
14,Re-Main,RE-MAIN（リメイン）,7.25,Bandai Namco Arts,TV,Completed,12,23 Menit,"Jul 4, 2021",MAPPA,"School, Sports"
15,D_Cide Traumerei the Animation,D_CIDE TRAUMEREI（ディーサイドトロイメライ）,5.88,"Bushiroad, Bit grooove promotion",TV,Completed,13,23 Menit,"Jul 10, 2021",SANZIGEN,"Action, Adventure, Drama, Fantasy, Magic"
16,Higurashi no Naku Koro ni Sotsu,ひぐらしのなく頃に卒,6.91,-,TV,Completed,15,23 Menit,"Jul 1, 2021",Passione,"Dementia, Horror, Mystery, Psychological, Supernatural, Thriller"
17,Sonny Boy,Sonny Boy,7.68,Shochiku,TV,Completed,12,24 Menit,"Jun 19, 2021",Madhouse,"Sci-Fi, Super Power"
18,Uramichi Oniisan,うらみちお兄さん,7.78,"King Records, Bit grooove promotion",TV,Completed,13,23 Menit,"Jul 6, 2021",Studio Blanc,"Comedy, Slice of Life"
19,Kaizoku Oujo,海賊王女,7.28,"flying DOG, DMM pictures, Crunchyroll SC Anime Fund",TV,Completed,12,24 Menit,"Aug 14, 2021",Production I.G,"Action, Adventure"
20,Tokyo Revengers,東京リベンジャーズ,8.3,Pony Canyon,TV,Completed,24,23 Menit,"Apr 11, 2021",LIDENFILMS,"Action, Drama, School, Shounen"
21,Mahouka Koukou no Yuutousei,魔法科高校の優等生,6.56,Aniplex,TV,Completed,13,24 Menit,"Jul 3, 2021",Connect,"Fantasy, Magic, Sci-Fi"
22,Genjitsu Shugi Yuusha no Oukoku Saikenki,現実主義勇者の王国再建記,7.21,"Magic Bus, King Records",TV,Completed,13,24 Menit,"Jul 4, 2021",J.C.Staff,"Action, Fantasy, Harem, Magic, Military, Romance"
23,Bokutachi no Remake,ぼくたちのリメイク,7.52,"Studio Mausu, Bushiroad Music, Front Wing",TV,Completed,12,25 Menit,"Jul 3, 2021",feel.,"Comedy, Drama, Romance, Slice of Life"
24,Kageki Shoujo!!,かげきしょうじょ!!,7.85,"Hakusensha, King Records",TV,Completed,13,24 Menit,"Jul 4, 2021",Pine Jam,"Drama, School, Shoujo"
