,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Yuru Camp,ゆるキャン△,8.32,"AT-X, Sony Music Communications, MAGES., 81 Produce, BS11, Furyu, Crunchyroll SC Anime Fund",TV,Completed,12,23 Menit / Episode,"Jan 4, 2018 sampai Mar 22, 2018",C-Station,"Comedy, Slice of Life"
1,Granblue Fantasy The Animation,GRANBLUE FANTASY The Animation,6.8,"Aniplex, Tohokushinsha Film Corporation, Cygames",TV,Completed,13,23 Menit,"Apr 2, 2017",A-1 Pictures,"Adventure, Fantasy"
2,Arifureta,ありふれた職業で世界最強,6.38,Overlap,TV,Completed,13,24 Menit,"Jul 8, 2019","Asread, White Fox","Action, Adventure, Fantasy, Harem"
3,Knight's & Magic,ナイツ&マジック,7.28,"Bandai Visual, Genco, Lantis, AT-X, Magic Capsule, Q-Tec, Hakuhodo DY Music & Pictures",BD,Completed,13,24 Menit,"Jul 2, 2017",8bit,"Action, Fantasy, Mecha, School"
4,Carole & Tuesday,キャロル&チューズデイ,8.12,"Fuji TV, flying DOG",TV,Completed,24,22 Menit,"Apr 11, 2019",Bones,"Drama, Music, Romance, Sci-Fi"
5,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,この世の果てで恋を唄う少女YU-NO,6.77,Genco,TV,Completed,26,24 Menit,"Apr 2, 2019",feel.,"Drama, Sci-Fi"
6,Strike Witches,ストライクウィッチーズ,7.08,"GDH, Kadokawa Shoten, KlockWorx, NTT Docomo",BD,Completed,12,24 Menit,"Jul 4, 2008",Gonzo,"Action,  , Magic, Military, Sci-Fi"
7,Cop Craft,COP CRAFT [コップクラフト],6.96,-,TV,Completed,12,23 Menit,"Jul 9, 2019",Millepensee,"Action, Fantasy, Magic, Police, Sci-Fi"
8,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車 Grace note-,7.44,"Aniplex, Notes",TV,Completed,13,23 Menit,"Jul 7, 2019",TROYCA,"Fantasy, Mystery, Supernatural"
9,Okaasan online,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？,5.85,"Toranoana, Q-Tec, Contents Seed",TV,Completed,12,23 Menit,"Jul 13, 2019",J.C.Staff,"Adventure, Comedy, Fantasy"
10,Fairy Tail Season 3,FAIRY TAIL ファイナルシリーズ,8.44,Avex Pictures,TV,Completed,-,24 Menit / Episode,"Oct 7, 2018","A-1 Pictures, Bridge","Action, Adventure, Comedy, Fantasy, Magic, Shounen"
11,Toaru Kagaku no Accelerator,とある科学の一方通行〈アクセラレータ〉,7.25,"Square Enix, Movic, AT-X, Warner Bros. Japan, NBCUniversal Entertainment Japan, Kadokawa",TV,Completed,12,23 Menit,"Jul 12, 2019",J.C.Staff,"Fantasy, School, Super Power, Supernatural"
12,Danmachi Season 2,ダンジョンに出会いを求めるのは間違っているだろうか 2期,7.54,"Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, Hakuhodo DY Music & Pictures, Egg Firm, Furyu, Gree",TV,Completed,12,24 Menit,"Jul 13, 2019",J.C.Staff,"Action, Adventure, Comedy, Fantasy, Romance"
13,Granbelm,グランベルム,7.0,Infinite,TV,Completed,12,24 Menit,"Jul 6, 2019",Nexus,"Fantasy, Magic"
14,Machikado Mazoku,まちカドまぞく,7.78,"Pony Canyon, TBS, Houbunsha, Medicos Entertainment, RAY",TV,Completed,12,24 Menit,"Jul 12, 2019",J.C.Staff,"Comedy, Magic, Slice of Life"
15,Isekai Cheat Magician,異世界チート魔術師〈マジシャン,5.58,"AT-X, KBS, Kadokawa Media House, Kadokawa, Shufunotomo",TV,Completed,12,23 Menit,"Jul 10, 2019",Encourage Films,"Action, Adventure, Fantasy"
16,K Season 2,K RETURN OF KINGS,7.74,"Starchild Records, Mainichi Broadcasting System, Studio Tulip, Glovision",TV,Completed,13,24 Menit,"Oct 3, 2015",GoHands,"Action, Super Power, Supernatural"
17,K-Project,K,7.64,"Starchild Records, Mainichi Broadcasting System, KlockWorx",BD,Completed,13,24 Menit,"Oct 5, 2012",GoHands,"Action, Super Power, Supernatural"
