,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Dr. Stone,ドクターストーン,8.49,Shueisha,TV,Completed,24,23 Menit,"Jul 5, 2019",TMS Entertainment,"Adventure, Sci-Fi, Shounen"
1,Chuubyou Gekihatsu Boy,厨病激発ボーイ,6.89,"Lantis, Ai Addiction",TV,Completed,11,23 Menit,"Oct 4, 2019",Studio Deen,"Comedy, Music, School"
2,Hataage! Kemono Michi,旗揚! けものみち,6.94,"AT-X, Nippon Columbia, Sammy, Kadokawa Media House, Kadokawa, CA-Cygames Anime Fund",TV,Completed,12,23 Menit,"Oct 2, 2019",ENGI,"Comedy, Fantasy, Shounen"
3,Kimetsu no Yaiba,鬼滅の刃,8.93,"Aniplex, Shueisha",TV,Completed,26,24 Menit,"Apr 6, 2019",ufotable,"Action, Demons, Historical, Shounen, Supernatural"
4,Grisaia no Rakuen,グリザイアの楽園,8.0,"Frontier Works, AT-X, Bushiroad, NBCUniversal Entertainment Japan, i0+",BD,Completed,10,24 Menit,"Apr 19, 2015",8bit,"Drama, Harem, Psychological, Romance"
5,Grisaia no Kajitsu,グリザイアの果実,7.65,"Frontier Works, AT-X, Bushiroad, NBCUniversal Entertainment Japan",BD,Completed,13,23 Menit,"Oct 5, 2014",8bit,"Drama, Harem, Psychological, Romance, School"
6,Gokukoku no Brynhildr,極黒のブリュンヒルデ,7.02,VAP,BD,Completed,13,23 Menit,"Apr 6, 2014",Arms,"Drama, Mystery, Sci-Fi, Seinen"
7,Ichigo Mashimaro,苺ましまろ,7.7,"TBS, Movic",BD,Completed,12,24 Menit,"Jul 15, 2005",Daume,"Comedy, Slice of Life"
8,Oneechan ga Kita,お姉ちゃんが来た,6.45,"Takeshobo, Studio CHANT",BD,Completed,12,3 Menit,"Jan 9, 2014",C2C,"Comedy, Slice of Life"
9,Kono Oto Tomare!,この音とまれ！,7.82,Shueisha,TV,Completed,13,23 Menit,"Apr 7, 2019",Platinum Vision,"Drama, Music, School, Shounen"
10,Higurashi no Naku Koro ni,ひぐらしのなく頃に,8.05,"Geneon Universal Entertainment, Frontier Works, Sotsu, DAX Production",BD,Completed,26,24 Menit,"Apr 5, 2006",Studio Deen,"Dementia, Horror, Mystery, Psychological, Supernatural, Thriller"
