,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Gekkan Shoujo Nozaki-kun,月刊少女野崎くん,8.16,"TV Tokyo, Frontier Works, Media Factory, AT-X, Sony Music Communications",BD,Completed,12,24 Menit / Episode,"Jul 7, 2014 sampai Sep 22, 2014",Doga Kobo,"Comedy, Romance, School"
1,Shomin Sample,俺がお嬢様学校に『庶民サンプル』としてゲッツされた件,7.04,"Sotsu, AT-X, Memory-Tech, Showgate, Happinet Pictures, BS Fuji, MAGES., Contents Seed, Ichijinsha",BD,Completed,12,23 Menit / Episode,"Oct 7, 2015 sampai Dec 23, 2015",Silver Link.,"Comedy,  , Harem, Romance, School"
2,Gundam Build Fighters Season 2,ガンダムビルドファイターズトライ,7.46,"TV Tokyo, Sotsu",BD,Completed,25,25 Menit / Episode,"Oct 8, 2014 sampai Apr 1, 2015",Sunrise,"Action, Mecha, Sci-Fi"
3,Gundam Build Fighters,ガンダムビルドファイターズ,7.93,"TV Tokyo, Sotsu",BD,Completed,25,25 Menit / Episode,"Oct 7, 2013 sampai Mar 31, 2014",Sunrise,"Action, Mecha, Sci-Fi"
4,Daitoshokan no Hitsujikai,大図書館の羊飼い,7.02,"Felix Film, Brave Hearts",BD,Completed,12,23 Menit / Episode,"Oct 9, 2014 sampai Dec 25, 2014",Hoods Entertainment,"Harem, Romance, School"
5,The Idolmaster Cinderella Girls Season 2,アイドルマスター シンデレラガールズ 2ndシーズン,7.4,"Aniplex, Half H.P Studio, Nippon Columbia, Bandai Namco Games, Anime Consortium Japan",BD,Completed,12,24 Menit / Episode,"Jul 18, 2015 sampai Oct 17, 2015",A-1 Pictures,"Comedy, Drama, Music"
6,The Idolmaster Cinderella Girls,アイドルマスター シンデレラガールズ,7.2,"Aniplex, Half H.P Studio, Nippon Columbia, Bandai Namco Games, Anime Consortium Japan, Cygames",BD,Completed,13,24 Menit / Episode,"Jan 10, 2015 sampai Apr 11, 2015",A-1 Pictures,"Comedy, Drama, Music"
7,Made in Abyss,メイドインアビス,8.91,"Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Co., LTD.",BD,Completed,13,25 Menit / Episode,"Jul 7, 2017 sampai Sep 29, 2017",Kinema Citrus,"Adventure, Drama, Fantasy, Sci-Fi"
8,Shigofumi,Shigofumi: Letters from the Departed,7.58,"Bandai Visual, Genco, Lantis, Rakuonsha",BD,Completed,12,24 Menit / Episode,"Jan 6, 2008 sampai Mar 23, 2008",J.C.Staff,"Drama, Fantasy, Psychological, Supernatural, Thriller"
9,Sore ga Seiyuu!,それが声優！,7.1,Evil Line Records,BD,Completed,13,23 Menit / Episode,"Jul 7, 2015 sampai Sep 29, 2015",Gonzo,"Comedy, Slice of Life"
10,Inou-Battle wa Nichijou-kei no Naka de,異能バトルは日常系のなかで,7.31,"TV Tokyo, Sotsu, Half H.P Studio, Ultra Super Pictures, DIVE II Entertainment, Avex Pictures",BD,Completed,12,24 Menit / Episode,"Oct 7, 2014 sampai Dec 23, 2014",Trigger,"Comedy, Romance, School, Slice of Life, Supernatural"
11,Koi to Senkyo to Chocolate,恋と選挙とチョコレート,7.25,"Aniplex, Lantis, TBS, Magic Capsule",BD,Completed,12,25 Menit / Episode,"Jul 6, 2012 sampai Sep 28, 2012",AIC Build,"Drama, Romance, School"
12,Gingitsune,ぎんぎつね,7.22,"TV Tokyo, Lantis, MediaNet, Pony Canyon, Movic, AT-X, KlockWorx, Glovision, Shueisha",BD,Completed,12,24 Menit / Episode,"Oct 7, 2013 sampai Dec 23, 2013",Diomedea,"Seinen, Slice of Life, Supernatural"
13,Natsuiro Kiseki,夏色キセキ,7.05,"Aniplex, Lantis, Mainichi Broadcasting System, Natsuiro Kiseki Production Partners, Atelier Musa",BD,Completed,12,24 Menit / Episode,"Apr 6, 2012 sampai Jun 29, 2012",Sunrise,"School, Slice of Life, Supernatural"
14,GJ-bu,GJ部,7.44,"VAP, DAX Production, Nippon Television Network",BD,Completed,12,23 Menit / Episode,"Jan 10, 2013 sampai Mar 28, 2013",Doga Kobo,"Comedy, School, Slice of Life"
15,Hourou Musuko,放浪息子,7.79,"Aniplex, AIC, Dentsu, Fuji TV, Magic Capsule, Enterbrain, Fuji Pacific Music Publishing",BD,Completed,11,23 Menit / Episode,"Jan 14, 2011 sampai Apr 1, 2011",AIC Classic,"Drama, School, Slice of Life"
16,High School Fleet,ハイスクール・フリート,7.33,"Aniplex, Half H.P Studio, Asmik Ace Entertainment, Graphinica, BS11, Contents Seed",BD,Completed,12,24 Menit / Episode,"Apr 10, 2016 sampai Jun 26, 2016",Production IMS,"Action, Military, School"
17,MM!,えむえむっ!,7.3,"Lantis, Media Factory, AT-X",BD,Completed,12,23 Menit / Episode,"Oct 2, 2010 sampai Dec 18, 2010",Xebec,"Comedy,  , Harem, School"
18,Vividred Operation,ビビッドレッド・オペレーション,6.53,"Aniplex, Mainichi Broadcasting System",BD,Completed,12,24 Menit / Episode,"Jan 11, 2013 sampai Mar 29, 2013",A-1 Pictures,"Action,  , Sci-Fi"
19,Youjo Senki,幼女戦記,8.15,"Media Factory, AT-X, Enterbrain, Sony Music Communications",BD,Completed,12,24 Menit / Episode,"Jan 6, 2017 sampai Mar 31, 2017",NUT,"Magic, Military"
20,Kamisama Dolls,神様ドォルズ,7.11,"TV Tokyo, Shogakukan Productions, Media Factory, Half H.P Studio, AT-X, flying DOG, Sony Music Communications",BD,Completed,13,24 Menit / Episode,"Jul 6, 2011 sampai Sep 28, 2011",Brain's Base,"Action, Seinen, Supernatural"
21,Seikimatsu Occult Gakuin,世紀末オカルト学院,7.13,"Aniplex, Xebec, TV Tokyo Music",BD,Completed,13,24 Menit / Episode,"Jul 6, 2010 sampai Sep 28, 2010",A-1 Pictures,"Comedy, Mystery, School, Sci-Fi, Supernatural"
22,Amagami SS Season 2,アマガミSS+ plus,7.57,TBS,BD,Completed,13,24 Menit / Episode,"Jan 6, 2012 sampai Mar 30, 2012",AIC,"Comedy, Romance, School, Slice of Life"
23,Amagami SS,アマガミSS,7.52,"Pony Canyon, TBS, Movic",BD,Completed,25,24 Menit / Episode,"Jul 2, 2010 sampai Dec 24, 2010",AIC,"Comedy, Romance, School, Slice of Life"
24,Fate/kaleid liner Prisma Illya Season 3,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！,7.38,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",BD,Completed,10,23 Menit / Episode,"Jul 25, 2015 sampai Sep 26, 2015",Silver Link.,"Action, Comedy, Fantasy, Magic, Slice of Life"
