,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,100-man no Inochi no Ue ni Ore wa Tatteiru Season 2,100万の命の上に俺は立っている,6.86,,TV,Completed,12,23 Menit,"Jul 10, 2021",Maho Film,"Action, Drama, Fantasy, Game, Shounen"
1,Meikyuu Black Company,迷宮ブラックカンパニー,7.37,"Toy's Factory, Jinnan Studio, Kadokawa",TV,Completed,12,23 Menit,"Jul 9, 2021",SILVER LINK.,"Comedy, Fantasy"
2,Cheat Kusushi no Slow Life,チート薬師のスローライフ～異世界に作ろうドラッグストア～,6.51,,TV,Completed,12,23 Menit,"Jul 7, 2021",EMT Squared,"Comedy, Fantasy"
3,Tsuki ga Michibiku Isekai Douchuu,月が導く異世界道中,7.76,Nichion,TV,Completed,12,23 Menit,"Jul 7, 2021",C2C,"Adventure, Fantasy"
4,Tensei shitara Slime Datta Ken Season 2,転生したらスライムだった件,8.36,Kodansha,TV,Completed,24,23 Menit,"Jan 12, 2021",8bit,"Comedy, Fantasy"
5,Seirei Gensouki,精霊幻想記,7.03,"Nippon Columbia, Kanon Sound, TMS Music",TV,Completed,12,23 Menit,"Jul 6, 2021",TMS Entertainment,"Action, Adventure, Drama, Fantasy, Harem, Romance"
6,"Tantei wa Mou, Shindeiru.",探偵はもう、死んでいる。,6.42,Kadokawa,TV,Completed,12,25 Menit,"Jul 4, 2021",ENGI,"Comedy, Drama, Mystery, Romance"
7,Peach Boy Riverside,ピーチボーイリバーサイド,6.35,Kodansha,TV,Completed,12,23 Menit,"Jul 1, 2021",Asahi Production,"Fantasy, Shounen"
8,Vanitas no Karte,ヴァニタスの手記,7.95,Aniplex,TV,Completed,12,23 Menit,"Jul 3, 2021",Bones,"Fantasy, Historical, Shounen, Supernatural, Vampire"
9,Shinigami Bocchan to Kuro Maid,死神坊ちゃんと黒メイド,7.68,NBC Universal Entertainment Japan,TV,Completed,12,24 Menit,"Jul 4, 2021",J.C.Staff,"Drama, omedy, Romance, Supernatural"
10,Kanojo mo Kanojo,カノジョも彼女,6.72,"Half H.P Studio, NBCUniversal Entertainment Japan, Myrica Music",TV,Completed,12,24 Menit,"Jul 3, 2021",Tezuka Productions,"Comedy, Romance, School, Shounen, Slice of Life"
11,Mairimashita! Iruma-kun Season 2,魔入りました！入間くん,8.13,"NHK, NHK Enterprises",TV,Completed,21,24 Menit,"Apr 17, 2021",Bandai Namco Pictures,"Comedy, Demons, Fantasy, School, Shounen, Supernatural"
12,Megami-ryou no Ryoubo-kun,女神寮の寮母くん。,6.61,"Media Factory, AT-X, Kadokawa Media House, Kadokawa",TV,Completed,10,25 Menit,"Jul 14, 2021",asread.,"Comedy,  , Harem, Romance, Shounen"
13,Muv-Luv Alternative: Total Eclipse,マブラヴ オルタネイティヴ トータル・イクリプス,7.1,"TV Tokyo, Avex Entertainment, AT-X, Magic Capsule, Nippon Cultural Broadcasting",BD,Completed,24,24 Menit,"Jul 2, 2012","Satelight, ixtl","Action, Mecha, Military, Sci-Fi"
14,Girl Friend Beta,ガールフレンド(仮),5.93,"TV Tokyo, VAP, Age Global Networks",BD,Completed,12,24 Menit,"Oct 13, 2014",SILVER LINK.,"School, Slice of Life"
15,Ginga Eiyuu Densetsu,銀河英雄伝説 Die Neue These 邂逅,7.71,Shochiku,TV,Completed,12,25 Menit,"Apr 3, 2018",Production I.G,"Action, Drama, Military, Sci-Fi, Space"
16,Fumetsu no Anata e,不滅のあなたへ,8.54,"NHK, NHK Enterprises",TV,Completed,20,25 Menit,"Apr 12, 2021",Brain's Base,"Adventure, Drama, Shounen, Supernatural"
17,Odd Taxi,オッドタクシー,8.81,"Pony Canyon, Pony Canyon Enterprise",TV,Completed,13,23 Menit,"Apr 6, 2021","OLM, P.I.C.S.",Mystery
18,Nobunagun,ノブナガン,6.69,"VAP, Earth Star Entertainment",BD,Completed,13,24 Menit,"Jan 5, 2014",Bridge,"Action, Sci-Fi, Super Power"
19,Etotama,えとたま（干支魂）,6.83,"Pony Canyon, Tablier Communications",BD,Completed,12,24 Menit,"Apr 9, 2015","Shirogumi, Encourage Films","Action, Comedy, Fantasy"
20,Kyoukaisenjou no Horizon Season 2,境界線上のホライゾンII,7.52,"Bandai Visual, Lantis, ASCII Media Works, Sony PCL",BD,Completed,13,24 Menit,"Jul 8, 2012",Sunrise,"Action, Fantasy, Sci-Fi"
21,Isekai Izakaya,異世界居酒屋～古都アイテーリアの居酒屋のぶ～,7.4,Kadokawa,TV,Completed,24,14 Menit,"Apr 13, 2018",Sunrise,Fantasy
22,Kyoukaisenjou no Horizon,境界線上のホライゾン,7.07,"Bandai Visual, Lantis, ASCII Media Works, Sony PCL",BD,Completed,13,24 Menit,"Oct 2, 2011",Sunrise,"Action, Fantasy, Sci-Fi"
23,Black Clover,ブラッククローバー,8.02,"TV Tokyo, Avex Pictures, Shueisha",TV,Completed,170,23 Menit,"Oct 3, 2017",Studio Pierrot,"Action, Comedy, Fantasy, Magic, Shounen"
24,Shadows House,シャドーハウス,7.82,Aniplex,TV,Completed,13,23 Menit,"Apr 11, 2021",CloverWorks,"Seinen, Slice of Life, Supernatural"
