,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,High School DxD Season 4,ハイスクールDxD HERO,7.58,-,TV,Completed,12,23 Menit / Episode,"Apr 17, 2018 sampai Jul 3, 2018",Passione,"Action, Comedy, Demons,  , Harem, Romance, School"
1,Bokuhaka,ぼくのとなりに暗黒破壊神がいます。,6.75,-,TV,Completed,12,23 Menit,"Jan 11, 2020",EMT Squared,"Comedy, Josei, School, Slice of Life"
2,Hatena Illusion,はてな☆イリュージョン,5.46,-,TV,Completed,11,24 Menit,"Jan 9, 2020",Children's Playground Entertainment,"Comedy,  , Romance, Supernatural"
3,Kyokou Suiri,虚構推理,7.26,Nihon Ad Systems,TV,Completed,12,24 Menit,"Jan 12, 2020",Brain's Base,"Comedy, Demons, Mystery, Romance, Shounen, Supernatural"
4,Koisuru Asteroid,恋する小惑星〈アストロイド〉,6.94,flying DOG,TV,Completed,12,24 Menit,"Jan 3, 2020",Doga Kobo,"Comedy, School, Slice of Life"
5,Runway de Waratte,ランウェイで笑って,7.79,"Mainichi Broadcasting System, Kodansha, DMM pictures",TV,Completed,12,24 Menit,"Jan 11, 2020",Ezόla,"Drama, School, Shounen, Slice of Life"
6,Oshi ga Budoukan Ittekuretara Shinu,推しが武道館いってくれたら死ぬ,7.55,-,TV,Completed,12,24 Menit,"Jan 10, 2020",8bit,"Comedy, Music, Seinen"
7,Shimoneta,下ネタという概念が存在しない退屈な世界,7.4,"Frontier Works, Shogakukan Productions, Genco, Starchild Records, AT-X, KlockWorx",BD,Completed,12,23 Menit,"Jul 4, 2015",J.C.Staff,"Comedy,  , School"
8,Jibaku Shounen Hanako-kun,地縛少年花子くん,7.84,"Square Enix, Studio Hibari, Pony Canyon, Half H.P Studio, Contents Seed",TV,Completed,12,24 Menit,"Jan 10, 2020",Lerche,"Comedy, School, Shounen, Supernatural"
9,Somali to Mori no Kamisama,ソマリと森の神様,7.87,-,TV,Completed,12,23 Menit,"Jan 10, 2020",Satelight,"Adventure, Fantasy, Slice of Life"
10,Nekopara,ネコぱら,6.92,-,TV,Completed,12,24 Menit,"Jan 9, 2020",Felix Film,"Comedy, Romance"
11,Mugen no Juunin: Immortal,無限の住人-IMMORTAL-,7.27,Pony Canyon,ONA,Completed,24,23 Menit,"Oct 10, 2019",LIDENFILMS,"Action, Adventure, Drama, Historical, Martial Arts, Samurai, Seinen, Supernatural"
12,ID:Invaded,ID:INVADED イド:インヴェイデッド,8.02,-,TV,Completed,13,24 Menit,"Jan 6, 2020",NAZ,"Mystery, Sci-Fi"
13,Yatogame-chan Kansatsu Nikki Season 2,八十亀ちゃんかんさつにっき 2さつめ,6.31,-,TV,Completed,12,3 Menit,"Jan 5, 2020","Creators in Pack, Saetta","Comedy, School, Shounen, Slice of Life"
14,Bofuri,痛いのは嫌なので防御力に極振りしたいと思います。,7.67,-,TV,Completed,12,21 Menit,"Jan 8, 2020",Silver Link.,"Action, Adventure, Comedy, Fantasy, Sci-Fi"
15,Nanatsu no Taizai Season 3,七つの大罪 神々の逆鱗,6.26,"TV Tokyo, VAP, Dentsu, Kodansha, Movic, Marvy Jack, Sammy",TV,Completed,24,24 Menit,"Oct 9, 2019",Studio Deen,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural"
16,Eizouken ni wa Te wo Dasu na!,映像研には手を出すな!,8.35,-,TV,Completed,12,25 Menit,"Jan 6, 2020",Science SARU,"Adventure, Comedy, School, Seinen"
17,Heya Camp,へやキャン△,7.11,"Sotsu, AT-X, KlockWorx, Houbunsha, MAGES., BS11, DeNA, Furyu",TV,Completed,12,3 Menit,"Jan 6, 2020",C-Station,"Comedy, Slice of Life"
18,Murenase Seton Gakuen,群れなせ！シートン学園,7.33,Cygames,TV,Completed,12,24 Menit,"Jan 7, 2020",Studio Gokumi,"Comedy, School"
19,Mairimashita! Iruma-kun,魔入りました！入間くん,7.86,"NHK, NHK Enterprises",TV,Completed,23,23 Menit,"Oct 5, 2019",Bandai Namco Pictures,"Comedy, Demons, Fantasy, Shounen, Supernatural"
20,Fate/Grand Order: Zettai Majuu Sensen Babylonia,Fate/Grand Order -絶対魔獣戦線バビロニア-,8.04,Aniplex,TV,Completed,21,23 Menit,"Oct 5, 2019",CloverWorks,"Action, Fantasy, Magic, Supernatural"
21,RikeKoi,理系が恋に落ちたので証明してみた。,7.49,-,TV,Completed,12,24 Menit,"Jan 11, 2020",Zero-G,"Comedy, Romance"
22,Azur Lane,アズールレーン,6.47,Toho,TV,Completed,12,23 Menit,"Oct 3, 2019",Bibury Animation Studios,"Action, Historical, Military"
23,Darwin's Game,ダーウィンズゲーム,7.46,Aniplex,TV,Completed,12,26 Menit,"Jan 4, 2020",Nexus,"Action, Mystery, Shounen"
24,Radiant Season 2,ラディアン 第2シリーズ,7.7,-,TV,Completed,21,24 Menit,"Oct 2, 2019",Lerche,"Action, Adventure, Fantasy, Magic"
