,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Lasdan,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,6.4,"AT-X, NBCUniversal Entertainment Japan, Sammy, BS11, JR East Marketing & Communications, GREE, SB Creative, Tapioca",TV,Completed,12,24 Menit,"Jan 4, 2021",LIDENFILMS,"Adventure, Fantasy"
1,Yakusoku no Neverland Season 2,約束のネバーランド,6.11,"Aniplex, Shueisha",TV,Completed,11,22 Menit,"Jan 8, 2021",CloverWorks,"Mystery, Psychological, Sci-Fi, Shounen, Thriller"
2,Ore dake Haireru Kakushi Dungeon,俺だけ入れる隠しダンジョン,6.25,DMM Music,TV,Completed,12,Unknown,"Jan 9, 2021",Okuruto Noboru,"Action, Adventure,  , Fantasy, Harem"
3,Hataraku Saibou Season 2,はたらく細胞!!,7.33,"Aniplex, Kodansha, Magic Capsule",TV,Completed,8,23 Menit,"Jan 7, 2021",David Production,"Comedy, Shounen"
4,Mushoku Tensei: Isekai Ittara Honki Dasu,無職転生 ～異世界行ったら本気だす～,8.46,"Frontier Works, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE",TV,Completed,11,24 Menit,"Jan 11, 2021",Studio Bind,"Drama, Fantasy, Magic"
5,Urasekai Picnic,裏世界ピクニック,6.56,"Sony Pictures Entertainment, Square Enix, Frontier Works, AT-X, Hakuhodo DY Music & Pictures, Amusement Media Academy, BS11, Good Smile Film, Hayakawa Shobou",TV,Completed,12,23 Menit,"Jan 4, 2021","LIDENFILMS, Felix Film","Adventure, Fantasy, Mystery, Sci-Fi, Shoujo Ai"
6,Tenkuu Shinpan,天空侵犯,6.82,"Kodansha, Netflix",TV,Completed,12,25 Menit,"Feb 25, 2021",Zero-G,"Action, Horror, Mystery"
7,True Tears,true tears,7.36,"Bandai Visual, Lantis",BD,Completed,13,24 Menit,"Jan 6, 2008",P.A. Works,"Drama, Romance, School"
8,Hanasaku Iroha,花咲くいろは,7.95,"Bandai Visual, Sotsu, Yomiuri Telecasting, Lantis, Pony Canyon, Showgate, Infinite",BD,Completed,26,24 Menit,"Apr 3, 2011",P.A. Works,"Comedy, Drama, Slice of Life"
9,Keppeki Danshi! Aoyama-kun,潔癖男子！青山くん,6.99,"Sotsu, TMS Entertainment, Pony Canyon, KlockWorx, Tokyo MX, JR East Marketing & Communications",TV,Completed,12,23 Menit,"Jul 3, 2017",Studio Hibari,"Comedy, Seinen, Sports"
10,The Tatami Galaxy,四畳半神話大系,8.61,"Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",BD,Completed,11,23 Menit,"Apr 23, 2010",Madhouse,"Comedy, Mystery, Psychological, Romance"
11,Mousou Dairinin,妄想代理人,7.68,"WOWOW, Asmik Ace, Tohokushinsha Film Corporation",BD,Completed,13,24 Menit,"Feb 3, 2004",Madhouse,"Dementia, Drama, Mystery, Police, Psychological, Supernatural, Thriller"
12,Gekidol,ゲキドル,5.66,,TV,Completed,12,23 Menit,"Jan 5, 2021",Hoods Entertainment,Music
13,Ochikobore Fruit Tart,おちこぼれフルーツタルト,6.77,"Studio Mausu, Kadokawa",TV,Completed,12,23 Menit,"Oct 12, 2020",feel.,"Music, Slice of Life"
14,Danna ga Nani wo Itteiru ka Wakaranai Ken Season 2,旦那が何を言っているかわからない件2スレ目,7.39,"DAX Production, Dream Creation",BD,Completed,13,3 Menit,"Apr 3, 2015",Seven,"Comedy, Romance, Seinen, Slice of Life"
15,Danna ga Nani wo Itteiru ka Wakaranai Ken,旦那が何を言っているかわからない件,7.39,"DAX Production, Dream Creation",BD,Completed,13,3 Menit,"Oct 3, 2014",Seven,"Comedy, Romance, Seinen, Slice of Life"
16,Denki-gai no Honya-san,デンキ街の本屋さん,7.22,"Sotsu, Pony Canyon, DAX Production, Comic Umenohone, Mobcast",BD,Completed,12,23 Menit,"Oct 2, 2014",Shin-Ei Animation,"Comedy, Seinen, Slice of Life"
17,Plastic Neesan,＋チック姉さん,7.26,Good Smile Company,BD,Completed,12,2 Menit,"May 16, 2011",TYO Animations,"Comedy, School, Seinen"
18,Seiren,セイレン,6.31,"Pony Canyon, TBS, DAX Production, Pony Canyon Enterprise, Stardust Promotion, GYAO!",BD,Completed,12,24 Menit,"Jan 6, 2017","Studio Gokumi, AXsiZ","Romance, School"
19,Kaifuku Jutsushi no Yarinaoshi,回復術士のやり直し,6.31,"Lantis, Glovision",TV,Completed,12,24 Menit,"Jan 13, 2021",TNK," , Fantasy"
20,Gochuumon wa Usagi Desu ka? Season 3,ご注文はうさぎですか? BLOOM,7.98,-,TV,Completed,12,24 Menit,"Oct 10, 2020",Encourage Films,"Comedy, Slice of Life"
21,Akudama Drive,アクダマドライブ,7.83,Delfi Sound,TV,Completed,12,23 Menit,"Oct 8, 2020",Studio Pierrot,"Action, Sci-Fi"
22,Noblesse,NOBLESSE -ノブレス-,6.83,"Glovision, Crunchyroll SC Anime Fund",TV,Completed,13,23 Menit,"Oct 8, 2020",Production I.G,"Action, School, Supernatural, Vampire"
23,Munou na Nana,無能なナナ,7.41,"Square Enix, AT-X, Nippon Columbia, BS Fuji, Hakuhodo DY Music & Pictures, Docomo Anime Store, Yomiuri TV Enterprise, Kanon Sound, NichiNare, Kadokawa, Muse Communication, Show Corporation",TV,Completed,13,23 Menit,"Oct 4, 2020",Bridge,"Psychological, Shounen, Supernatural, Thriller"
24,Mahouka Koukou no Rettousei Season 2,魔法科高校の劣等生 来訪者編,7.42,"Aniplex, Square Enix, Movic, Studio Mausu, Straight Edge, Kadokawa",TV,Completed,13,23 Menit,"Oct 4, 2020",8bit,"Action, Magic, Romance, School, Sci-Fi, Supernatural"
