,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Great Pretender,,8.34,"Production I.G, Fuji TV, BS Fuji, TOHO animation, Hakuhodo DY Media Partners",TV,Completed,23,23 Menit,"Jun 2, 2020",Wit Studio,"Action, Adventure, Comedy, Mystery, Psychological"
1,Lovely Complex,ラブ★コン,8.05,"TBS, TAP, Sony Music Entertainment, Shueisha, Nichion",TV,Completed,24,24 Menit,"Apr 7, 2007",Toei Animation,"Comedy, Romance, Shoujo"
2,Centaur no Nayami,セントールの悩み,6.47,"Tokuma Shoten, MAGES., Yomiuri TV Enterprise, Kanon Sound, Emon, RAY, NichiNare, Top Marshal, Crunchyroll SC Anime Fund",TV,Completed,12,23 Menit,"Jul 9, 2017",Haoliners Animation League,"Comedy, Fantasy, School, Seinen, Slice of Life"
3,Joshiraku,じょしらく,7.49,"Starchild Records, Mainichi Broadcasting System, Kodansha, KlockWorx",BD,Completed,13,24 Menit,"Jul 6, 2012",J.C.Staff,"Comedy, Shounen, Slice of Life"
4,NHK ni Youkoso!,N・H・Kにようこそ！,8.33,"NHK, Victor Entertainment",BD,Completed,24,24 Menit,"Jul 10, 2006",Gonzo,"Comedy, Drama, Psychological, Romance"
5,World Trigger Season 2,ワールドトリガー,8.11,TV Asahi,TV,Completed,12,23 Menit,"Jan 10, 2021",Toei Animation,"Action, School, Sci-Fi, Shounen, Supernatural"
6,Dr. Stone Season 2,ドクターストーン STONE WARS,8.22,Shueisha,TV,Completed,11,24 Menit,"Jan 14, 2021",TMS Entertainment,"Adventure, Sci-Fi, Shounen"
7,Higurashi no Naku Koro ni (2020),ひぐらしのなく頃に,7.17,"Frontier Works, Infinite",TV,Completed,24,23 Menit,"Oct 1, 2020",Passione,"Dementia, Horror, Mystery, Psychological, Supernatural, Thriller"
8,Yuru Camp△ Season 2,ゆるキャン△ SEASON2,8.57,"Half H.P Studio, MAGES., DeNA",TV,Completed,13,23 Menit,"Jan 7, 2021",C-Station,"Comedy, Slice of Life"
9,Wonder Egg Priority,ワンダーエッグ・プライオリティ,8.18,"Aniplex, D.N. Dream Partners",TV,Completed,12,23 Menit,"Jan 13, 2021",CloverWorks,"Drama, Fantasy, Psychological"
10,Soukou Musume Senki,装甲娘戦機,5.75,DMM Music,TV,Completed,12,23 Menit,"Jan 7, 2021",Studio A-CAT,"Action, Fantasy, Military"
11,Log Horizon Season 3,ログ・ホライズン 円卓崩壊,7.02,-,TV,Completed,12,24 Menit,"Jan 13, 2021",Studio Deen,"Action, Adventure, Fantasy, Game, Magic"
12,Kemono Jihen,怪物事変,7.45,"Frontier Works, Lantis, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, JTB Next Creation",TV,Completed,12,23 Menit,"Jan 10, 2021",Ajia-Do,"Action, Demons, Mystery, Shounen, Supernatural"
13,Uma Musume: Pretty Derby Season 2,ウマ娘 プリティーダービー Season 2,7.89,"TOHO animation, Cygames",TV,Completed,13,23 Menit,"Jan 5, 2021",Studio Kai,"Comedy, Slice of Life, Sports"
