,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
15,To LOVE Ru,To LOVEる -とらぶる-,7.21,"Geneon Universal Entertainment, TBS, Shueisha",BD,Completed,26,24 Menit,"Apr 4, 2008",Xebec,"Comedy,  , Harem, Romance, School, Sci-Fi, Shounen"
16,Kengan Ashura,ケンガンアシュラ,7.43,"Studio Hibari, Shogakukan, Netflix",ONA,Completed,12,23 Menit,"Jul 31, 2019",Larx Entertainment,"Action, Martial Arts"
17,High Score Girl,ハイスコアガール,8.08,Warner Bros. Japan,TV,Completed,12,24 Menit,"Jul 14, 2018",J.C.Staff,"Comedy, Romance, School, Seinen"
18,Shigatsu wa Kimi no Uso,四月は君の嘘,8.89,"Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",BD,Completed,22,22 Menit,"Oct 10, 2014",A-1 Pictures,"Drama, Music, Romance, School, Shounen"
19,Mahou Shoujo Tokushusen Asuka,魔法少女特殊戦あすか,6.88,-,TV,Completed,12,24 Menit,"Jan 12, 2019",LIDENFILMS,"Drama, Magic, Seinen"
20,Dororo,どろろ,8.35,Twin Engine,TV,Completed,24,-,"Jan 7, 2019","Tezuka Productions, MAPPA","Action, Adventure, Demons, Historical, Shounen, Supernatural"
21,Gunjou no Magmel,群青のマグメル,7.17,Shueisha,TV,Completed,13,23 Menit,"Apr 7, 2019",Pierrot Plus,"Action, Adventure, Fantasy, Shounen, Super Power"
22,Tokyo Ghoul Season 3,東京喰種トーキョーグール：re,8.65,"Pierrot Plus, Shueisha",TV,Completed,12,24 Menit / Episode,"Apr 3, 2018 sampai Jun 19, 2018",Studio Pierrot,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"
23,One Punch Man Season 2,ワンパンマン,7.67,Shueisha,TV,Completed,12,23 Menit,"Apr 10, 2019",J.C.Staff,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural"
24,Shingeki no Kyojin Season 3,進撃の巨人 Season3,8.59,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",TV,Completed,22,23 Menit,"Jul 23, 2018",Wit Studio,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power"
