,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Kanata no Astra,彼方のアストラ,8.22,"AT-X, Docomo Anime Store, Shueisha, Kadokawa Media House, Kadokawa",TV,Completed,12,24 Menit,"Jul 3, 2019",Lerche,"Action, Sci-Fi, Shounen, Space"
1,Maou-sama Retry!,魔王様、リトライ！,6.51,-,TV,Completed,12,23 Menit,"Jul 4, 2019",EKACHI EPILKA,"Action, Adventure, Fantasy"
2,Sounan Desu ka?,ソウナンですか?,6.8,Nihon Ad Systems,TV,Completed,12,13 Menit,"Jul 2, 2019",Ezόla,"Adventure, Comedy, Seinen"
3,Katsute Kami Datta Kemono-tachi e,かつて神だった獣たちへ,6.64,"Kodansha, NBCUniversal Entertainment Japan, Tokyo MX, BS11, East Japan Marketing & Communications, Cygames, A-Sketch",TV,Completed,12,23 Menit,"Jul 1, 2019",MAPPA,"Action, Drama, Fantasy, Shounen"
4,Tejina-senpai,手品先輩,6.7,"Nihon Ad Systems, Kodansha, KlockWorx, flying DOG, Avex Pictures, Q-Tec, Docomo Anime Store, GYAO!, BS NTV, Marui Group",TV,Completed,12,13 Menit,"Jul 2, 2019",LIDENFILMS,"Comedy,  , School, Seinen"
5,Dumbbell Nan Kilo Moteru?,ダンベル何キロ持てる？,7.69,"AT-X, Shogakukan, Kadokawa Media House, RAY, NTT Plala, Kadokawa",TV,Completed,12,24 Menit,"Jul 3, 2019",Doga Kobo,"Comedy,  "
6,Kimi no Iru Machi,君のいる町,7.08,"TV Tokyo, ZERO-A",BD,Completed,12,20 Menit,"Jul 13, 2013",Gonzo,"Drama, Romance, Shounen, Slice of Life"
7,Mob Psycho 100,モブサイコ100,8.52,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",BD,Completed,12,24 Menit,"Jul 11, 2016",Bones,"Action, Comedy, Slice of Life, Supernatural"
8,Pandora Hearts,パンドラハーツ,7.81,"Square Enix, TBS, flying DOG",TV,Completed,25,24 Menit,"Apr 3, 2009",Xebec,"Adventure, Fantasy, Mystery, Shounen, Supernatural"
9,Satsuriku no Tenshi,殺戮の天使,6.9,"Lantis, Kadokawa",TV,Completed,16,23 Menit,"Jul 6, 2018",J.C.Staff,"Adventure, Horror, Psychological, Thriller"
10,Fate Stay Night: Unlimited Blade Works Season 2,Fate/stay night [Unlimited Blade Works] 2nd シーズン,8.38,"Aniplex, Notes",BD,Completed,13,23 Menit,"Apr 5, 2015",ufotable,"Action, Fantasy, Magic, Supernatural"
11,Fate Stay Night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],8.31,"Aniplex, Notes",BD,Completed,12,28 Menit,"Oct 12, 2014",ufotable,"Action, Fantasy, Magic, Supernatural"
12,To LOVE-Ru Darkness Season 2,To LOVEる -とらぶる- ダークネス2nd,7.65,"TBS, Magic Capsule, Warner Bros. Japan, NBCUniversal Entertainment Japan, Shueisha",BD,Completed,12,23 Menit,"Jul 7, 2015",Xebec,"Comedy,  , Harem, Romance, School, Sci-Fi, Shounen"
13,To LOVE Ru Darkness,To LOVEる -とらぶる- ダークネス,7.65,"Geneon Universal Entertainment, Magic Capsule, Shueisha",BD,Completed,12,23 Menit,"Oct 6, 2012",Xebec,"Comedy,  , Harem, Romance, School, Sci-Fi, Shounen"
14,To LOVE Ru Season 2,もっと To LOVEる -とらぶる-,7.47,"Geneon Universal Entertainment, TBS, Magic Capsule, PRA",BD,Completed,12,24 Menit,"Oct 6, 2010",Xebec,"Comedy,  , Harem, School, Sci-Fi, Shounen"
