,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Boku wa Tomodachi ga Sukunai,僕は友達が少ない,7.5,"Media Factory, TBS, Bushiroad, Good Smile Company",BD,Completed,12,24 Menit,"Oct 7, 2011",AIC Build,"Comedy,  , Harem, Romance, School, Slice of Life"
1,Kuroshitsuji Season 2,黒執事II,7.44,"Aniplex, Square Enix, Mainichi Broadcasting System",BD,Completed,12,24 Menit,"Jul 2, 2010",A-1 Pictures,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
2,Kuroshitsuji,黒執事,7.96,"Aniplex, Square Enix, Yomiko Advertising, Mainichi Broadcasting System, Movic, Trinity Sound",BD,Completed,24,24 Menit,"Oct 3, 2008",A-1 Pictures,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
3,Tamako Market,たまこまーけっと,7.39,"Animax, Pony Canyon, TBS, Other.",BD,Completed,12,23 Menit,"Jan 10, 2013",Kyoto Animation,"Comedy, Slice of Life"
4,Subete ga F ni Naru,すべてがFになる THE PERFECT INSIDER,7.33,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",BD,Completed,11,23 Menit,"Oct 9, 2015",A-1 Pictures,"Mystery, Psychological, Sci-Fi"
5,Death March kara Hajimaru Isekai Kyousoukyoku,デスマーチからはじまる異世界狂想曲,6.86,"Sotsu, AT-X, DIVE II Entertainment, Tokyo MX, Avex Pictures, BS11, Kadokawa, KLab",TV,Completed,12,23 Menit,"Jan 11, 2018 to ","Silver Link., Connect","Adventure, Fantasy, Harem"
6,Zoku Owarimonogatari,続・終物語,8.58,Aniplex,BD,Completed,6,24 Menit,"Nov 10, 2018",Shaft,"Comedy, Mystery, Supernatural, Vampire"
7,Isekai wa Smartphone to Tomo ni,異世界はスマートフォンとともに。,6.73,"Sotsu, MediaNet, Pony Canyon, AT-X, Asmik Ace, Hobby Japan, 81 Produce, Tokyo MX, Exit Tunes",TV,Completed,12,24 Menit,"Jul 11, 2017",Production Reed,"Adventure, Comedy, Fantasy, Harem, Magic, Romance"
8,Gabriel DropOut,ガヴリールドロップアウト,7.58,"Media Factory, AT-X, Sony Music Communications, Kadokawa Media House, NTT Plala",TV,Completed,12,23 Menit,"Jan 9, 2017",Doga Kobo,"Comedy, Demons, School, Shounen, Supernatural"
9,Black Rock Shooter,ブラック★ロックシューター,6.97,"Aniplex, Dentsu,Sony Music Entertainment, Fuji Pacific Music Publishing",BD,Completed,8,23 Menit,"Feb 3, 2012","Ordet, SANZIGEN","Action, Drama, School, Slice of Life"
10,Darker than Black Season 2,DARKER THAN BLACK 流星の双子,7.58,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Sakura Create",BD,Completed,12,24 Menit,"Oct 9, 2009",Bones,"Action, Mystery, Sci-Fi, Super Power"
11,Darker than Black,Darker than BLACK -黒の契約者-,8.24,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic",BD,Completed,25,24 Menit,"Apr 6, 2007",Bones,"Action, Mystery, Sci-Fi, Super Power"
12,Mirai Nikki,未来日記,7.95,"Lantis, Kadokawa Shoten, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Other",BD,Completed,26,23 Menit,"Oct 9, 2011",Asread,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller"
13,K-On! Season 2,けいおん!!,8.14,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",BD,Completed,26,24 Menit,"Apr 7, 2010",Kyoto Animation,"Comedy, Music, School, Slice of Life"
14,K-On!,けいおん!,7.86,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",BD,Completed,13,24 Menit,"Apr 3, 2009",Kyoto Animation,"Comedy, Music, School, Slice of Life"
15,Little Witch Academia,リトルウィッチアカデミア,8.09,"Ultra Super Pictures, TOHO animation, Good Smile Company",BD,Completed,25,24 Menit,"Jan 9, 2017",Trigger,"Adventure, Comedy, Fantasy, Magic, School"
16,Kino no Tabi,キノの旅 -the Beautiful World- the Animated Series,7.61,"Movic, Magic Capsule, ASCII Media Works, NBCUniversal Entertainment Japan, Egg Firm, Crunchyroll SC Anime Fund",TV,Completed,12,23 Menit,"Oct 6, 2017",Lerche,"Action, Adventure, Slice of Life"
17,Sword Art Online Season 2,ソードアート・オンライン II,7.24,"Aniplex, Genco, ASCII Media Works, Bandai Namco Entertainment",BD,Completed,24,23 Menit,"Jul 5, 2014",A-1 Pictures,"Action, Adventure, Fantasy, Game, Romance"
18,Sword Art Online,ソードアート・オンライン,7.76,"Aniplex, Genco, DAX Production, ASCII Media Works",BD,Completed,25,23 Menit,"Jul 8, 2012",A-1 Pictures,"Action, Adventure, Fantasy, Game, Romance"
19,Tokyo Ghoul Season 2,東京喰種√A,7.47,"Marvelous AQL, Shueisha",BD,Completed,12,24 Menit,"Jan 9, 2015",Studio Pierrot,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"
20,Tokyo Ghoul,東京喰種-トーキョーグール-,8.02,"Marvelous AQL, TC Entertainment, Shueisha",BD,Completed,12,24 Menit,"Jul 4, 2014",Studio Pierrot,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"
21,One Punch Man,ワンパンマン,8.75,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, East Japan Marketing & Communications",BD,Completed,12,24 Episode,"Oct 5, 2015",Madhouse,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural"
22,Saenai Heroine no Sodatekata Season 2,冴えない彼女〈ヒロイン〉の育てかた♭,7.88,"Aniplex, Dentsu, Fuji TV, Cospa, Good Smile Company, Kansai Telecasting, Fujimi Shobo",BD,Completed,11,22 Menit,"Apr 14, 2017",A-1 Pictures,"Comedy,  , Harem, Romance, School"
23,Saenai Heroine no Sodatekata,冴えない彼女〈ヒロイン〉の育てかた,7.67,"Aniplex, Dentsu, Fuji TV, Half H.P Studio, Cospa, Fuji Pacific Music Publishing, Good Smile Company, Kyoraku Industrial Holdings, Kansai Telecasting, Fujimi Shobo",BD,Completed,12,23 Menit,"Jan 16, 2015",A-1 Pictures,"Comedy,  , Harem, Romance, School"
24,Highschool of the Dead,学園黙示録 HIGHSCHOOL OF THE DEAD,7.38,"Geneon Universal Entertainment, AT-X, Showgate",BD,Completed,12,24 Menit,"Jul 5, 2010 ",Madhouse,"Action, Horror, Supernatural"
