,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Shachibato,"社長, バトルの時間です!",5.88,"Half H.P Studio, Nippon Columbia",TV,Completed,12,24 Menit,"Apr 5, 2020",C2C,"Action, Adventure, Fantasy"
1,Gleipnir,グレイプニル,7.09,"Kodansha, bilibili, Good Smile Film",TV,Completed,13,23 Menit,"Apr 5, 2020",Pine Jam,"Action,  , Mystery, Seinen, Supernatural"
2,Plunderer,プランダラ,6.46,-,TV,Completed,24,23 Menit,"Jan 9, 2020",GEEKTOYS,"Action,  , Fantasy, Shounen"
3,Ichiban Ushiro no Daimaou,いちばんうしろの大魔王,6.97,"Marvelous, Hobby Japan, Delfi Sound",BD,Completed,12,23 Menit,"Apr 3, 2010",Artland,"Action, Comedy,  , Fantasy, Harem, Magic, School"
4,Shironeko Project: Zero Chronicle,白猫プロジェクトZERO CHRONICLE,5.47,"NBCUniversal Entertainment Japan, COLOPL, Kadokawa, Gree",TV,Completed,12,23 Menit,"Apr 6, 2020",Project No.9,"Action, Adventure, Fantasy, Magic"
5,Arte,アルテ,7.25,"flying DOG, Glovision",TV,Completed,12,24 Menit,"Apr 4, 2020",Seven Arcs,"Drama, Historical, Romance, Seinen, Slice of Life"
6,Yesterday wo Utatte,イエスタデイをうたって,7.4,DMM.futureworks,TV,Completed,12,23 Menit,"Apr 5, 2020",Doga Kobo,"Drama, Romance, Seinen, Slice of Life"
7,Honzuki no Gekokujou Season 2,本好きの下剋上 ～司書になるためには手段を選んでいられません～ 第2期,8.22,"WOWOW, Genco, MediaNet, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, ABC Animation, Happinet, Tokyo Animator Gakuin, TO Books, JTB Next Creation",TV,Completed,12,23 Menit,"Apr 5, 2020",Ajia-Do,"Fantasy, Slice of Life"
8,Nami yo Kiitekure,波よ聞いてくれ,7.42,"Mainichi Broadcasting System, Kodansha, DMM pictures",TV,Completed,12,24 Menit,"Apr 4, 2020",Sunrise,"Comedy, Drama, Romance, Seinen"
9,Listeners,LISTENERS リスナーズ,5.51,"Mainichi Broadcasting System, Slow Curve, DMM pictures, dugout",TV,Completed,12,24 Menit,"Apr 4, 2020",MAPPA,"Music, Sci-Fi"
10,Hamefura,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,7.65,"Mainichi Broadcasting System, Asmik Ace, King Records, Ichijinsha, Nichion",TV,Completed,12,24 Menit,"Apr 5, 2020",Silver Link.,"Comedy, Drama, Fantasy, Romance, School"
11,Tamayomi,球詠,5.76,Sotsu,TV,Completed,12,24 Menit,"Apr 1, 2020",Studio A-CAT,"School, Sports"
12,Shin Sakura Taisen the Animation,新サクラ大戦 the Animation,5.87,"Sega, Sammy, Tencent Japan",TV,Completed,12,23 Menit,"Apr 3, 2020",SANZIGEN,"Adventure, Mecha, Sci-Fi, Shounen"
13,Kitsutsuki Tanteidokoro,啄木鳥探偵處,6.04,Tohokushinsha Film Corporation,TV,Completed,12,23 Menit,"Apr 13, 2020",LIDENFILMS,"Historical, Mystery"
14,number24,number24 ナンバー・トゥーフォー,6.59,Magic Capsule,TV,Completed,12,23 Menit,"Jan 8, 2020",PRA,"School, Sports"
15,Tsugumomo Season 2,続・つぐもも,7.53,-,TV,Completed,12,24 Menit,"Apr 5, 2020",Zero-G,"Action, Comedy,  , School, Seinen, Supernatural"
16,Kakushigoto,かくしごと,8.08,"Dentsu, Marvelous, Kodansha, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, A-Sketch, Gree",TV,Completed,12,24 Menit,"Apr 2, 2020",Ajia-Do,"Comedy, Shounen, Slice of Life"
17,Hachi-nan tte Sore wa Nai deshou!,八男って、それはないでしょう！,6.16,"Satelight, Frontier Works, flying DOG, Kadokawa Media House, Exa International, Kadokawa, Gree, arma bianca",TV,Completed,12,23 Menit,"Apr 2, 2020","SynergySP, Shin-Ei Animation","Action, Fantasy"
18,Infinite Dendrogram,-インフィニット・デンドログラム-,6.16,-,TV,Completed,13,24 Menit,"Jan 9, 2020",NAZ,"Fantasy, Game"
19,Kiniro Mosaic Season 2,ハロー!!きんいろモザイク,7.55,"Genco, flying DOG, Showgate",BD,Completed,12,23 Menit,"Apr 6, 2015",Studio Gokumi,"Comedy, School, Seinen, Slice of Life"
20,Kiniro Mosaic,きんいろモザイク,7.29,"Media Factory, Showgate",BD,Completed,12,24 Menit,"Jul 6, 2013",Studio Gokumi,"Comedy, School, Seinen, Slice of Life"
21,Joukamachi no Dandelion,城下町のダンデライオン,7.25,"Pony Canyon, TBS, DAX Production, Houbunsha, TC Entertainment, Docomo Anime Store, Nichion",BD,Completed,12,24 Menit,"Jul 3, 2015",Production IMS,"Comedy, Seinen, Slice of Life, Super Power"
22,Mahou Sensou,魔法戦争,6.07,"Media Factory, TBS, flying DOG",BD,Completed,12,24 Menit,"Jan 10, 2014",Madhouse,"Action, Fantasy, Magic"
23,Orange,orange（オレンジ）,7.64,"TMS Entertainment, DAX Production, TOHO animation, Lawson, ABC Animation",BD,Completed,13,24 Menit,"Jul 4, 2016",Telecom Animation Film,"Drama, Romance, School, Sci-Fi, Shoujo"
24,JoJo Bizarre Adventure Part 5,ジョジョの奇妙な冒険 黄金の風,8.66,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",TV,Completed,39,23 Menit,"Oct 6, 2018",David Production,"Action, Adventure, Shounen"
