,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Deadman Wonderland,デッドマン・ワンダーランド,7.45,"Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC",BD,Completed,12,24 Menit,"Apr 17, 2011",Manglobe,"Action, Horror, Sci-Fi"
1,JoJo Bizarre Adventure: Stardust Crusaders Season 2,ジョジョの奇妙な冒険 スターダストクルセイダース,8.57,"Yomiko Advertising, Warner Bros. Japan, Kamikaze Douga, KlockWorx, Shueisha",TV,Completed,24,23 Menit,"Jan 10, 2015",David Production,"Action, Adventure, Drama, Shounen, Supernatural"
2,Ramen Daisuki Koizumi-san,ラーメン大好き小泉さん,6.53,"Sotsu, KlockWorx, flying DOG, Grooove, Cygames, Crunchyroll SC Anime Fund",TV,Completed,12,22 Menit,"Jan 4, 2018","Studio Gokumi, AXsiZ","Comedy, Slice of Life"
3,Danganronpa 3: Mirai-hen,ダンガンロンパ3 -The End of 希望ヶ峰学園- 未来編,7.59,-,BD,Completed,12,24 Menit,"Jul 11, 2016",Lerche,"Action, Horror, Mystery, Psychological"
4,Danganronpa 3: Zetsubou-hen,ダンガンロンパ3 -The End of 希望ヶ峰学園- 絶望編,7.7,-,BD,Completed,11,23 Menit,"Jul 14, 2016",Lerche,"Action, Horror, Mystery, Psychological, School"
5,Mushishi Season 3,蟲師 続章,8.85,"Aniplex, Kodansha, Delfi Sound, Other",BD,Completed,10,23 Menit,"Oct 19, 2014",Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
6,Mushishi Season 2,蟲師 続章,8.78,"Aniplex, Kodansha, Delfi Sound.",BD,Completed,10,24 Menit,"Apr 5, 2014",Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
7,Mushishi,蟲師,8.76,"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",BD,Completed,26,25 Menit,"Oct 23, 2005",Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
8,JoJo Bizarre Adventure: Stardust Crusaders,ジョジョの奇妙な冒険 スターダストクルセイダース,8.25,"Yomiko Advertising, Warner Bros. Japan, Kamikaze Douga, KlockWorx, Shueisha",TV,Completed,24,24 Menit,"Apr 5, 2014",David Production,"Action, Adventure, Drama, Shounen, Supernatural"
9,New Game! Season 2,NEW GAME!!,7.88,"Frontier Works, Media Factory, Movic, AT-X, Sony Music Communications, Houbunsha, MAGES., Lawson",BD,Completed,12,24 Menit,"Jul 11, 2017",Doga Kobo,"Comedy, Game, Slice of Life"
10,New Game!,NEW GAME!,7.78,"Frontier Works, Kadokawa Shoten, Movic, AT-X, Delfi Sound, Sony Music Communications, Houbunsha, MAGES., Lawson",BD,Completed,12,24 Menit,"Jul 4, 2016",Doga Kobo,"Comedy, Slice of Life"
11,JoJo Bizarre Adventure,ジョジョの奇妙な冒険,8.37,"Yomiko Advertising, Warner Bros. Japan, Kamikaze Douga, KlockWorx, Shueisha",TV,Completed,26,24 Menit,"Oct 6, 2012",David Production,"Action, Adventure, Shounen, Supernatural, Vampire"
12,Chuunibyou demo Koi ga Shitai! Season 2,中二病でも恋がしたい！戀,7.6,"Lantis, TBS",BD,Completed,12,24 Menit,"Jan 9, 2014",Winter 2014,"Comedy, Drama, Romance, School, Slice of Life"
13,Chuunibyou demo Koi ga Shitai,中二病でも恋がしたい!,7.93,"Lantis, Pony Canyon, TBS, Rakuonsha, Animation Do",BD,Completed,12,24 Menit,"Okt 04, 2012",Kyoto Animation,"Comedy, Drama, Romance, School, Slice of Life"
14,Gakusen Toshi Asterisk Season 2,学戦都市アスタリスク,7.32,"Aniplex, Animax, Movic, flying DOG, Bandai Namco Entertainment, Asahi Broadcasting",BD,Completed,12,24 Menit,"Apr 2, 2016",A-1 Pictures,"Comedy,  , Fantasy, Harem, Romance, School, Sci-Fi, Supernatural"
15,Gakusen Toshi Asterisk,学戦都市アスタリスク,7.12,"Aniplex, Animax, Movic, DAX Production, flying DOG, Bandai Namco Entertainment, Asahi Broadcasting",BD,Completed,12,23 Menit,"Oct 3, 2015",A-1 Pictures,"Action, Comedy,  , Fantasy, Harem, Romance, School, Sci-Fi, Supernatural"
16,Kuroko no Basket Season 2,黒子のバスケ,8.52,"Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11",BD,Completed,25,24 Menit,"Oct 6, 2013",Production I.G,"Comedy, School, Shounen, Sports"
17,Kuroko no Basket,黒子のバスケ,8.4,"Bandai Visual, Lantis, Nihon Ad Systems, Mainichi Broadcasting System, Banpresto, Shueisha, BS11",BD,Completed,25,24 Menit,"Apr 8, 2012",Production I.G,"Comedy, School, Shounen, Sports"
18,Ryuugajou Nanana no Maizoukin,龍ヶ嬢七々々の埋蔵金,7.29,"Aniplex, Dentsu, Movic, Fuji TV, BIGLOBE, Kyoraku Industrial Holdings",BD,Completed,11,23 Menit,"Apr 11, 2014",A-1 Pictures,"Comedy, Supernatural"
19,Love Live! Sunshine!! Season 2,ラブライブ！サンシャイン!! 第2期,7.72,Fall 2017,TV,Completed,13,23 Menit,"Oct 7, 2017",Sunrise,"Music, School, Slice of Life"
20,Love Live! Sunshine!!,ラブライブ！サンシャイン!!,7.51,"Bandai Visual, Lantis, Magic Capsule, ASCII Media Works, Bushiroad",BD,Completed,13,24 Menit,"Jul 2, 2016",Sunrise,"Music, School, Slice of Life"
21,Love Live! Season 2,ラブライブ! School idol project 2期,8.01,"Bandai Visual, Lantis, Bushiroad",BD,Completed,13,23 Menit,"Apr 6, 2014",Sunrise,"Music, School, Slice of Life"
22,Love Live!,ラブライブ! School idol project,7.66,"Bandai Visual, Lantis, (other)",BD,Completed,13,23 Menit,"Jan 6, 2013",Sunrise,"Music, School, Slice of Life"
23,Shuumatsu no Izetta,終末のイゼッタ,6.88,"Shochiku, AT-X, Asahi Production, flying DOG, Tokyo MX, i0+, Wargaming Japan, JTB Entertainment, RAY",BD,Completed,12,25 Menit,"Oct 1, 2016",Ajia-Do,"Action, Historical, Military"
24,Akuma no Riddle,悪魔のリドル,6.79,"Mainichi Broadcasting System, Pony Canyon, DAX Production",BD,Completed,12,23 Menit,"Apr 4, 2014",Diomedea,"Action, School, Shoujo Ai"
