,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Seitokai Yakuindomo,生徒会役員共,7.69,"Starchild Records, Dream Force",BD,Completed,13,24 Menit / Episode,"Jul 4, 2010 sampai Sep 26, 2010",GoHands,"Comedy, School, Shounen, Slice of Life"
1,Toaru Kagaku no Railgun Season 2,とある科学の超電磁砲S,8.13,"Geneon Universal Entertainment, Movic, AT-X, Warner Bros., ASCII Media Works",BD,Completed,24,24 Menit / Episode,"Apr 12, 2013 sampai Sep 27, 2013",J.C.Staff,"Action, Sci-Fi, Super Power"
2,Gegege no Kitarou,ゲゲゲの鬼太郎 (2018),6.76,"Yomiko Advertising, Fuji TV",TV,Completed,-,23 Menit / Episode,"Apr 1, 2018",Toei Animation,"Comedy, Demons, Shounen, Supernatural"
3,Toaru Kagaku no Railgun,とある科学の超電磁砲,7.83,"Geneon Universal Entertainment, Movic, AT-X, ASCII Media Works, Project Railgun",BD,Completed,24,24 Menit / Episode,"Oct 3, 2009 sampai Mar 20, 2010",J.C.Staff,"Action, Sci-Fi, Super Power"
4,The Idolmaster,アイドルマスター,7.72,"Aniplex, TBS, Nippon Columbia, Bandai Namco Entertainment",BD,Completed,25,24 Menit / Episode,"Jul 8, 2011 sampai Dec 23, 2011",A-1 Pictures,"Comedy, Drama, Music"
5,Kiseijuu: Sei no Kakuritsu,寄生獣 セイの格率,8.53,寄生獣 セイの格率,BD,Completed,24,23 Menit / Episode,"Oct 9, 2014 sampai Mar 26, 2015",Madhouse,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen"
6,Maoyuu Maou Yuusha,まおゆう魔王勇者,7.43,"Genco, Animax",BD,Completed,12,23 Menit / Episode,"Jan 5, 2013 sampai Mar 30, 2013",Arms,"Adventure, Demons, Fantasy, Historical, Romance"
7,Machine-Doll wa Kizutsukanai,機巧少女〈マシンドール〉は傷つかない,7.34,"Genco, Media Factory, Kadokawa Shoten, Movic, AT-X, Showgate",BD,Completed,12,23 Menit / Episode,"Oct 7, 2013 sampai Dec 23, 2013",Lerche,"Action,  , Fantasy, School"
8,Hyouka,氷菓,8.16,"Lantis, Kadokawa Shoten, KlockWorx, chara-ani.com, Animation Do",BD,Completed,22,25 Menit / Episode,"Apr 23, 2012 sampai Sep 17, 2012",Kyoto Animation,"Mystery, Romance, School, Slice of Life"
9,Ore Monogatari,俺物語!!,8.08,"VAP, Nippon Television Network, Shueisha",BD,Completed,24,22 Menit / Episode,"Apr 9, 2015 sampai Sep 24, 2015",Madhouse,"Comedy, Romance, Shoujo"
