,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Gate Season 2,GATE（ゲート）自衛隊　彼の地にて、斯く戦えり　第2クール,7.91,"Genco, Warner Bros., KlockWorx, Showgate, Bandai Namco Games",BD,Completed,12,23 Menit / Episode,"Jan 9, 2016 sampai Mar 26, 2016",A-1 Pictures,"Action, Adventure, Fantasy, Military"
1,GATE,GATE（ゲート）自衛隊　彼の地にて、斯く戦えり,7.89,"Genco, Magic Capsule, Warner Bros., KlockWorx, Showgate, Bandai Namco Games",BD,Completed,12,23 Menit / Episode,"Jul 4, 2015 sampai Sep 19, 2015",A-1 Pictures,"Action, Adventure, Fantasy, Military"
2,Natsume Yuujinchou Season 6,夏目友人帳 陸,8.74,"Natsume Yuujinchou Season 6, Natsume's Book of Friends Six",BD,Completed,11,23 Menit / Episode,"Apr 12, 2017 sampai Jun 21, 2017",Shuka,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
3,Natsume Yuujinchou Season 5,夏目友人帳 伍,8.65,"TV Tokyo, Aniplex, Nihon Ad Systems",BD,Completed,11,23 Menit / Episode,"Oct 5, 2016 sampai Dec 21, 2016",Shuka,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
4,Natsume Yuujinchou Season 4,夏目友人帳 肆,8.74,"Aniplex, Nihon Ad Systems",BD,Completed,13,24 Menit / Episode,"Jan 3, 2012 sampai Mar 27, 2012",Brain's Base,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
5,Natsume Yuujinchou Season 3,夏目友人帳 参,8.66,"Aniplex, Sakura Create",BD,Completed,13,24 Menit / Episode,"Jul 5, 2011 sampai Sep 27, 2011",Brain's Base,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
6,Natsume Yuujinchou Season 2,続 夏目友人帳,8.63,"Aniplex, Nihon Ad Systems",BD,Completed,13,24 Menit / Episode,"Jan 6, 2009 sampai Mar 31, 2009",Brain's Base,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
7,Natsume Yuujinchou,夏目友人帳,8.41,"Aniplex, Nihon Ad Systems, TV Tokyo Music, Sony Music Entertainment",BD,Completed,13,24 Menit / Episode,"Jul 8, 2008 sampai Sep 30, 2008",Brain's Base,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
8,BanG Dream!,BanG Dream!（バンドリ！）,6.84,"OLM, HoriPro, Bushiroad, Tokyo MX, Good Smile Company, Overlap, Bushiroad Music",TV,Completed,13,24 Menit / Episode,"Jan 21, 2017 sampai Apr 22, 2017","Xebec, Issen",Music
9,Mangaka-san to Assistant-san to The Animation,マンガ家さんとアシスタントさんと THE ANIMATION,7.32,"Lantis, Magic Capsule, Showgate",BD,Completed,12,13 Menit / Episode,"Apr 8, 2014 sampai Jun 24, 2014",Zexcs,"Comedy,  , Harem, Seinen, Slice of Life"
10,Toaru Majutsu no Index Season 2,とある魔術の禁書目録II,7.79,"Geneon Universal Entertainment, Square Enix, AT-X, ASCII Media Works, Delfi Sound",BD,Completed,24,23 Menit / Episode,"Oct 8, 2010 sampai Apr 1, 2011",J.C.Staff,"Action, Magic, Sci-Fi, Super Power"
11,Toaru Majutsu no Index,とある魔術の禁書目録,7.63,"Geneon Universal Entertainment, Square Enix, AT-X, ASCII Media Works, Kadokawa Contents Gate",BD,Completed,24,23 Menit / Episode,"Oct 5, 2008 sampai Mar 19, 2009",J.C.Staff,"Action, Magic, Sci-Fi, Super Power"
12,Jinrui wa Suitai Shimashita,人類は衰退しました,7.87,"Sotsu, Lantis, Pony Canyon, Movic, Marvelous AQL",BD,Completed,12,23 Menit / Episode,"Jul 2, 2012 sampai Sep 17, 2012",AIC A.S.T.A.,"Comedy, Fantasy, Seinen"
13,Tokyo Magnitude 8.0,東京マグニチュード8.0,8.16,"Dentsu, Fuji TV, Toho, Asmik Ace Entertainment, Sony Music Entertainment, Sakura Create",BD,Completed,11,22 Menit / Episode,"Jul 10, 2009 sampai Sep 18, 2009","Bones, Kinema Citrus",Drama
14,Sekirei Season 2,セキレイ～Pure Engagement,7.54,Aniplex,BD,Completed,13,24 Menit / Episode,"Jul 4, 2010 sampai Sep 26, 2010",Seven Arcs,"Action, Comedy,  , Harem, Super Power"
15,Sekirei,セキレイ,7.33,"Aniplex, Movic",BD,Completed,12,23 Menit / Episode,"Jul 2, 2008 sampai Sep 17, 2008",Seven Arcs,"Action, Comedy,  , Harem, Super Power"
16,Servant x Service,サーバント×サービス,7.78,"Aniplex, Half H.P Studio, Asahi Broadcasting",BD,Completed,13,23 Menit / Episode,"Jul 5, 2013 sampai Sep 27, 2013",A-1 Pictures,"Comedy, Slice of Life"
17,High School DxD Season 3,ハイスクールD×D BorN,7.68,"Genco, Lantis, Fujimi Shobo",BD,Completed,12,24 Menit / Episode,"Apr 4, 2015 sampai Jun 20, 2015",TNK,"Action, Comedy, Romance, School"
18,High School DxD Season 2,ハイスクールD×D NEW,7.79,"Genco, Fujimi Shobo",BD,Completed,12,24 Menit / Episode,"Jul 7, 2013 sampai Sep 22, 2013",TNK,"Action, Comedy, Demons,  , Harem, Romance, School"
19,High School DxD,ハイスクールD×D,7.62,"Genco, Lantis, AT-X, PRA, Showgate, Atelier Musa, Fujimi Shobo",BD,Completed,12,24 Menit / Episode,"Jan 6, 2012 sampai Mar 23, 2012",TNK,"Comedy, Demons,  , Harem, Romance, School"
20,Stella no Mahou,ステラのまほう,6.92,"Kadokawa Shoten, AT-X, flying DOG, Houbunsha, Hakuhodo DY Music & Pictures",BD,Completed,12,23 Menit / Episode,"Oct 3, 2016 sampai Dec 19, 2016",Silver Link.,"Comedy, School, Slice of Life"
21,Beelzebub,べるぜバブ,8.03,"Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",BD,Completed,60,24 Menit / Episode,"Jan 9, 2011 to Mar 25, 2012",Pierrot Plus,"Action, Comedy, Demons, School, Shounen, Supernatural"
22,God Eater,GOD EATER,7.5,"Bandai Visual, Lantis, Anime Consortium Japan",BD,Completed,13,23 Menit / Episode,"Jul 12, 2015 sampai Mar 26, 2016",ufotable,"Action, Fantasy, Military, Sci-Fi"
23,Non Non Biyori Season 2,のんのんびより りぴーと,8.23,"TV Tokyo, Lantis",BD,Completed,12,23 Menit / Episode,"Jul 7, 2015 sampai Sep 22, 2015",Silver Link.,"Comedy, School, Seinen, Slice of Life"
24,Shinryaku! Ika Musume Season 2,侵略!?イカ娘,7.59,"TV Tokyo, Lantis, Pony Canyon, TV Tokyo Music, Studio Jack",BD,Completed,12,24 Menit / Episode,"Sep 27, 2011 sampai Dec 25, 2011",Diomedea,"Comedy, Shounen, Slice of Life"
