,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Guilty Crown,ギルティクラウン,7.77,"Aniplex, Dentsu, Movic, Fuji TV, Fuji Pacific Music Publishing",BD,Completed,22,24 Menit,"Oct 14, 2011",Production I.G,"Action, Drama, Romance, Sci-Fi, Super Power"
1,Free! Season 3,Free!-Dive to the Future-,7.7,-,TV,Completed,12,23 Menit,"Jul 12, 2018","Kyoto Animation, Animation Do","Comedy, Drama, School, Slice of Life, Sports"
2,Free! Season 2,Free!-Eternal Summer-,7.83,"Lantis, Iwatobi High School Swimming Club, Asahi Broadcasting",BD,Completed,13,24 Menit,"Jul 3, 2014","Kyoto Animation, Animation Do","Comedy, Drama, School, Slice of Life, Sports"
3,Free!,フリー！,7.6,"Lantis, Iwatobi High School Swimming Club, Asahi Broadcasting",BD,Completed,12,24 Menit,"Jul 4, 2013","Kyoto Animation, Animation Do","Comedy, School, Slice of Life, Sports"
4,Boku no Hero Academia,僕のヒーローアカデミア,8.43,"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha",BD,Completed,13,24 Menit,"Apr 3, 2016",Bones,"Action, Comedy, School, Shounen, Super Power"
5,Rakudai Kishi no Cavalry,,7.76,flying DOG,BD,Completed,12,23 Menit,"Oct 3, 2015","Silver Link., Nexus","Action,  , Fantasy, Romance, School"
6,Re: Zero kara Hajimeru Isekai Seikatsu,Re：ゼロから始める異世界生活,8.45,"TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures",BD,Completed,25,25 Menit,"Apr 4, 2016",White Fox,"Drama, Fantasy, Psychological, Thriller"
7,Ano Natsu de Matteru,あの夏で待ってる,7.65,"Geneon Universal Entertainment, Genco, AT-X, Bushiroad, Showgate",BD,Completed,12,23 Menit,"Jan 10, 2012",J.C.Staff,"Comedy, Drama, Romance, Sci-Fi, Slice of Life"
8,Ookami to Koushinryou Season 2,狼と香辛料II,8.42,"Imagin, flying DOG",BD,Completed,12,24 Menit,"Jul 9, 2009","Brain's Base, Marvy Jack","Adventure, Fantasy, Historical, Romance"
9,Ookami to Koushinryou,狼と香辛料,8.33,"Victor Entertainment, Pony Canyon, Movic, Kadokawa Pictures Japan",BD,Completed,13,24 Menit,"Jan 9, 2008",Imagin,"Adventure, Fantasy, Historical, Romance"
10,Isekai Shokudou,異世界食堂,7.4,"TV Tokyo, Avex Pictures",TV,Completed,12,23 Menit,"Jul 4, 2017",Silver Link.,"Comedy, Fantasy, Mystery"
11,Tsurezure Children,徒然チルドレン,7.4,"Nihon Ad Systems, Kodansha, Movic, Other.",TV,Completed,12,12 Menit,"Jul 4, 2017",Studio Gokumi,"Comedy, Romance, School, Shounen"
12,Nisekoi Season 2,ニセコイ:,7.5,"Aniplex, Shueisha",BD,Completed,12,24 Menit,"Apr 10, 2015",Shaft,"Comedy, Harem, Romance, School, Shounen"
13,Nisekoi,ニセコイ,7.83,"Aniplex, Mainichi Broadcasting System, Shueisha",BD,Completed,20,24 Menit,"Jan 11, 2014",Shaft,"Comedy, Harem, Romance, School, Shounen"
14,Arslan Senki,アルスラーン戦記,7.84,"Dentsu, Mainichi Broadcasting System, Kodansha, Magic Capsule, Ultra Super Pictures, Graphinica, NBCUniversal Entertainment Japan",BD,Completed,25,24 Menit,"Apr 5, 2015","SANZIGEN, LIDENFILMS","Action, Adventure, Drama, Fantasy, Historical, Shounen"
15,Chihayafuru Season 2,ちはやふる 2,8.48,"VAP, Nippon Television Network Corporation",BD,Completed,25,22 Menit / Episode,"Jan 12, 2013",Madhouse,"Drama, Game, Josei, Slice of Life, Sports"
16,Chihayafuru,ちはやふる,8.3,"VAP, Nippon Television Network Corporation",BD,Completed,25,22 Menit,"Oct 5, 2011",Madhouse,"Drama, Game, Josei, Slice of Life, Sports"
17,D-Frag!,ディーふらぐ！,7.72,"TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, DAX Production, Sony Music Communications, Toranoana",BD,Completed,12,24 Menit,"Jan 7, 2014",Brain's Base,"Comedy, Game, School, Seinen"
18,Black Bullet,ブラック・ブレット　BLACK BULLET　［黒の銃弾］,7.4,"Geneon Universal Entertainment, AT-X, Showgate, NBCUniversal Entertainment Japan",BD,Completed,13,24 Menit,"Apr 8, 2014","Kinema Citrus, Orange","Action, Mystery, Sci-Fi, Seinen"
19,Amanchu! Season 2,あまんちゅ！～あどばんす～,7.19,-,TV,Completed,12,23 Menit,"Apr 7, 2018",J.C.Staff,"Comedy, School, Shounen, Slice of Life"
20,Amanchu,あまんちゅ！,7.34,"Production I.G, Frontier Works, Shochiku, AT-X, flying DOG, Tokyo MX, Mag Garden",BD,Completed,12,23 Menit,"Jul 8, 2016",J.C.Staff,"Comedy, School, Shounen, Slice of Life"
21,Nanbaka Season 2,ナンバカ 2期,7.61,comico,ONA,Completed,12,23 Menit,"Jan 4, 2017",Satelight,"Action, Comedy, Drama"
22,Oda Nobuna no Yabou,織田信奈の野望,7.6,"Pony Canyon, AT-X, KlockWorx, SoftBank Creative",BD,Completed,12,24 Menit,"Jul 9, 2012","Madhouse, Studio Gokumi","Comedy, Historical, Isekai, Romance"
23,Zero no Tsukaima Season 4,ゼロの使い魔F,7.68,"Cospa, Showgate",BD,Completed,12,24 Menit,"Jan 7, 2012",J.C.Staff,"Adventure,  , Fantasy, Isekai, Magic, Romance"
24,Zero no Tsukaima Season 3,ゼロの使い魔 ～三美姫（プリンセッセ）の輪舞（ロンド）～,7.53,-,BD,Completed,12,24 Menit,"Jul 7, 2008",J.C.Staff,"Action, Adventure, Comedy,  , Fantasy, Harem, Isekai, Magic, Romance, School"
