,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Muv-Luv Alternative Season 2,マブラヴ オルタネイティヴ,6.5,"Dentsu, Fuji TV, BS Fuji, Avex Pictures, Crunchyroll, Tencent Japan, Bandai Namco Music Live, Anchor",TV,Completed,12,22 Menit,"Okt 06, 2022","Yumeta Company, Graphinica, FLAGSHIP LINE","Action, Drama, Mecha, Military, Sci-Fi"
1,Bucchigire!,ブッチギレ!,6.0,"Ai Addiction, Twin Engine",TV,Completed,12,24 Menit,"Jul 08, 2022",Geno Studio,"Action, Historical, Samurai"
2,Yowamushi Pedal Season 5,弱虫ペダル LIMIT BREAK,7.38,"TV Tokyo, MediaNet, TOHO animation, Akita Shoten, NHK Enterprises",TV,Completed,25,25 Menit,"Okt 09, 2022",TMS Entertainment,"Racing, Shounen, Sports"
3,High Card,ハイカード,7.15,"TMS Entertainment, Kadokawa",TV,Completed,12,24 Menit,"Jan 09, 2023",Studio Hibari,"Action, Fantasy, Organized Crime, Super Power"
4,Majutsushi Orphen Hagure Tabi Season 3,魔術士オーフェンはぐれ旅 アーバンラマ編,6.12,"WOWOW, Lantis, MediaNet, Bushiroad, BS Fuji, Nippon Television Network, Yomiuri TV Enterprise, TO Books, NetEase, Bandai Namco Music Live",TV,Completed,12,23 Menit,"Jan 18, 2023",Studio Deen,"Action, Adventure, Drama, Fantasy, Martial Arts"
5,Mou Ippon!,もういっぽん！,7.17,"TV Tokyo, Pony Canyon, Akita Shoten, MAGNET, CHOCOLATE",TV,Completed,13,23 Menit,"Jan 09, 2023",Bakken Record,"School, Shounen, Slice of Life, Sports"
6,Tokyo Revengers Season 2,東京リベンジャーズ 聖夜決戦編,7.71,"Mainichi Broadcasting System, Pony Canyon, Kodansha, AT-X, Ultra Super Pictures, Studio Mausu, Sammy",TV,Completed,13,23 Menit,"Jan 08, 2023",LIDENFILMS,"Action, Drama, Shounen, Supernatural, Time Travel"
7,Inu ni Nattara Suki na Hito ni Hirowareta,犬になったら好きな人に拾われた。,5.21,"Kodansha, KlockWorx, Asmik Ace, King Records",TV,Completed,12,12 Menit,"Jan 07, 2023",Quad,"Comedy,  "
8,Shinka no Mi Season 2,真・進化の実～知らないうちに勝ち組人生～,5.38,"TV Tokyo, HoriPro, KlockWorx, Glovision, Docomo Anime Store, Futabasha, bilibili, Bushiroad Move",TV,Completed,12,25 Menit,"Jan 14, 2023",Hotline,"Adventure, Fantasy, Harem, Isekai, Romance"
9,Hikari no Ou,火狩りの王,6.42,"Production I.G, WOWOW, flying DOG",TV,Completed,10,24 Menit,"Jan 14, 2023",Signal.MD,Fantasy
10,Bungou Stray Dogs Season 4,文豪ストレイドッグス,8.48,"WOWOW, Lantis, Movic, Glovision, Crunchyroll, Kadokawa, Sony Music Solutions, Bandai Namco Music Live",TV,Completed,13,23 Menit,"Jan 04, 2023",Bones,"Action, Mystery, Super Power, Supernatural"
11,Spy Kyoushitsu,スパイ教室,6.33,"Movic, AT-X, Studio Mausu, BS NTV, Kadokawa",TV,Completed,12,25 Menit,"Jan 05, 2023",feel.,"Action, Fantasy, Mystery"
12,Hoshi no Samidare,惑星のさみだれ,5.65,"Nippon Animation, Mainichi Broadcasting System, Movic, Jumondo, BS11, My Theater D.D., Live Viewing Japan, Sonilude, Mixer, Mirai-Kojo",TV,Completed,24,24 Menit,"Jul 09, 2022",NAZ,"Action, Adventure, Comedy, Drama, Psychological"
13,Saikyou Onmyouji no Isekai Tenseiki,最強陰陽師の異世界転生記,7.22,"KlockWorx, Asmik Ace, King Records, Futabasha, Crunchyroll",TV,Completed,13,23 Menit,"Jan 07, 2023",Studio Blanc,"Action, Adventure, Fantasy, Isekai, Reincarnation"
14,Buddy Daddies,Buddy Daddies,8.18,"Aniplex, Bit grooove promotion",TV,Completed,12,24 Menit,"Jan 07, 2023",P.A. Works,"Action, Childcare, Comedy"
15,Cool Doji Danshi,クールドジ男子,7.86,"TV Tokyo, AT-X, Magic Capsule, Avex Pictures",TV,Completed,24,11 Min.,"Okt 11, 2022",Pierrot,Slice of Life
16,Kami-tachi ni Hirowareta Otoko Season 2,神達に拾われた男,6.77,"Lantis, Toei Video, KlockWorx, Nikkatsu, Asmik Ace, Hobby Japan, BS Fuji, Tokyo MX, Amusement Media Academy, Crunchyroll, Hakuhodo, Exa International, Bandai Namco Music Live",TV,Completed,12,23 Menit,"Jan 08, 2023",Maho Film,"Fantasy, Isekai, Reincarnation, Slice of Life"
17,Tomo-chan wa Onnanoko!,トモちゃんは女の子！,7.9,"Aniplex, Seikaisha, Crunchyroll, INSPION Edge",TV,Completed,13,23 Menit,"Jan 05, 2023",Lay-duce,"Comedy, Romance, School"
18,Tondemo Skill de Isekai Hourou Meshi,とんでもスキルで異世界放浪メシ,7.71,"Bushiroad, dugout",TV,Completed,12,23 Menit,"Jan 11, 2023",MAPPA,"Adventure, Comedy, Fantasy, Isekai"
19,Mononogatari,もののがたり,7.15,Shogakukan-Shueisha Productions,TV,Completed,12,23 Menit,"Jan 10, 2023",Bandai Namco Pictures,"Action, Mythology, Seinen, Supernatural"
20,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu",英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～,6.59,"Nippon Columbia, Bit grooove promotion",TV,Completed,12,23 Menit,"Jan 10, 2023",Studio Comet,"Action, Fantasy, Reincarnation"
21,"Benriya Saitou-san, Isekai ni Iku",便利屋斎藤さん、異世界に行く,7.54,Kadokawa,TV,Completed,12,23 Menit,"Jan 08, 2023",C2C,"Adventure, Comedy, Fantasy, Isekai"
22,KanColle Season 2,艦これ いつかあの海で,6.32,-,TV,Completed,8,23 Menit,"Nov 04, 2022",ENGI,"Action, Military, School, Sci-Fi, Slice of Life"
23,Kyokou Suiri Season 2,虚構推理 Season2,7.36,"Nihon Ad Systems, Kodansha, KlockWorx, Docomo Anime Store, King Records, Crunchyroll, BS NTV, Mixi",TV,Completed,12,25 Menit,"Jan 09, 2023",Brain's Base,"Mystery, Mythology, Romance, Shounen, Supernatural"
24,Ooyukiumi no Kaina,大雪海のカイナ,6.7,"Sony Pictures Entertainment, Dentsu, Fuji TV, BS Fuji, bilibili, Crunchyroll, NetEase",TV,Completed,11,22 Menit,"Jan 12, 2023",Polygon Pictures,"Fantasy, Survival"
