,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,3-gatsu no Lion,3月のライオン,8.43,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy's Factory",TV,Completed,22,25 Menit / Episode,"Oct 8, 2016 sampai Mar 18, 2017",Shaft,"Drama, Game, Seinen, Slice of Life"
1,Bokutachi wa Benkyou ga Dekinai,ぼくたちは勉強ができない,7.29,"Aniplex, Magic Capsule, Shueisha",TV,Completed,13,24 Menit,"Apr 7, 2019","Silver, Arvo Animation","Comedy, Harem, Romance, School, Shounen"
2,Tate no Yuusha no Nariagari,盾の勇者の成り上がり,8.51,"Glovision, Kadokawa, Crunchyroll SC Anime Fund",TV,Completed,25,24 Menit,"Jan 9, 2019",Kinema Citrus,"Action, Adventure, Comedy, Drama, Fantasy, Romance, Seinen"
3,Bungou Stray Dogs Season 3,文豪ストレイドッグス 第3期,8.45,"Lantis, Glovision",TV,Completed,12,23 Menit,"Apr 12, 2019",Bones,"Action, Mystery, Seinen, Super Power, Supernatural"
4,Nande Koko ni Sensei ga!?,なんでここに先生が!?,6.85,-,TV,Completed,12,12 Menit,"Apr 8, 2019",tear-studio,"Comedy,  , School, Seinen"
5,Kenja no Mago,賢者の孫,7.11,-,TV,Completed,12,23 Menit,"Apr 10, 2019",Silver Link.,"Action, Comedy, Fantasy, Magic"
6,Sewayaki Kitsune no Senko-san,世話やきキツネの仙狐さん,7.64,-,TV,Completed,12,23 Menit,"Apr 10, 2019",Doga Kobo,"Comedy, Romance, Supernatural"
7,Isekai Quartet,異世界かるてっと,7.72,Kadokawa,TV,Completed,12,12 Menit,"Apr 10, 2019",Studio PuYUKAI,"Comedy, Fantasy, Parody"
8,Mayonaka no Occult Koumuin,真夜中のオカルト公務員,6.82,-,TV,Completed,12,23 Menit,"Apr 8, 2019",LIDENFILMS,"Demons, Fantasy, Mystery, Shoujo, Supernatural"
9,Hitoribocchi no Marumaru Seikatsu,ひとりぼっちの○○生活,7.75,-,TV,Completed,12,23 Menit,"Apr 6, 2019",C2C,"Comedy, School, Shounen, Slice of Life"
10,Senryuu Shoujo,川柳少女,7.48,-,TV,Completed,12,12 Menit,"Apr 6, 2019",Connect,"Comedy, School, Shounen, Slice of Life"
11,Hachigatsu no Cinderella Nine,八月のシンデレラナイン,6.22,-,TV,Completed,12,23 Menit,"Apr 8, 2019",TMS Entertainment,"School, Sports"
12,Shoumetsu Toshi,消滅都市,5.57,Pony Canyon,TV,Completed,12,23 Menit,"Apr 7, 2019",Madhouse,"Action, Adventure, Drama, Fantasy, Mystery"
13,Fairy Gone,Fairy gone フェアリーゴーン,6.02,-,TV,Completed,12,23 Menit,"Apr 8, 2019",P.A. Works,"Action, Demons, Fantasy, Magic, Supernatural"
14,Nobunaga-sensei no Osanazuma,ノブナガ先生の幼な妻,5.45,-,TV,Completed,12,7 Menit,"Apr 6, 2019",Seven,"Comedy, Romance, School"
15,Joshikausei,女子かう生,5.8,-,TV,Completed,12,3 Menit,"Apr 6, 2019",Seven,"Comedy, School, Slice of Life"
16,Midara na Ao-chan wa Benkyou ga Dekinai,淫らな青ちゃんは勉強ができない,7.01,-,TV,Completed,12,12 Menit,"Apr 6, 2019",Silver Link.,"Comedy,  , Romance, Shounen"
17,Sarazanmai,さらざんまい,7.66,"Aniplex, Dentsu, Movic, Fuji TV, Gentosha Comics",TV,Completed,11,22 Menit,"Apr 12, 2019","MAPPA, Lapin Track","Action, Fantasy, Supernatural"
18,Chou Kadou Girl 1/6,超可動ガール1/6 AMAZING STRANGER,6.15,-,TV,Completed,12,12 Menit,"Apr 6, 2019",Studio A-CAT,"Comedy, Seinen"
19,Accel World,アクセル・ワールド,7.54,"Genco, Rakuonsha, Warner Bros., flying DOG, other",BD,Completed,24,24 Menit,"Apr 07, 2012",Sunrise,"Action, Game, Romance, School, Sci-Fi"
20,3D Kanojo: Real Girl Season 2,3D彼女 リアルガール第2シーズン,7.5,-,TV,Completed,12,20 Menit,"Jan 9, 2019",Hoods Entertainment,"Romance, School, Shoujo"
21,Seiken Tsukai no World Break,聖剣使いの禁呪詠唱〈ワールドブレイク〉,7.15,Sotsu,BD,Completed,12,24 Menit,"Jan 12, 2015",Diomedea,"Action, Fantasy, Harem, Romance, School, Supernatural"
22,Ao no Kanata no Four Rhythm,蒼の彼方のフォーリズム,6.9,"TV Tokyo, Pony Canyon, AT-X, DLE, NBCUniversal Entertainment Japan, Docomo Anime Store, bilibili, Kanon Sound, Hobibox",BD,Completed,12,24 Menit,"Jan 12, 2016",Gonzo,"Drama, School, Sci-Fi, Sports"
23,Ange Vierge,アンジュ・ヴィエルジュ,6.14,"Sotsu, Sega, KlockWorx, Grooove",BD,Completed,12,23 Menit,"Jul 10, 2016",Silver Link.,"Adventure, Fantasy, Magic, School"
24,Aoki Hagane no Arpeggio: Ars Nova,蒼き鋼のアルペジオ ‐アルス・ノヴァ‐,7.52,"Sotsu, KlockWorx, flying DOG, Ultra Super Pictures, Showgate, Shounen Gahousha",BD,Completed,12,蒼き鋼のアルペジオ ‐アルス・ノヴァ‐,"Oct 8, 2013",SANZIGEN,"Action, Sci-Fi, Seinen"
