,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Fugou Keiji: Balance:Unlimited,富豪刑事 Balance:UNLIMITED,7.67,"niplex, Dentsu, Animax, Movic, Fuji TV, Sonilude",TV,Completed,11,23 Menit,"Apr 10, 2020",CloverWorks,Mystery
1,No Guns Life Season 2,ノー・ガンズ・ライフ,7.01,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",TV,Completed,12,23 Menit,"Jul 10, 2020",Madhouse,"Action, Drama, Sci-Fi, Seinen"
2,Appare Ranman,天晴爛漫！,7.36,"Lantis, Kadokawa",TV,Completed,13,23 Menit,"Mar 21, 2020",P.A. Works,Historical
3,Uzaki-chan wa Asobitai!,宇崎ちゃんは遊びたい！,7.11,-,TV,Completed,12,23 Menit,"Jul 5, 2020",ENGI,"Comedy,  , Slice of Life"
4,Monster Musume no Oishasan,モンスター娘のお医者さん,6.46,Magic Capsule,TV,Completed,12,23 Menit,"Jul 12, 2020",Arvo Animation,"Comedy,  , Fantasy, Romance"
5,Deca-Dence,デカダンス,7.56,Kadokawa,TV,Completed,12,23 Menit,"Jul 8, 2020",Nut,"Action, Adventure, Sci-Fi"
6,Shokugeki no Souma Season 5,食戟のソーマ 豪ノ皿,7.65,-,TV,Completed,13,24 Menit,"Apr 11, 2020",J.C.Staff," , School, Shounen"
7,Fruits Basket Season 2,フルーツバスケット 2nd season,8.54,-,TV,Completed,25,23 Menit,"Apr 7, 2020",TMS Entertainment,"Comedy, Drama, Romance, Shoujo, Slice of Life, Supernatural"
8,Houkago Teibou Nisshi,放課後ていぼう日誌,7.32,-,TV,Completed,12,24 Menit,"Apr 7, 2020",Doga Kobo,"Comedy, School, Seinen, Slice of Life"
9,Lapis Re:LiGHTs,ラピスリライツ,6.65,Studio Mausu,TV,Completed,12,24 Menit,"Jul 4, 2020",Yokohama Animation Lab,Music
10,Sword Art Online: Alicization Season 2,ソードアート・オンライン アリシゼーション War of Underworld,7.67,"Aniplex, Bandai Namco Entertainment, Egg Firm, Straight Edge, Kadokawa, Sonilude",TV,Completed,23,23 Menit,"Oct 13, 2019",A-1 Pictures,"Action, Adventure, Fantasy, Game, Romance"
11,Terra Formars Season 2,テラフォーマーズ リベンジ,6.75,"Warner Bros. Japan, Ultra Super Pictures, MAGES., Good Smile Company, Shueisha, Kyoraku Industrial Holdings, Animatic",TV,Completed,13,24 Menit,"Apr 2, 2016","TYO Animations, LIDENFILMS","Action, Drama, Horror, Sci-Fi, Seinen, Space"
12,Hitsugi no Chaika Season 2,棺姫のチャイカ AVENGING BATTLE,7.23,"Kadokawa Shoten, flying DOG, Fujimi Shobo",BD,Completed,10,23 Menit,"Oct 9, 2014",Bones,"Action, Adventure, Comedy, Fantasy, Romance"
13,Hitsugi no Chaika,棺姫のチャイカ,7.31,"Kadokawa Shoten, flying DOG, Fujimi Shobo",BD,Completed,12,24 Menit,"Apr 10, 2014",Bones,"Action, Adventure, Comedy, Fantasy, Romance"
14,Full Metal Panic Season 3,フルメタル・パニック！Invisible Victory,7.61,-,BD,Completed,12,24 Menit,"Apr 13, 2018",Xebec,"Action, Mecha, Military"
15,Full Metal Panic Fumoffu,フルメタル・パニック? ふもっふ,8.09,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",BD,Completed,12,24 Menit,"Aug 26, 2003",Kyoto Animation,"Action, Comedy, School"
16,Full Metal Panic! Season 2,フルメタル パニック！The Second Raid,7.98,"Kadokawa Shoten, Happinet Pictures",BD,Completed,13,24 Menit,"Jul 14, 2005",Kyoto Animation,"Action, Mecha, Military"
17,Full Metal Panic!,フルメタル・パニック！,7.67,Kadokawa Shoten,BD,Completed,24,24 Menit,"Jan 8, 2002",Gonzo,"Action, Comedy, Mecha, Military, Sci-Fi"
18,Arcana Famiglia,アルカナ・ファミリア －La storia della Arcana Famiglia－,6.3,"Frontier Works, Movic, Warner Bros. Japan, Showgate",TV,Completed,12,24 Menit,"Jul 1, 2012",J.C.Staff,"Action, Harem, Romance, Shoujo, Supernatural"
19,Terra Formars,TERRA FORMARS [テラフォーマーズ],7.06,"Warner Bros. Japan, SANZIGEN, Ultra Super Pictures, MAGES., Good Smile Company, Shueisha, Animatic",BD,Completed,13,24 Menit,"Sep 27, 2014",LIDENFILMS,"Action, Drama, Horror, Sci-Fi, Seinen, Space"
20,WWW.Working!!,WWW.WORKING!!,7.47,"Aniplex, Yomiuri Telecasting, Lawson",BD,Completed,13,23 Menit,"Oct 1, 2016",A-1 Pictures,"Comedy, Slice of Life"
21,Joker Game,ジョーカー・ゲーム,7.07,"Frontier Works, Kadokawa Shoten, Movic, AT-X, Sony Music Communications, Hakuhodo DY Music & Pictures, Sammy",TV,Completed,12,23 Menit,"Apr 5, 2016",Production I.G,"Drama, Historical, Military"
22,Hakata Tonkotsu Ramens,博多豚骨ラーメンズ,7.44,"Sotsu, AT-X, Warner Bros. Japan, KlockWorx, ASCII Media Works, Tokyo MX, BS11",TV,Completed,12,23 Menit,"Jan 12, 2018",Satelight,Action
23,Yuru Yuri Season 3,ゆるゆり さん☆ハイ！,7.97,"Sotsu, Pony Canyon",BD,Completed,12,23 Menit,"Oct 6, 2015",TYO Animations,"Comedy, School, Shoujo Ai, Slice of Life"
24,Yuru Yuri Season 2,ゆるゆり♪♪,7.87,"Sotsu, Pony Canyon, DAX Production",BD,Completed,12,23 Menit,"Jul 3, 2012",Doga Kobo,"Comedy, School, Shoujo Ai, Slice of Life"
