,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Drifters,DRIFTERS,8.06,"Hoods Entertainment, NBCUniversal Entertainment Japan, Shounen Gahousha",BD,Completed,12,23 Menit / Episode,"Oct 7, 2016 sampai Dec 23, 2016",Fall 2016,"Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen"
1,Devil Survivor 2 The Animation,デビルサバイバー２ THE ANIMATION,7.03,"Mainichi Broadcasting System, Pony Canyon, Showgate, Index",BD,Completed,13,24 Menit / Episode,"Apr 5, 2013 sampai Jun 28, 2013",Bridge,"Action, Demons, Supernatural"
2,Konobi,この美術部には問題がある！,7.43,"TBS, DAX Production, ASCII Media Works, King Records",BD,Completed,12,24 Menit / Episode,"Jul 8, 2016 sampai Sep 23, 2016",feel.,"Comedy, Romance, School"
3,Kiznaiver,キズナイーバー,7.65,"Aniplex, Movic, Ultra Super Pictures, Sammy, Asahi Broadcasting Corporation, BS11, Crunchyroll",BD,Completed,12,24 Menit / Episode,"Apr 9, 2016 sampai Jun 25, 2016",Trigger,"Drama, Sci-Fi"
4,Bokura wa Minna Kawaisou,僕らはみんな河合荘,7.85,TBS,BD,Completed,12,24 Menit / Episode,"Apr 4, 2014 sampai Jun 20, 2014",Brain's Base,"Comedy, Romance, School, Slice of Life"
5,Akatsuki no Yona,暁のヨナ,8.2,"Tokyo MX, Hakusensha, VAP, AT-X, Delfi Sound, Other",BD,Completed,24,24 Menit / Episode,"Oct 7, 2014 Sampai Mar 24, 2015",Studio Pierrot,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo"
6,Dantalian no Shoka,ダンタリアンの書架,7.33,"TV Tokyo, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, NTT Docomo, Dwango",BD,Completed,12,25 Menit / Episode,"Jul 16, 2011 sampai Oct 1, 2011",Gainax,"Action, Historical, Mystery, Supernatural"
7,Denpa Onna to Seishun Otoko,電波女と青春男,7.29,"Starchild Records, TBS",BD,Completed,12,24 Menit / Episode,"Apr 15, 2011 sampai Jul 1, 2011",Shaft,"Comedy, Sci-Fi, Seinen, Slice of Life"
8,Dansai Bunri no Crime Edge,断裁分離のクライムエッジ,6.84,Media Factory,BD,Completed,13,24 Menit / Episode,"Apr 4, 2013 sampai Jun 27, 2013",Studio Gokumi,"Action, Fantasy, Romance, Seinen"
9,Blood C,ブラッドシー,6.71,"Aniplex, Mainichi Broadcasting System, Dwango",BD,Completed,12,23 Menit / Episode,"Jul 8, 2011 sampai Sep 30, 2011",Production I.G,"Action, Horror, School, Supernatural, Vampire"
10,DanMachi,ダンジョンに出会いを求めるのは間違っているだろうか,7.84,"Genco, Movic, Warner Bros., KlockWorx, SoftBank Creative Corp., Showgate, MAGES., Furyu",BD,Completed,13,24 Menit / Episode,"Apr 4, 2015 sampai Jun 27, 2015",J.C.Staff,"Action, Adventure, Comedy, Fantasy, Romance"
11,Ben-To,ベン・トー,7.44,"Pony Canyon, AT-X, Magic Capsule, Bulls Eye",BD,Completed,12,24 Menit / Episode,"Oct 9, 2011 sampai Dec 25, 2011",Fall 2011,"Action, Comedy, Martial Arts"
12,Baccano!,バッカーノ！,8.51,"Aniplex, Sakura Create, Happinet Pictures",BD,Completed,13,24 Menit / Episode,"Jul 27, 2007 sampai Nov 2, 2007",Brain's Base,"Action, Comedy, Historical, Mystery, Seinen, Supernatural"
