,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
813,Clannad,ＣＬＡＮＮＡＤ -クラナド,8.24,"Pony Canyon, TBS, Movic, Animation Do",BD,Completed,23,24 Menit,"Oct 5, 2007",Kyoto Animation,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
814,Handa-kun,はんだくん,7.47,"Square Enix, Lantis, TBS, DAX Production, Memory-Tech, TC Entertainment, Docomo Anime Store, NichiNare",TV,Completed,12,24 Menit,"Jul 8, 2016",Diomedea,"Comedy, Shounen, Slice of Life"
815,Circlet Princess,CIRCLET PRINCESS（サークレット・プリンセス）,6.08,Lantis,TV,Completed,12,24 Menit,"Jan 8, 2019",Silver Link.,"Action, School, Sci-Fi, Sports"
816,Death Note,デスノート,8.68,"VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",BD,Completed,37,23 Menit,"Oct 4, 2006",Madhouse,"Mystery, Police, Psychological, Supernatural, Thriller"
817,Gakuen Babysitters,学園ベビーシッターズ,7.91,"Bandai Visual, Lantis, Nihon Ad Systems, Hakusensha, Banpresto, Marui Group",TV,Completed,12,23 Menit,"Jan 7, 2018",Brain's Base,"Comedy, School, Shoujo, Slice of Life"
818,Hajimete no Gal,はじめてのギャル,6.51,"Kadokawa Shoten, AT-X, KlockWorx",BD,Completed,10,23 Menit,"Jul 12, 2017",NAZ,"Comedy,  , Romance, School, Shounen"
819,Seirei Tsukai no Blade Dance,精霊使いの剣舞〈ブレイドダンス〉,7.06,"Genco, Media Factory, Movic, AT-X, Showgate",BD,Completed,12,23 Menit,"Jul 14, 2014",TNK,"Action, Comedy,  , Fantasy, Harem, Romance, School, Supernatural"
820,Log Horizon Season 2,ログ・ホライズン 第2シリーズ,7.67,NHK,BD,Completed,25,ログ・ホライズン 第2シリーズ,"Oct 4, 2014",Studio Deen,"Action, Adventure, Fantasy, Game, Magic"
821,Log Horizon,ログ・ホライズン,8.10,NHK,BD,Completed,25,25 Menit,"Oct 5, 2013",Satelight,"Action, Adventure, Fantasy, Game, Magic"
822,Koi wa Ameagari no You ni,恋は雨上がりのように,7.61,"Aniplex, Dentsu, Fuji TV, DMM pictures",TV,Completed,12,22 Menit,"Jan 12, 2018",Wit Studio,"Romance, Seinen"
823,Mikakunin de Shinkoukei,未確認で進行形,7.53,"Sotsu, DAX Production, TOHO animation, RAY, Ichijinsha",BD,Completed,12,23 Menit,"Jan 9, 2014",Doga Kobo,"Comedy, Romance, School, Slice of Life"
824,Boku wa Tomodachi ga Sukunai Season 2,僕は友達が少ない NEXT,7.63,"Media Factory, TBS, Magic Capsule, Good Smile Company",BD,Completed,12,24 Menit,"Jan 11, 2013",AIC Build,"Comedy, Harem, Romance, School, Slice of Life"
825,Boku wa Tomodachi ga Sukunai,僕は友達が少ない,7.50,"Media Factory, TBS, Bushiroad, Good Smile Company",BD,Completed,12,24 Menit,"Oct 7, 2011",AIC Build,"Comedy,  , Harem, Romance, School, Slice of Life"
826,Kuroshitsuji Season 2,黒執事II,7.44,"Aniplex, Square Enix, Mainichi Broadcasting System",BD,Completed,12,24 Menit,"Jul 2, 2010",A-1 Pictures,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
827,Kuroshitsuji,黒執事,7.96,"Aniplex, Square Enix, Yomiko Advertising, Mainichi Broadcasting System, Movic, Trinity Sound",BD,Completed,24,24 Menit,"Oct 3, 2008",A-1 Pictures,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
828,Tamako Market,たまこまーけっと,7.39,"Animax, Pony Canyon, TBS, Other.",BD,Completed,12,23 Menit,"Jan 10, 2013",Kyoto Animation,"Comedy, Slice of Life"
829,Subete ga F ni Naru,すべてがFになる THE PERFECT INSIDER,7.33,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",BD,Completed,11,23 Menit,"Oct 9, 2015",A-1 Pictures,"Mystery, Psychological, Sci-Fi"
830,Death March kara Hajimaru Isekai Kyousoukyoku,デスマーチからはじまる異世界狂想曲,6.86,"Sotsu, AT-X, DIVE II Entertainment, Tokyo MX, Avex Pictures, BS11, Kadokawa, KLab",TV,Completed,12,23 Menit,"Jan 11, 2018 to ","Silver Link., Connect","Adventure, Fantasy, Harem"
831,Zoku Owarimonogatari,続・終物語,8.58,Aniplex,BD,Completed,6,24 Menit,"Nov 10, 2018",Shaft,"Comedy, Mystery, Supernatural, Vampire"
832,Isekai wa Smartphone to Tomo ni,異世界はスマートフォンとともに。,6.73,"Sotsu, MediaNet, Pony Canyon, AT-X, Asmik Ace, Hobby Japan, 81 Produce, Tokyo MX, Exit Tunes",TV,Completed,12,24 Menit,"Jul 11, 2017",Production Reed,"Adventure, Comedy, Fantasy, Harem, Magic, Romance"
833,Gabriel DropOut,ガヴリールドロップアウト,7.58,"Media Factory, AT-X, Sony Music Communications, Kadokawa Media House, NTT Plala",TV,Completed,12,23 Menit,"Jan 9, 2017",Doga Kobo,"Comedy, Demons, School, Shounen, Supernatural"
834,Black Rock Shooter,ブラック★ロックシューター,6.97,"Aniplex, Dentsu,Sony Music Entertainment, Fuji Pacific Music Publishing",BD,Completed,8,23 Menit,"Feb 3, 2012","Ordet, SANZIGEN","Action, Drama, School, Slice of Life"
835,Darker than Black Season 2,DARKER THAN BLACK 流星の双子,7.58,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Sakura Create",BD,Completed,12,24 Menit,"Oct 9, 2009",Bones,"Action, Mystery, Sci-Fi, Super Power"
836,Darker than Black,Darker than BLACK -黒の契約者-,8.24,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic",BD,Completed,25,24 Menit,"Apr 6, 2007",Bones,"Action, Mystery, Sci-Fi, Super Power"
837,Mirai Nikki,未来日記,7.95,"Lantis, Kadokawa Shoten, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Other",BD,Completed,26,23 Menit,"Oct 9, 2011",Asread,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller"
838,K-On! Season 2,けいおん!!,8.14,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",BD,Completed,26,24 Menit,"Apr 7, 2010",Kyoto Animation,"Comedy, Music, School, Slice of Life"
839,K-On!,けいおん!,7.86,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",BD,Completed,13,24 Menit,"Apr 3, 2009",Kyoto Animation,"Comedy, Music, School, Slice of Life"
840,Little Witch Academia,リトルウィッチアカデミア,8.09,"Ultra Super Pictures, TOHO animation, Good Smile Company",BD,Completed,25,24 Menit,"Jan 9, 2017",Trigger,"Adventure, Comedy, Fantasy, Magic, School"
841,Kino no Tabi,キノの旅 -the Beautiful World- the Animated Series,7.61,"Movic, Magic Capsule, ASCII Media Works, NBCUniversal Entertainment Japan, Egg Firm, Crunchyroll SC Anime Fund",TV,Completed,12,23 Menit,"Oct 6, 2017",Lerche,"Action, Adventure, Slice of Life"
842,Sword Art Online Season 2,ソードアート・オンライン II,7.24,"Aniplex, Genco, ASCII Media Works, Bandai Namco Entertainment",BD,Completed,24,23 Menit,"Jul 5, 2014",A-1 Pictures,"Action, Adventure, Fantasy, Game, Romance"
843,Sword Art Online,ソードアート・オンライン,7.76,"Aniplex, Genco, DAX Production, ASCII Media Works",BD,Completed,25,23 Menit,"Jul 8, 2012",A-1 Pictures,"Action, Adventure, Fantasy, Game, Romance"
844,Tokyo Ghoul Season 2,東京喰種√A,7.47,"Marvelous AQL, Shueisha",BD,Completed,12,24 Menit,"Jan 9, 2015",Studio Pierrot,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"
845,Tokyo Ghoul,東京喰種-トーキョーグール-,8.02,"Marvelous AQL, TC Entertainment, Shueisha",BD,Completed,12,24 Menit,"Jul 4, 2014",Studio Pierrot,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"
846,One Punch Man,ワンパンマン,8.75,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, East Japan Marketing & Communications",BD,Completed,12,24 Episode,"Oct 5, 2015",Madhouse,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural"
847,Saenai Heroine no Sodatekata Season 2,冴えない彼女〈ヒロイン〉の育てかた♭,7.88,"Aniplex, Dentsu, Fuji TV, Cospa, Good Smile Company, Kansai Telecasting, Fujimi Shobo",BD,Completed,11,22 Menit,"Apr 14, 2017",A-1 Pictures,"Comedy,  , Harem, Romance, School"
848,Saenai Heroine no Sodatekata,冴えない彼女〈ヒロイン〉の育てかた,7.67,"Aniplex, Dentsu, Fuji TV, Half H.P Studio, Cospa, Fuji Pacific Music Publishing, Good Smile Company, Kyoraku Industrial Holdings, Kansai Telecasting, Fujimi Shobo",BD,Completed,12,23 Menit,"Jan 16, 2015",A-1 Pictures,"Comedy,  , Harem, Romance, School"
849,Highschool of the Dead,学園黙示録 HIGHSCHOOL OF THE DEAD,7.38,"Geneon Universal Entertainment, AT-X, Showgate",BD,Completed,12,24 Menit,"Jul 5, 2010 ",Madhouse,"Action, Horror, Supernatural"
850,Koimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,6,24 Menit / Episode,"Nov 23, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
851,Onimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,4,24 Menit,"Oct 26, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
852,Otorimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,4,24 Menit,"Sep 21, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
853,Kabukimonogatari,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,4,24 Menit,"Aug 17, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
854,Nekomonogatari: Shiro,〈物語〉シリーズ セカンドシーズン,8.78,"Aniplex, Kodansha, Cyclone Graphics inc",BD,Completed,5,24 Menit,"Jul 06, 2013",Shaft,"Comedy, Mystery, Romance, Supernatural, Vampire"
855,Koyomimonogatari,暦物語,7.78,"Aniplex, Kodansha",BD,Completed,12,14 Menit,"Jan 10, 2016",Shaft,"Comedy, Mystery, Supernatural"
856,Owarimonogatari Season 2,終物語,9.04,"Aniplex, Kodansha",BD,Completed,7,22 Menit,"Aug 12, 2017",Shaft,"Comedy, Mystery, Supernatural"
857,Owarimonogatari,終物語,8.42,Aniplex,BD,Completed,12,26 Menit,"Oct 4, 2015",Shaft,"Comedy, Mystery, Supernatural"
858,Tsukimonogatari,憑物語,8.20,Aniplex,BD,Completed,4,24 Menit / Episode,"Dec 31, 2014",Shaft,"Comedy, Mystery, Supernatural"
859,Hanamonogatari,花物語,8.10,"Aniplex, Kodansha",BD,Completed,5,25 Menit,"Aug 16, 2014",Shaft,"Comedy, Mystery, Supernatural"
860,Nekomonogatari: Kuro,猫物語（黒）,8.06,"Aniplex, Kodansha",BD,Completed,4,24 Menit,"Dec 31, 2012",Shaft,"Comedy, Romance, Supernatural"
861,Nisemonogatari,偽物語,8.21,"Aniplex, Kodansha, Rakuonsha",BD,Completed,11,24 Menit,"Jan 08, 2012",Shaft,"Comedy, Mystery, Supernatural"
862,Bakemonogatari,化物語,8.37,"Aniplex, Kodansha",BD,Completed,15,24 Menit,"Jul 03, 2009",Shaft,"Mystery, Romance, Supernatural, Vampire"
863,Arslan Senki Season 2,アルスラーン戦記 風塵乱舞,7.60,"Mainichi Broadcasting System, Magic Capsule, Ultra Super Pictures, Graphinica, NBCUniversal Entertainment Japan",BD,Completed,8,24 Menit,"Jul 3, 2016",LIDENFILMS,"Action, Adventure, Drama, Fantasy, Historical, Shounen, Supernatural"
864,Boku no Hero Academia Season 3,僕のヒーローアカデミア 3rdシーズン,8.68,Shueisha,TV,Completed,25,23 Menit,"Apr 7, 2018",Bones,"Action, Comedy, School, Shounen, Super Power"
865,Boku no Hero Academia Season 2,僕のヒーローアカデミア 2ndシーズン,8.77,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",BD,Completed,25,23 Menit,"Apr 1, 2017",Bones,"Action, Comedy, School, Shounen, Super Power"
866,Blood Lad,ブラッドラッド,7.52,"Kadokawa Shoten, KlockWorx, flying DOG",BD,Completed,10,24 Menit,"Jul 8, 2013",Brain's Base,"Action, Comedy, Demons, Seinen, Supernatural, Vampire"
