,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Shinryaku! Ika Musume,侵略!イカ娘,7.56,"TV Tokyo, Lantis, Pony Canyon, Studio Jack",BD,Completed,12,24 Menit / Episode,"Oct 5, 2010 sampai Dec 21, 2010",Diomedea,"Comedy, Shounen, Slice of Life"
1,Oregairu Season 2,やはり俺の青春ラブコメはまちがっている。続,8.29,"TBS, Marvelous AQL, NBCUniversal Entertainment Japan",BD,Completed,13,24 Menit Episode,"Apr 3, 2015 sampai Jun 26, 2015",feel.,"Comedy, Drama, Romance, School, Slice of Life"
2,Oregairu,やはり俺の青春ラブコメはまちがっている。,8.11,"Geneon Universal Entertainment, TBS, Delfi Sound, Marvelous AQL, Atelier Musa",BD,Completed,13,24 Menit / Episode,"Apr 5, 2013 sampai Jun 28, 2013",Brain's Base,"Comedy, Drama, Romance, School, Slice of Life"
3,Wizard Barristers,ウィザード・バリスターズ～弁魔士セシル,6.24,"Pony Canyon, Showgate",BD,Completed,12,24 Menit / Episode,"Jan 13, 2014 sampai Mar 31, 2014",Arms,Magic
4,Rail Wars,RAIL WARS! [レールウォーズ],6.45,"Lantis, Pony Canyon, TBS",BD,Completed,12,24 Menit / Episode,"Jul 4, 2014 sampai Sep 19, 2014",Passione,"Action,  , Harem, Police"
5,Comet Lucifer,コメット・ルシファー,5.95,"Bandai Visual, Lantis, Bushiroad, Good Smile Company, BS11, Sony PCL",BD,Completed,12,23 Menit / Episode,"Oct 4, 2015 sampai Dec 20, 2015",8bit,"Action, Adventure, Fantasy, Mecha"
6,Minami-ke Season 4,みなみけ ただいま,7.77,-,BD,Completed,13,24 Menit / Episode,"Jan 6, 2013 sampai Mar 31, 2013",feel.,"Comedy, School, Slice of Life"
7,Minami-ke Season 3,みなみけ おかえり,7.64,-,BD,Completed,13,24 Menit / Episode,"Jan 5, 2009 sampai Mar 30, 2009",Asread,"Comedy, School, Slice of Life"
8,Minami-ke Season 2,みなみけ～おかわり～,7.4,"Starchild Records, Magic Capsule, TV Tokyo Music",BD,Completed,13,24 Menit / Episode,"Jan 7, 2008 sampai Mar 31, 2008",Asread,"Comedy, School, Slice of Life"
9,Minami-ke,みなみけ,7.78,"Starchild Records, Magic Capsule, Eye Move, Sunny Side Up",BD,Completed,13,24 Menit / Episode,"Oct 8, 2007 sampai Dec 31, 2007",Daume,"Comedy, School, Slice of Life"
10,Ao no Exorcist Season 2,青の祓魔師 京都不浄王篇,7.79,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Shueisha",BD,Completed,12,24 Menit / Episode,"May 07, 2017",A-1 Pictures,"Action, Demons, Fantasy, Shounen, Supernatural"
11,Nobunaga the Fool,ノブナガ・ザ・フール,6.78,"TV Tokyo, Sotsu, Lantis, Media Factory",BD,Completed,24,24 Menit / Episode,"Jan 6, 2014 sampai Jun 23, 2014",Satelight,"Action, Historical, Mecha, Sci-Fi"
12,Akiba's Trip The Animation,AKIBA'S TRIP THE ANIMATION,6.72,"AT-X, DLE, Studio Mausu, BS Fuji, Tokyo MX.",TV,Completed,13,23 Menit / Episode,"Jan 4, 2017 sampai Mar 29, 2017",Gonzo,"Action,  , Supernatural"
13,Gangsta,GANGSTA. ギャングスタ,7.47,"Bandai Visual, Frontier Works, Lantis, DAX Production, Tokyo MX",BD,Completed,12,23 Menit / Episode,"Jul 2, 2015 sampai Sep 24, 2015",Manglobe,"Action, Drama, Seinen"
14,Air,AIR,7.46,"Pony Canyon, TBS, Movic",BD,Completed,13,24 Menit / Episode,"Jan 7, 2005 sampai Mar 25, 2005",Kyoto Animation,"Drama, Romance, Slice of Life, Supernatural"
15,Devil May Cry,デビル メイ クライ,7.11,"Media Factory, Toshiba Entertainment",BD,Completed,12,24 Menit / Episode,"Jun 14, 2007 sampai Sep 6, 2007",Madhouse,"Action, Demons, Fantasy"
16,Acchi Kocchi,あっちこっち,7.62,"Pony Canyon, TBS, DAX Production, BS-TBS, Jumondo, Houbunsha",BD,Completed,12,25 Menit / Episode,"Apr 6, 2012 sampai Jun 29, 2012",AIC,"Comedy, Romance, School, Seinen, Slice of Life"
17,B-gata H-kei,B型H系,7.11,"Dentsu, AT-X, DAX Production, Happinet Pictures, BIGLOBE, Shueisha, AG-ONE, RAY",BD,Completed,12,24 Menit / Episode,"Apr 2, 2010 sampai Jun 18, 2010","Hal Film Maker, TYO Animations","Comedy,  , Romance, School, Seinen"
