,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Back Street Girls: Gokudolls,Back Street Girls -ゴクドルズ,6.76,-,TV,Completed,10,24 Menit / Episode,"Jul 4, 2018 sampai Sep 5, 2018",J.C.Staff,"Comedy,  , Seinen"
1,Shakugan no Shana,灼眼のシャナ,7.64,"Geneon Universal Entertainment, ASCII Media Works, Toshiba Entertainment, Cosmic Ray, Showgate",BD,Completed,24,24 Menit / Episode,"Oct 6, 2005 sampai Mar 23, 2006",J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
2,Planet With,プラネット・ウィズ,7.5,-,TV,Completed,12,23 Menit / Episode,"Jul 8, 2018 sampai Sep 23, 2018",J.C.Staff,"Action, Mecha, Sci-Fi"
3,Hataraku Saibou,はたらく細胞,7.81,"Aniplex, Kodansha, Magic Capsule",TV,Completed,13,23 Menit / Episode,"Jul 8, 2018",David Production,"Comedy, Shounen"
4,Happy Sugar Life,ハッピーシュガーライフ,7.1,"VAP, Square Enix, Genco, Mainichi Broadcasting System, Bit Promotion",TV,Completed,12,24 Menit Episode,"Jul 14, 2018 sampai Sep 29, 2018",Ezόla,"Drama, Horror, Psychological, Shounen"
5,Hanebado!,はねバド！,7.19,"Kodansha, TOHO animation",TV,Completed,13,24 Menit / Episode,"Jul 2, 2018 sampai Oct 1, 2018",LIDENFILMS,"Seinen, Sports"
6,Sunohara-sou no Kanrinin-san,すのはら荘の管理人さん,7.06,"flying DOG, Ichijinsha",TV,Completed,12,23 Menit / Episode,"Jul 5, 2018 sampai Sep 20, 2018",Silver Link.,"Comedy, Slice of Life"
7,Shichisei no Subaru,七星のスバル,6.24,TBS,TV,Completed,12,24 Menit / Episode,"Jul 6, 2018 sampai Sep 21, 2018",Lerche,"Action, Fantasy, Game, Sci-Fi"
8,Island,ISLAND,6.51,Crunchyroll SC Anime Fund,TV,Completed,12,23 Menit / Episode,"Jul 1, 2018 sampai Sep 16, 2018",feel.,"Drama, Sci-Fi"
9,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,異世界魔王と召喚少女の奴隷魔術,7.33,-,TV,Completed,12,23 Menit / Episode,"Jul 5, 2018 sampai Sep 20, 2018",Ajia-Do,"Comedy,  , Fantasy, Magic"
