,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Sabikui Bisco,錆喰いビスコ,7.22,"flying DOG, Hakuhodo DY Music & Pictures",TV,Completed,12,23 Min,"Jan 11, 2022",OZ,"Action, Adventure, Fantasy, Sci-Fi"
1,Shokei Shoujo no Virgin Road,処刑少女の生きる道〈バージンロード〉,6.87,"Warner Bros. Japan, Egg Firm, SB Creative",TV,Completed,12,24 Menit,"Apr 02, 2022",J.C.Staff,"Action, Adventure, Fantasy"
2,Shikkakumon no Saikyou Kenja,失格紋の最強賢者,6.24,NBCUniversal Entertainment Japan,TV,Completed,12,23 Min,"Jan 08, 2022",J.C.Staff,"Action, Adventure, Fantasy"
3,Honzuki no Gekokujou Season 3,本好きの下剋上 ～司書になるためには手段を選んでいられません～,8.1,flying DOG,TV,Completed,10,24 Menit,"Apr 12, 2022",Ajia-Do,"Fantasy, Isekai, Slice of Life"
4,Genjitsu Shugi Yuusha no Oukoku Saikenki Season 2,現実主義勇者の王国再建記,7.47,"Magic Capsule, King Records",TV,Completed,13,23 Menit,"Jan 09, 2022",J.C.Staff,"Action, Fantasy, Harem, Isekai, Military, Romance"
5,Slow Loop,スローループ,7.25,"flying DOG, Kadokawa",TV,Completed,12,24 Min,"Jan 07, 2022",Connect,"Slice of Life, Sports"
6,Futsal Boys!!!!!,フットサルボーイズ!!!!!,5.51,"Bandai Namco Entertainment, Good Smile Company, Live Viewing Japan, Bandai Namco Arts",TV,Completed,12,24 Menit,"Jan 09, 2022",Diomedéa,Sports
7,Arifureta Shokugyou de Sekai Saikyou Season 2,ありふれた職業で世界最強 2nd Season,7.22,-,TV,Completed,12,23 Menit,"Jan 13, 2022","asread., studio MOTHER","Action, Adventure, Fantasy, Harem, Isekai"
8,Akebi-chan no Sailor-fuku,明日ちゃんのセーラー服,7.82,Aniplex,TV,Completed,12,24 Menit,"Jan 09, 2022",CloverWorks,"School, Slice of Life"
9,Princess Connect! Re:Dive Season 2,プリンセスコネクト! Re:Dive Season 2,7.93,-,TV,Completed,12,24 Menit,"Jan 11, 2022",CygamesPictures,"Action, Adventure, Comedy, Fantasy"
10,Orient,オリエント,6.42,Avex Pictures,TV,Completed,12,24 Menit,"Jan 06, 2022",A.C.G.T.,"Action, Demons, Fantasy, Historical, Samurai, Shounen"
11,Hanyou no Yashahime Season 2,半妖の夜叉姫 -戦国御伽草子- 弐の章,7.1,-,TV,Completed,24,24 Menit,"Okt 02, 2021",Sunrise,"Adventure, Comedy, Fantasy, Historical, Supernatural"
12,Tensai Ouji no Akaji Kokka Saisei Jutsu,天才王子の赤字国家再生術,7.44,"Studio Mausu, NBCUniversal Entertainment Japan",TV,Completed,12,24 Menit,"Jan 11, 2022",Yokohama Animation Lab,"Comedy, Fantasy"
13,Karakai Jouzu no Takagi-san Season 3,からかい上手の高木さん3,8.52,TOHO animation,TV,Completed,12,24 Menit,"Jan 08, 2022",Shin-Ei Animation,"Comedy, Romance, School, Shounen, Slice of Life"
14,Ousama Ranking,王様ランキング,8.71,"Aniplex, Dentsu, Fuji TV, Kadokawa",TV,Completed,23,23 Menit,"Okt 15, 2021",Wit Studio,"Adventure, Fantasy"
15,Dolls' Frontline,ドールズフロントライン,5.93,Warner Bros. Japan,TV,Completed,12,24 Menit,"Jan 08, 2022",Asahi Production,"Action, Drama, Military, Sci-Fi"
16,Sono Bisque Doll wa Koi wo Suru,その着せ替え人形は恋をする,8.45,Aniplex,TV,Completed,12,23 Min,"Jan 09, 2022",CloverWorks,"Romance, School, Seinen, Slice of Life"
17,Koroshi Ai,殺し愛,6.9,"Toy's Factory, Kadokawa, Bit grooove promotion",TV,Completed,12,24 Menit,"Jan 13, 2022",Platinum Vision,"Action, Adult Cast, Josei, Organized Crime, Romance"
18,Platinum End,プラチナエンド,6.18,"Pony Canyon, Magic Capsule",TV,Completed,24,24 Menit,"Okt 8, 2021",Signal.MD,"Drama, Psychological, Shounen, Supernatural"
19,Tribe Nine,TRIBE NINE（トライブナイン）,6.09,Lantis,TV,Completed,12,23 Min,"Jan 10, 2022",LIDENFILMS,"Action, Sci-Fi, Sports"
20,World Trigger Season 3,ワールドトリガー,8.33,TV Asahi,TV,Completed,14,23 Menit,"Okt 10, 2021",Toei Animation,"Action, Sci-Fi, Supernatural"
21,Leadale no Daichi nite,リアデイルの大地にて,7.16,-,TV,Completed,12,24 Min,"Jan 05, 2022",Maho Film,"Adventure, Fantasy"
22,86 Season 2,86―エイティシックス―,8.71,"Aniplex, Kadokawa, Bandai Spirits",TV,Completed,12,24 Menit,"Okt 3, 2021",A-1 Pictures,"Action, Drama, Sci-Fi"
23,Non Non Biyori Season 3,のんのんびより のんすとっぷ,8.4,"TV Tokyo, Lantis, AT-X, Kadokawa, Bandai Namco Arts, Bit grooove promotion, Sony Music Solutions",TV,Completed,12,24 Menit,"Jan 11, 2021",SILVER LINK.,"Comedy, Seinen, Slice of Life"
24,Mushoku Tensei: Isekai Ittara Honki Dasu Season 2,無職転生 ～異世界行ったら本気だす～,8.81,-,TV,Completed,12,24 Menit,"Oct 4, 2021",Studio Bind,"Drama,  , Fantasy"
