,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Babylon,バビロン,7.14,Twin Engine,TV,Completed,12,23 Menit,"Oct 7, 2019",Revoroot,Thriller
1,Kono Oto Tomare! Season 2,Stop This Sound! 2nd Season,8.48,Shueisha,TV,Completed,12,24 Menit,"Oct 6, 2019",Platinum Vision,"Drama, Music, School, Shounen"
2,Rifle Is Beautiful,ライフル・イズ・ビューティフル,6.24,-,TV,Completed,12,23 Menit,"Oct 13, 2019",Studio 3Hz,"Comedy, School, Slice of Life"
3,Vinland Saga,ヴィンランド・サガ,8.77,"Kodansha, Mad Box, Twin Engine",TV,Completed,24,24 Menit,"Jul 8, 2019",Wit Studio,"Action, Adventure, Drama, Historical, Seinen"
4,Enen no Shouboutai,炎炎ノ消防隊,7.79,Kodansha,TV,Completed,24,23 Menit,"Jul 6, 2019",David Production,"Action, Sci-Fi, Shounen"
5,Shokugeki no Souma Season 4,食戟のソーマ 神ノ皿,7.85,-,TV,Completed,12,24 Menit,"Oct 12, 2019",J.C.Staff," , School, Shounen"
6,Kandagawa Jet Girls,神田川JET GIRLS,5.76,Egg Firm,TV,Completed,12,24 Menit,"Oct 8, 2019",TNK,Sports
7,12-sai.: Chicchana Mune no Tokimeki,12歳。～ちっちゃなムネのトキメキ～,6.58,"Shogakukan Productions, AT-X, Nippon Columbia, Tokyo MX, Shogakukan, East Japan Marketing & Communications, Sun TV",TV,Completed,12,24 Menit / Episode,"Apr 4, 2016 sampai Jun 20, 2016",OLM,"Romance, School, Shoujo"
8,Tokunana,警視庁 特務部 特殊凶悪犯対策室 第七課 -トクナナ-,6.05,"Frontier Works, Lantis, Sega, AT-X, Ai Addiction, Hakuhodo DY Music & Pictures, Yomiuri TV Enterprise, Kadokawa, Bandai Namco Arts, Toyo Recording, arma bianca",TV,Completed,12,23 Menit,"Oct 6, 2019",Anima&Co.,"Action, Police"
9,Granblue Fantasy The Animation Season 2,グランブルーファンタジー The Animation Season2,6.82,dugout,TV,Completed,12,23 Menit,"Oct 5, 2019",MAPPA,"Adventure, Fantasy"
10,Shinchou Yuusha,慎重勇者~この勇者が俺TUEEEくせに慎重すぎる~,7.7,Kadokawa,TV,Completed,12,23 Menit,"Oct 2, 2019",White Fox,"Action, Adventure, Comedy, Fantasy"
11,Beastars,BEASTARS,8.42,"Movic, Fuji TV, Bandai, Toho, BS Fuji, Q-Tec, Akita Shoten, Hakuhodo DY Media Partners, Bandai Spirits",TV,Completed,12,22 Menit,"Oct 10, 2019",Orange,"Drama, Psychological, Shounen, Slice of Life"
12,No Guns Life,ノー・ガンズ・ライフ,7.02,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",TV,Completed,12,23 Menit,"Oct 11, 2019",Madhouse,"Action, Sci-Fi, Seinen"
13,Bokutachi wa Benkyou ga Dekinai Season 2,ぼくたちは勉強ができない,7.45,-,TV,Completed,13,23 Menit,"Oct 6, 2019","Silver, Arvo Animation","Comedy, Harem, Romance, School, Shounen"
14,Assassins Pride,アサシンズプライド,6.23,-,TV,Completed,12,24 Menit,"Oct 10, 2019",EMT Squared,Fantasy
15,Honzuki no Gekokujou,本好きの下剋上 ～司書になるためには手段を選んでいられません～,8.06,"WOWOW, Genco, MediaNet, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, Happinet, Tokyo Animator Gakuin, TO Books, JTB Next Creation",TV,Completed,14,23 Menit,"Oct 3, 2019",Ajia-Do,"Fantasy, Slice of Life"
16,Oresuki,俺を好きなのはお前だけかよ,7.62,"Aniplex, Movic, Barnum Studio, Tokyo MX, Q-Tec, Docomo Anime Store, BS11, Straight Edge, Kadokawa",TV,Completed,12,24 Menit,"Oct 3, 2019","Barnum Studio, Connect","Comedy, Romance, School"
17,Z/X Code Reunion,Z/X Code Reunion,5.67,-,TV,Completed,12,24 Menit,"Oct 8, 2019",Passione,"Fantasy, School, Sci-Fi, Shounen"
18,Noukin,私、能力は平均値でって言ったよね!,7.01,-,TV,Completed,12,23 Menit,"Oct 7, 2019",Project No.9,"Comedy, Fantasy"
19,Fairy Gone Season 2,Fairy gone フェアリーゴーン 第2期,6.42,-,TV,Completed,12,20 Menit,"Oct 7, 2019",P.A. Works,"Action, Demons, Fantasy, Magic, Supernatural"
20,High Score Girl Season 2,ハイスコアガール II,8.28,Magic Capsule,TV,Completed,9,23 Menit,"Oct 26, 2019",J.C.Staff,"Comedy, Romance, School, Seinen"
21,Val x Love,戦×恋（ヴァルラヴ）,5.94,"Square Enix, AT-X, Tokyo MX, Avex Pictures, Docomo Anime Store, BS11, GYAO!, A-Sketch",TV,Completed,12,23 Menit,"Oct 5, 2019",Hoods Entertainment,"Comedy,  , Harem, Romance, School, Shounen, Supernatural"
22,Houkago Saikoro Club,放課後さいころ倶楽部,6.78,-,TV,Completed,12,23 Menit,"Oct 3, 2019",LIDENFILMS,"Comedy, School, Shounen"
23,Choyoyu,超人高校生たちは異世界でも余裕で生き抜くようです！,6.49,"Pony Canyon, Bit Promotion",TV,Completed,12,23 Menit,"Oct 3, 2019",Project No.9,Fantasy
24,Psycho-Pass Season 3,PSYCHO-PASS サイコパス 3,7.74,-,TV,Completed,8,45 Menit,"Oct 25, 2019",Production I.G,"Action, Police, Psychological, Sci-Fi"
