,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Hellsing Ultimate,HELLSING OVA,8.52,"Geneon Universal Entertainment, StudioRF Inc., Shounen Gahousha",BD,Completed,10,50 Menit / Episode,"Feb 10, 2006 sampai Dec 26, 2012","Madhouse, Satelight, Graphinica","Action, Horror, Military, Seinen, Supernatural, Vampire"
1,Little Busters!,リトルバスターズ!,7.61,"Warner Bros., Showgate",BD,Completed,26,24 Menit / Episode,"Oct 6, 2012 sampai Apr 6, 2013",J.C.Staff,"Comedy, Drama, School, Slice of Life, Supernatural"
2,Citrus,citrus,"7,12","Sotsu, Lantis, AT-X, KlockWorx, Happinet Pictures, BS Fuji, Tokyo MX, Infinite, Children's Playground Entertainment, Ichijinsha, Crunchyroll SC Anime Fund",TV,Completed,12,23 Menit / Episode,"Jan 6, 2018 sampai Mar 24, 2018",Passione,"Drama, Romance, School, Shoujo Ai"
3,Ryuuou no Oshigoto!,りゅうおうのおしごと！,7.08,"AT-X, Magic Capsule, Nippon Columbia, KlockWorx, BS Fuji, Tokyo MX, Hakuhodo DY Music & Pictures, Radio Osaka, Aquamarine",TV,Completed,12,23 Menit / Episode,"Jan 8, 2018 sampai Mar 26, 2018",Winter 2018,"Comedy, Game, Slice of Life"
4,Mahoutsukai no Yome,魔法使いの嫁,8.24,"Production I.G, Shochiku, flying DOG, Mag Garden",TV,Completed,24,24 Menit / Episode,"Oct 8, 2017 sampai Mar 25, 2018",Wit Studio,"Fantasy, Magic, Shounen, Slice of Life"
5,Girls und Panzer,ガールズ&パンツァー,7.64,"Lantis, Movic, Showgate, Cyclone Graphics inc",BD,Completed,12,24 Menit / Episode,"Oct 9, 2012 sampai Mar 25, 2013",Actas,"Action, Military, School, Sports"
6,Karakai Jouzu no Takagi-san,からかい上手の高木さん,7.92,"TMS Entertainment, Asatsu DK, Asmik Ace Entertainment, TOHO animation, East Japan Marketing & Communications",TV,Completed,12,23 Menit / Episode,"Jan 8, 2018 sampai Mar 26, 2018",Shin-Ei Animation,"Comedy, Romance, School, Shounen, Slice of Life"
7,Girlish Number,ガーリッシュ ナンバー,6.98,"Frontier Works, TBS, DAX Production, ASCII Media Works, NBCUniversal Entertainment Japan, i0+, Medicos Entertainment, NichiNare",BD,Completed,12,24 Menit / Episode,"Oct 7, 2016 sampai Dec 23, 2016",Diomedea,Slice of Life
8,Tokyo ESP,東京ESP,6.70,"Lantis, Rakuonsha, KlockWorx, Tokyo MX",BD,Completed,12,24 Menit / Episode,"Jul 12, 2014 sampai Sep 27, 2014",Xebec,"Action, Comedy, Sci-Fi, Shounen, Super Power, Supernatural"
9,Hinako Note,ひなこのーと,6.80,"Media Factory, AT-X, Enterbrain, Sony Music Communications",TV,Completed,12,23 Menit / Episode,"Apr 7, 2017 sampai Jun 23, 2017",Passione,"Comedy, Slice of Life"
10,Imouto sae Ireba Ii,妹さえいればいい。,7.58,"Bandai Visual, Lantis, Shochiku, Bushiroad, Hakuhodo DY Music & Pictures, BS11, Shogakukan",BD,Completed,12,23 Menit / Episode,"Oct 8, 2017 sampai Dec 24, 2017",Silver Link.,"Comedy, Romance"
11,No Game No Life,ノーゲーム・ノーライフ,8.45,"Frontier Works, Media Factory, Movic, AT-X",BD,Completed,12,23 Menit / Episode,"Apr 9, 2014 sampai Jun 25, 2014",Madhouse,"Adventure, Comedy, Fantasy, Game, Supernatural"
12,Grancrest Senki,グランクレスト戦記,7.25,"Aniplex, Bandai Namco Entertainment, Good Smile Company, BS11, ABC Animation, Kinoshita Group Holdings, Kadokawa, Cromea",TV,Completed,24,23 Menit / Episode,"Jan 6, 2018 sampai Jun 23, 2018",A-1 Pictures,"Action, Drama, Fantasy, Romance"
13,Kujira no Kora wa Sajou ni Utau,クジラの子らは砂上に歌う,7.34,"Bandai Visual, Lantis, Magic Capsule, Hakuhodo DY Music & Pictures, Akita Shoten, Sony PCL, Contents Seed",BD,Completed,12,23 Menit / Episode,"Oct 8, 2017 sampai Dec 24, 2017",J.C.Staff,"Drama, Fantasy, Mystery, Sci-Fi, Shoujo"
14,Anne Happy,あんハピ♪,7.05,"Sotsu, AT-X, KlockWorx, Asmik Ace Entertainment, Houbunsha, BS Fuji, DIVE II Entertainment, Grooove, Avex Pictures, Contents Seed, Furyu",BD,Completed,12,23 Menit / Episode,"Apr 7, 2016 sampai Jun 23, 2016",Silver Link.,"Comedy, School, Slice of Life"
15,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,僕の彼女がマジメ過ぎるしょびっちな件,6.50,"AT-X, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, Glovision, Sammy, Kadokawa Media House, Production Ace, Kadokawa",TV,Completed,10,23 Menit / Episode,"Oct 12, 2017 sampai Dec 14, 2017","Diomedea, Studio Blanc","Comedy,  , Harem, Romance, School"
16,Blend S,ブレンド・S,7.61,"niplex, Houbunsha, Kansai Telecasting, Lawson, Contents Seed, Kinoshita Group Holdings, Drecom",TV,Completed,12,23 Menit / Episode,"Oct 8, 2017 sampai Dec 24, 2017",A-1 Pictures,"Comedy, Slice of Life"
