,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,SSSS.Gridman,SSSS.GRIDMAN,7.5,"Pony Canyon, Tsuburaya Productions, Ultra Super Pictures, Graphinica",TV,Completed,12,23 Menit,"Oct 7, 2018",Trigger,"Action, Mecha, Sci-Fi"
1,Release the Spyce,RELEASE THE SPYCE,7.05,"Pony Canyon, Half H.P Studio, Asahi Production",TV,Completed,12,24 Menit,"Oct 7, 2018",Lay-duce,"Action, School"
2,Gakuen Basara,学園BASARA,6.17,"TBS, DAX Production, High Kick Entertainment",TV,Completed,12,24 Menit,"Oct 5, 2018",Brain's Base,"Action, Comedy, School"
3,Uchi no Maid ga Uzasugiru!,うちのメイドがウザすぎる！,7.55,Kadokawa,TV,Completed,12,23 Menit,"Oct 5, 2018",Doga Kobo,"Comedy, Shoujo Ai, Slice of Life"
4,Tonari no Kyuuketsuki-san,となりの吸血鬼さん,7.21,Nippon Columbia,TV,Completed,12,24 Menit,"Oct 5, 2018","Studio Gokumi, AXsiZ","Comedy, Shoujo Ai, Slice of Life, Supernatural, Vampire"
5,Zombieland Saga,ゾンビランドサガ,7.8,"Avex Pictures, Cygames, dugout",TV,Completed,12,23 Menit,"Oct 4, 2018",MAPPA,"Action, Horror, Supernatural"
6,Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,俺が好きなのは妹だけど妹じゃない,5.15,MAGES.,TV,Completed,10,23 Menit,"Oct 10, 2018","NAZ, Magia Doraglier","Comedy, Romance"
7,Sakurasou no Pet na Kanojo,さくら荘のペットな彼女,8.35,"Genco, Media Factory, ASCII Media Works",BD,Completed,24,23 Menit / Episode,"Oct 9, 2012 sampai Mar 26, 2013",J.C.Staff,"Comedy, Drama, Romance, School, Slice of Life"
8,Anima Yell!,アニマエール！,7.02,Jinnan Studio,TV,Completed,12,23 Menit,"Oct 7, 2018",Doga Kobo,"Comedy, School, Sports"
9,Akanesasu Shoujo,あかねさす少女,6.6,"Yomiuri Telecasting, Animax, Pony Canyon, Asmik Ace, Studio Mausu, Exit Tunes, Kadokawa, Studio Shamrock, Gamegate",TV,Completed,12,24 Menit,"Oct 1, 2018","Yomiuri Telecasting, Animax, Pony Canyon, Asmik Ace, Studio Mausu, Exit Tunes, Kadokawa, Studio Shamrock, Gamegate","Action, School, Sci-Fi"
