,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Arknights: Reimei Zensou,アークナイツ -黎明前奏-,7.33,"Hypergryph, Studio Montagne, Yostar",TV,Completed,8,23 Menit,"Okt 29, 2022",Yostar Pictures,"Action, Fantasy, Game"
1,Akuyaku Reijou nanode Last Boss wo Kattemimashita,悪役令嬢なのでラスボスを飼ってみました,7.33,Mainichi Broadcasting System,TV,Completed,12,23 Menit,"Sep 24, 2022",Maho Film,"Comedy, Fantasy, Isekai, Romance, Shoujo"
2,Tensei shitara Ken Deshita,転生したら剣でした,7.58,"Gentosha Comics, Nikkatsu, NBCUniversal Entertainment Japan, JR East Marketing & Communications, Micro Magazine Publishing, BS Asahi, GREE Entertainment, Micro House",TV,Completed,12,23 Menit,"Okt 05, 2022",C2C,"Action, Fantasy, Isekai, Reincarnation"
3,Love Live! Superstar!! Season 2,ラブライブ！スーパースター!!,7.76,"Kadokawa, Bandai Namco Arts",TV,Completed,12,25 Menit,"Jul 17, 2022",Sunrise,"Music, School, Slice of Life"
4,Shine Post,シャインポスト,7.54,"Nippon Television Network, Avex Pictures, Docomo Anime Store, Konami Digital Entertainment, Contents Seed, BS NTV, Straight Edge, Culture Entertainment, Stray Cats, ADK Emotions",TV,Completed,12,23 Menit,"Jul 13, 2022",Studio Kai,"Music, Slice of Life, Supernatural"
5,Fuuto Tantei,風都探偵,7.39,Magic Capsule,TV,Completed,12,25 Menit,"Aug 1, 2022",Studio Kai,"Action, Drama, Mystery, Supernatural"
6,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,連盟空軍航空魔法音楽隊 ルミナスウィッチーズ,6.67,"AT-X, Docomo Anime Store, Sammy, TV Aichi, Kadokawa Media House, DeNA, Production Ace, BS NTV, Kadokawa",TV,Completed,12,24 Menit,"Jul 3, 2022",Shaft,"Military, Music, Sci-Fi"
7,Love All Play,ラブオールプレー,6.48,"Yomiuri TV Enterprise, Poplar Publishing",TV,Completed,24,24 Menit,"Apr 02, 2022","Nippon Animation, OLM","School, Sports"
8,Teppen!!!!!!!!!!!!!!!,てっぺんっ!!!!!!!!!!!!!!!,6.67,"DAX Production, Tokyo MX, CyberAgent, Epicross, Bushiroad Move, Bushiroad Creative",TV,Completed,12,23 Menit,"Jul 02, 2022",Drive,"Comedy, School, Slice of Life"
9,Saikin Yatotta Maid ga Ayashii,最近雇ったメイドが怪しい,6.58,"Square Enix, Medicos Entertainment, King Records, Nagoya Broadcasting Network, ABC Animation, ABC Frontier",TV,Completed,11,23 Menit,"Jul 24, 2022","SILVER LINK., Blade","Comedy, Shounen"
10,Kingdom Season 4,キングダム 第4シリーズ,8.77,"Avex Pictures, Shueisha, NHK Enterprises",TV,Completed,26,25 Menit,"Apr 10, 2022","Studio Pierrot, Studio Signpost","Action, Historical, Military, Seinen"
11,Tonikaku Kawaii,トニカクカワイイ,8.04,"Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, Shogakukan, Crunchyroll SC Anime Fund",TV,Completed,12,23 Menit,"Oct 3, 2020",Seven Arcs,"Comedy, Romance, Shounen"
12,Kakkou no Iinazuke,カッコウの許嫁,7.04,"TV Asahi, Kodansha, Crunchyroll, Kadokawa",TV,Completed,24,23 Menit,"Apr 24, 2022","SynergySP, Shin-Ei Animation","Comedy, Harem, Romance, Shounen"
13,Summertime Render,サマータイムレンダ,8.57,"Shogakukan-Shueisha Productions, Movic, MAGES., Tokyo MX, Shueisha, Toy's Factory, Bandai Spirits",TV,Completed,25,25 Menit,"Apr 15, 2022",OLM,"Mystery, Shounen, Supernatural"
14,Yofukashi no Uta,よふかしのうた,8.11,Fuji TV,TV,Completed,13,24 Menit,"Jul 08, 2022",LIDENFILMS,"Romance, Shounen, Supernatural, Vampire"
15,Hataraku Maou-sama! Season 2,はたらく魔王さま！！,6.68,"Sotsu, Movic, KlockWorx, Tokyo MX, Hakuhodo DY Music & Pictures, Infinite, BS11, Kadokawa, Bandai Namco Music Live, Happinet Phantom Studios",TV,Completed,12,24 Menit,"Jul 14, 2022",Studio 3Hz,"Comedy, Fantasy, Romance, Supernatural"
16,Danmachi Season 4,ダンジョンに出会いを求めるのは間違っているだろうかⅣ 新章 迷宮篇,7.69,"Genco, Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative",TV,Completed,11,24 Menit,"Jul 23, 2022",J.C.Staff,"Action, Adventure, Comedy, Fantasy, Romance"
17,Made in Abyss Season 2,メイドインアビス 烈日の黄金郷,8.77,"AT-X, Takeshobo, Kadokawa Media House, Cygames, Kadokawa, Global Solutions, Sony Music Solutions, IRMA LA DOUCE",TV,Completed,12,24 min. per ep.,"Jul 06, 2022",Kinema Citrus,"Adventure, Drama, Fantasy, Mystery, Sci-Fi"
18,Overlord Season 4,オーバーロード IV,8.16,Kadokawa,TV,Completed,13,23 Menit,"Jul 5, 2022",Madhouse,"Action, Fantasy, Isekai, Supernatural"
19,Isekai Yakkyoku,異世界薬局,7.36,"Pony Canyon, AT-X, Kadokawa, Bit grooove promotion",TV,Completed,12,24 Menit,"Jul 10, 2022",Diomedéa,"Fantasy, Isekai, Medical"
20,Prima Doll,プリマドール,6.94,"Mainichi Broadcasting System, Visual Arts, NBCUniversal Entertainment Japan, Tokyo MX, JR East Marketing & Communications, MAGNET, AQUA ARIS, Pia, BS Asahi",TV,Completed,12,24 Menit,"Jul 03, 2022",Bibury Animation Studios,"Sci-Fi, Slice of Life"
21,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e Season 2,ようこそ実力至上主義の教室へ 2期,8.17,"Studio Hibari, Movic, AT-X, Sammy, Crunchyroll, Kadokawa Media House, Kadokawa, Bandai Namco Music Live",TV,Completed,13,23 Menit,"Jul 04, 2022",Lerche,"Drama, Psychological, School, Suspense"
22,Engage Kiss,,6.95,"Aniplex, Square Enix, Docomo Anime Store, Nagoya Broadcasting Network, BS11, ABC Animation, Contents Seed",TV,Completed,13,24 Menit,"Jul 3, 2022",A-1 Pictures,"Comedy, Romance"
23,Kuro no Shoukanshi,黒の召喚士,7.14,"flying DOG, Bushiroad, Docomo Anime Store, bilibili, Overlap, Bushiroad Move, Bushiroad Creative",TV,Completed,12,23 Menit,"Jul 09, 2022",Satelight,"Action, Fantasy, Isekai"
24,Lycoris Recoil,リコリス・リコイル,8.36,Aniplex,TV,Completed,13,23 Menit,"Jul 02, 2022",A-1 Pictures,"Action, Sci-Fi"
