,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Ansatsu Kyoushitsu,暗殺教室,8.21,"Dentsu, Fuji TV, DAX Production",BD,Completed,22,23 Menit,10 Januari 2015,Lerche,"Action, Comedy, School, Shounen"
1,Another,アナザー,7.85,"Lantis, Kadokawa Shoten, Toho, KlockWorx, Bandai Namco Live Creative, NTT Docomo",BD,Completed,12,24 Menit,"Jan 10, 2012",P.A. Works,"Horror, Mystery, School, Supernatural, Thriller"
2,Akame ga Kill!,アカメが斬る！,7.82,"Square Enix, TOHO animation, dll.",BD,Completed,24,23 Menit,"Jul 7, 2014",White Fox,"Action, Adventure, Fantasy"
3,Akagami no Shirayuki-hime Season 2,赤髪の白雪姫,8.13,"Hakusensha, Warner Bros., KlockWorx, Showgate",BD,Completed,12,24 Menit,"Jan 12, 2016",Bones,"Drama, Fantasy, Romance, Shoujo"
4,Akagami no Shirayuki-hime,赤髪の白雪姫,7.92,"Hakusensha, Warner Bros., KlockWorx, Showgate",BD,Completed,12,24 Menit,"Jul 7, 2015",Bones,"Drama, Fantasy, Romance, Shoujo"
5,Absolute Duo,アブソリュート・デュオ,6.76,"Half H.P Studio, AT-X, feng, Showgate",BD,Completed,12,24 Menit,"Jan 4, 2015",8bit,"Action,  , Harem, Romance, School, Supernatural"
6,A-Channel,Aチャンネル,7.04,"Aniplex, Dentsu, Mainichi Broadcasting System",BD,Completed,12,24 Menit,"Apr 8, 2011",Studio Gokumi,"Comedy, School, Seinen, Slice of Life"
7,Rozen Maiden,ローゼンメイデン,7.52,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",BD,Completed,12,24 Menit,"Oct 8, 2004",Nomad,"Action, Comedy, Drama, Magic, Seinen"
8,Angel Beats,Angel Beats!（エンジェルビーツ,8.32,"Aniplex, Dentsu, Mainichi Broadcasting System, CBC, Movic, Visual Art's, ASCII Media Works",BD,Completed,13,24 Menit / Episode,"Apr 3, 2010",P.A. Works,"Action, Comedy, Drama, School, Supernatural"
9,Katanagatari,刀語,8.42,"Aniplex, Lantis, Kodansha, Movic, Fuji TV",BD,Completed,12,50 Menit,"Jan 26, 2010",White Fox,"Action, Adventure, Historical, Martial Arts, Romance"
10,KonoSuba Season 2,この素晴らしい世界に祝福を！ 2,8.37,"Kadokawa Shoten, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House",BD,Completed,10,23 Menit,"Jan 12, 2017",Studio Deen,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural"
11,KonoSuba,この素晴らしい世界に祝福を！,8.18,"Half H.P Studio, Nippon Columbia, KlockWorx, Other.",BD,Completed,10,23 Menit,"Jan 14, 2016",Studio Deen,"Adventure, Comedy, Fantasy, Supernatural"
12,Sukitte Ii na yo,好きっていいなよ。,7.66,"Starchild Records, Kodansha, Magic Capsule, Yomiuri Advertising, GANSIS",BD,Completed,13,24 Menit,"Oct 7, 2012",Zexcs,"Drama, Romance, School, Shoujo"
13,Jormungand Season 2,ヨルムンガンド PERFECT ORDER,8.0,"Geneon Universal Entertainment, Shogakukan Productions",BD,Completed,12,24 Menit,"Oct 10, 2012",White Fox,"Action, Adventure, Seinen"
14,Jormungand,ヨルムンガンド,7.92,"Geneon Universal Entertainment, Shogakukan Productions",BD,Completed,12,24 Menit,"Apr 11, 2012",White Fox,"Action, Adventure, Seinen"
15,Toradora!,とらドラ！,8.38,"Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music",BD,Completed,25,24 Menit,"Oct 2, 2008",J.C.Staff,"Comedy, Romance, School, Slice of Life"
16,Ookami Shoujo to Kuro Ouji,オオカミ少女と黒王子,7.39,"VAP, Yomiuri Telecasting, Nippon Television Network",BD,Completed,12,24 Menit,"Oct 5, 2014",TYO Animations,"Comedy, Romance, School, Shoujo"
17,Tengen Toppa Gurren Lagann,天元突破グレンラガン,8.72,"TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai",BD,Completed,27,24 Menit,"Apr 1, 2007",Gainax,"Action, Adventure, Comedy, Mecha, Sci-Fi"
18,Kyoukai no Kanata,境界の彼方,7.87,"Lantis, Pony Canyon, TBS",BD,Completed,12,24 Menit,"Oct 3, 2013",Kyoto Animation,"Fantasy, Slice of Life, Supernatural"
19,Nanbaka,ナンバカ,7.42,"Nihon Ad Systems, DAX Production, Sony Music Communications, comico, Tokuma Japan Communications, Nelke Planning",TV,Completed,13,23 Menit,"Oct 5, 2016",Satelight,"Action, Comedy, Drama"
20,Sora no Method,天体のメソッド ,6.79,"Bandai Visual, Sotsu, Lantis, Showgate, Good Smile Company, Infinite",BD,Completed,13,24 Menit,"Oct 5, 2014",Studio 3Hz,"Drama, Fantasy, School, Slice of Life"
21,Sakurako-san,櫻子さんの足下には死体が埋まっている,7.47,"Lantis, DAX Production",BD,Completed,12,23 Menit,"Oct 8, 2015",TROYCA,Mystery
22,Campione,カンピオーネ！ ～まつろわぬ神々と神殺しの魔王～,7.26,"Lantis, AT-X, Barnum Studio, Magic Capsule, Warner Bros., KlockWorx, Shueisha, Bulls Eye",BD,Completed,13,24 Menit,"Jul 6, 2012",Diomedea,"Comedy,  , Fantasy, Harem, Magic, Romance"
23,Tanaka-kun wa Itsumo Kedaruge,田中くんはいつもけだるげ,8.07,"Bandai Visual, Dentsu, Frontier Works, Other",BD,Completed,12,24 Menit,"Apr 9, 2016",Silver Link.,"Comedy, School, Slice of Life"
24,Little Busters! EX,リトルバスターズ！EX,7.85,-,BD,Completed,8,24 Menit,"Jan 29, 2014",J.C.Staff,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
