,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Koe no Katachi,聲の形,9.05,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",Movie,Completed,Movie,2 Jam 10 Menit,"Sep 17, 2016",Kyoto Animation,"Drama, School, Shounen"
1,Kizumonogatari 3,傷物語〈Ⅲ冷血篇〉,8.87,"Aniplex, Kodansha",Movie,Completed,1,1 Jam 23 Menit,"Jan 6, 2017",Shaft,"Action, Mystery, Supernatural, Vampire"
2,Kizumonogatari 2,傷物語〈Ⅱ熱血篇〉,8.78,"Aniplex, Kodansha",Movie,Completed,1,1 Jam 4 Menit,"Agu 19, 2016",Shaft,"Action, Mystery, Supernatural, Vampire"
3,Kizumonogatari,傷物語〈Ⅰ鉄血篇〉,8.43,"Aniplex, Kodansha",Movie,Completed,1,1 Jam 4 Menit,"Jan 8, 2016",Winter 2016,"Action, Horror, Mystery, Supernatural, Vampire"
4,Kimi no Na wa,君の名は。,9.22,"Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing & Communications",Movie,Completed,Movie,1 Jam 46 Menit,"Aug 26, 2016",CoMix Wave Films,"Drama, Romance, School, Supernatural"
5,Kekkai Sensen Season 2,血界戦線 & BEYOND,8.10,"Nihon Ad Systems, Mainichi Broadcasting System, TOHO animation, Shueisha",BD,Completed,12,24 Menit / Episode,"Oct 8, 2017 sampai Dec 24, 2017",Bones,"Action, Comedy, Fantasy, Shounen, Super Power, Supernatural, Vampire"
6,Kekkai Sensen,血界戦線,7.63,"Nihon Ad Systems, Mainichi Broadcasting System, TOHO animation, Shueisha, Toy's Factory, Sony PCL",BD,Completed,12,26 Menit / Episode,"Apr 5, 2015 to Oct 4, 2015",Bones,"Action, Comedy, Fantasy, Shounen, Super Power, Supernatural, Vampire"
7,Ballroom e Youkoso,ボールルームへようこそ,"8,41","Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Movic, Bandai Namco Games, Toy's Factory, Animatic",TV,Completed,24,24 Menit / Episode,"Jul 9, 2017 sampai Dec 17, 2017",Production I.G,"Comedy, Drama, Romance, School, Shounen, Sports"
8,Boku dake ga Inai Machi,僕だけがいない街,8.61,"Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, other.",BD,Completed,12,23 Menit / Episode,"08 Januari, 2016 Sampai 25 Maret, 2016",A-1 Pictures,"Mystery, Psychological, Seinen, Supernatural"
9,Hidan no Aria Season 2,緋弾のアリアAA（ダブルエー）,6.38,"flying DOG, Fujishouji",BD,Completed,12,23 Menit / Episode,"Oct 6, 2015 sampai Dec 22, 2015",Doga Kobo,"Action, School, Shoujo Ai"
10,Hidan no Aria,緋弾のアリア,7.06,"TBS, Magic Capsule, flying DOG",BD,Completed,12,24 Menit / Episode,"Apr 15, 2011 sampai Jul 1, 2011",J.C.Staff,"Action, Comedy, Romance, School"
11,Gochuumon wa Usagi desu ka? Season 2,ご注文はうさぎですか？？,7.94,"Frontier Works, AT-X, Magic Capsule, Bushiroad, Showgate, Houbunsha, NBCUniversal Entertainment Japan, i0+, Hakuhodo DY Music & Pictures, RAY",BD,Completed,12,23 Menit / Episode,"Oct 10, 2015 sampai Dec 26, 2015","Kinema Citrus, White Fox","Comedy, Slice of Life"
12,Gochuumon wa Usagi desu ka?,ご注文はうさぎですか？,7.60,"Frontier Works, Sotsu, Magic Capsule, Showgate, Houbunsha, NBCUniversal Entertainment Japan, RAY",BD,Completed,12,23 Menit / Episode,"Apr 10, 2014 sampai Jun 26, 2014",White Fox,"Comedy, Slice of Life"
13,Tsuki ga Kirei,月がきれい,8.33,"Sotsu, Mainichi Broadcasting System, flying DOG",TV,Completed,12,24 Menit / Episode,"Apr 7, 2017 sampai Jun 30, 2017",feel.,"Romance, School"
14,ImoCho,,6.41,"Lantis, Magic Capsule",BD,Completed,12,23 Menit / Episode,"Jan 4, 2014 sampai Mar 23, 2014",Project No.9,"Comedy, Romance, Shounen, Supernatural"
15,Renai Boukun,恋愛暴君,6.90,"TV Tokyo, Half H.P Studio, DIVE II Entertainment, Avex Pictures",TV,Completed,12,23 Menit / Episode,"Apr 7, 2017 sampai Jun 23, 2017",EMT²,"Comedy,  , Harem, Romance, School, Supernatural"
16,Kakumeiki Valvrave Season 2,革命機ヴァルヴレイヴ　2ndシーズン,7.38,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Bandai, Bandai Namco Entertainment",BD,Completed,12,24 Menit / Episode,"Oct 10, 2013 sampai Dec 27, 2013",Sunrise,"Action, Mecha, Space"
17,Kakumeiki Valvrave,革命機ヴァルヴレイヴ,7.25,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Bandai, Bandai Namco Entertainment",BD,Completed,12,24 Menit / Episode,"Apr 12, 2013 sampai Jun 28, 2013",Sunrise,"Action, Mecha, Military, Space"
18,Dragon Crisis!,ドラゴンクライシス!,6.85,"Yomiuri Telecasting, Starchild Records, Kids Station, DAX Production, Shueisha",BD,Completed,12,23 Menit / Episode,"Jan 11, 2011 sampai Mar 29, 2011",Studio Deen,"Action, Magic, Romance, School, Seinen, Supernatural"
19,Houseki no Kuni,宝石の国,8.47,"Mainichi Broadcasting System, Kodansha, Movic, AT-X, TOHO animation, Tokyo MX, Q-Tec, Kyoraku Industrial Holdings, BS11",TV,Completed,12,24 Menit / Episode,"Oct 7, 2017 sampai Dec 23, 2017",Orange,"Action, Drama, Fantasy, Mystery, Seinen"
20,Taboo Tattoo,タブー・タトゥー,6.01,"TV Tokyo, Sotsu, AT-X, Magic Capsule, KlockWorx, DIVE II Entertainment, Avex Pictures, BS Japan",BD,Completed,12,24 Menit / Episode,"Jul 5, 2016 sampai Sep 20, 2016",J.C.Staff,"Action, Comedy, Martial Arts, Mystery, Seinen, Super Power, Supernatural"
21,Fuuka,風夏,6.72,"Studio Tulip, Magic Capsule, Warner Bros., flying DOG",BD,Completed,12,24 Menit / Episode,"Jan 6, 2017 sampai Mar 24, 2017",Diomedea,"Drama,  , Music, Romance, School, Shounen"
22,Urara Meirochou,うらら迷路帖,7.19,"TBS, Magic Capsule, Houbunsha, NBCUniversal Entertainment Japan, Nichion",BD,Completed,12,24 Menit / Episode,"Jan 6, 2017 sampai Mar 24, 2017",J.C.Staff,"Comedy, Fantasy, Seinen, Slice of Life"
23,Kamisama no Memochou,"It's the Only NEET Thing to Do, Kami-sama no Memo-chou, Kami-sama no Memo-chou, God's Notebook, Notebook of God",7.63,"Lantis, AT-X, Warner Bros., KlockWorx, ASCII Media Works",BD,Completed,12,26 Menit / Episode,"Jul 2, 2011 sampai Sep 24, 2011",J.C.Staff,Mystery
24,Qualidea Code,クオリディア・コード,6.65,"Aniplex, Marvelous, Delfi Sound, ABC Animation, Japan Sleeve",TV,Completed,12,23 Menit / Episode,"Jul 10, 2016 sampai Sep 25, 2016",Summer 2016,"Action, Magic, Supernatural"
