,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Zero no Tsukaima Season 2,ゼロの使い魔 ～双月の騎士～,7.63,"Genco, Media Factory, Shochiku, Happinet Pictures",BD,Completed,12,24 Menit,"Jul 9, 2007",J.C.Staff,"Action, Adventure, Comedy,  , Fantasy, Harem, Isekai, Magic, Romance, School"
1,Zero no Tsukaima,ゼロの使い魔,7.5,"Genco, Media Factory, Shochiku, Bushiroad, Happinet Pictures",BD,Completed,13,23 Menit,"Jul 3, 2006",J.C.Staff,"Action, Adventure, Comedy,  , Fantasy, Harem, Isekai, Magic, Romance, School"
2,Hamatora Season 2,Re: Hamatora: Season 2,7.47,"TV Tokyo, Sotsu, AT-X, DAX Production, NAZ, DIVE II Entertainment, Avex Pictures, Q-Tec, Shueisha, Toy's Factory",BD,Completed,12,24 Menit,"Jul 8, 2014",Lerche,"Comedy, Drama, Mystery, Super Power"
3,Hamatora The Animation,ハマトラ THE ANIMATION,7.41,"TV Tokyo, Avex Entertainment, Sotsu, Movic, AT-X, DAX Production, DIVE II Entertainment, Shueisha",BD,Completed,12,24 Menit,"Jan 8, 2014",NAZ,"Comedy, Mystery, Super Power"
4,Golden Kamuy Season 2,ゴールデンカムイ 第二期,8.17,"Magic Capsule, NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, East Japan Marketing & Communications, Twin Engine",BD,Completed,12,23 Menit / Episode,"Oct 8, 2018",Geno Studio,"Action, Adventure, Historical, Seinen"
5,Outbreak Company,アウトブレイク・カンパニー,7.45,"Pony Canyon, TBS, Kodansha, Movic, DAX Production",BD,Completed,12,24 Menit,"Oct 4, 2013",feel.,"Comedy, Fantasy, Harem, Isekai, Parody"
6,Nanatsu no Taizai,七つの大罪,8.31,"Aniplex, Dentsu, Mainichi Broadcasting System, Kodansha, Movic",BD,Completed,24,24 Menit,"Oct 5, 2014",A-1 Pictures,"Action, Adventure,  , Fantasy, Shounen, Supernatural"
7,Tonari no Seki-kun,となりの関くん,7.66,"Starchild Records, Media Factory",BD,Completed,21,7 Menit,"Jan 6, 2014",Shin-Ei Animation,"Comedy, School, Seinen"
8,Suisei no Gargantia,翠星のガルガンティア,7.58,"Bandai Visual, Yomiuri Telecasting, Lantis, Nitroplus, Bushiroad, Good Smile Company",BD,Completed,13,23 Menit,"Apr 7, 2013",Production I.G,"Action, Adventure, Mecha, Sci-Fi"
9,Fairy Tail,FAIRY TAIL（フェアリーテイル）,8.02,"TV Tokyo, Dentsu, Pony Canyon, Kodansha, DAX Production, Sakura Create",TV,Completed,277,24 Menit,"Oct 12, 2009","Satelight, A-1 Pictures","Action, Adventure, Comedy, Fantasy, Magic, Shounen"
10,Fullmetal Alchemist,鋼の錬金術師 FULLMETAL ALCHEMIST,9.25,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",BD,Completed,64,24 Menit,"Apr 5, 2009",Bones,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
11,Robotics Notes,ロボティクス・ノーツ,7.4,"Aniplex, Fuji TV, Nitroplus, Sony Music Entertainment, Fuji Pacific Music Publishing, MAGES.",BD,Completed,22,23 Menit,"Oct 12, 2012",Production I.G,"Drama, Mecha, Mystery, School, Sci-Fi"
12,Shingeki no Bahamut: Virgin Soul,神撃のバハムート VIRGIN SOUL,7.54,Cygames,BD,Completed,24,23 Menit,"Apr 8, 2017",MAPPA,"Action, Adventure, Demons, Fantasy, Magic, Supernatural"
13,Shingeki no Bahamut: Genesis,神撃のバハムート GENESIS,7.75,"NBCUniversal Entertainment Japan, Cygames",BD,Completed,12,24 Menit,"Oct 6, 2014",MAPPA,"Action, Adventure, Demons, Fantasy, Magic, Supernatural"
14,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,お兄ちゃんだけど愛さえあれば関係ないよねっ,6.68,"Lantis, Media Factory, AT-X, DAX Production, Cospa, Sony Music Communications",BD,Completed,12,24 Menit,"Oct 5, 2012",Silver Link.,"Comedy,  , Harem, Romance, School"
15,Seto no Hanayome,瀬戸の花嫁,7.86,"TV Tokyo, AIC, Square Enix, Sotsu",BD,Completed,26,24 Menit / Episode,"Apr 2, 2007",Gonzo,"Comedy, Parody, Romance, School, Shounen"
16,Uchouten Kazoku Season 2,有頂天家族2,8.19,"Lantis, KBS, Good Smile Company, Docomo Anime Store, Yomiuri TV Enterprise, DMM.com, Cygames",TV,Completed,12,23 Menit,"Apr 9, 2017",P.A. Works,"Comedy, Demons, Drama, Fantasy, Slice of Life"
17,Uchouten Kazoku,有頂天家族,7.93,"Bandai Visual, Yomiuri Telecasting, Lantis, Kids Station, Magic Capsule, Good Smile Company",BD,Completed,13,24 Menit,"Jul 7, 2013",P.A. Works,"Comedy, Demons, Drama, Fantasy, Slice of Life"
18,Asu no Yoichi!,明日のよいち！,6.92,"Lantis, TBS, Movic",TV,Completed,12,24 Menit,"Jan 9, 2009",AIC,"Comedy,  , Harem, Martial Arts, Romance, Shounen"
19,Heavy Object,ヘヴィーオブジェクト,7.36,"Movic, Magic Capsule, Warner Bros. Japan, KlockWorx, ASCII Media Works, Showgate, Gree",BD,Completed,24,23 Menit / Episode,"Oct 3, 2015","J.C.Staff, SANZIGEN","Action, Mecha, Military, Sci-Fi"
20,Ping Pong The Animation,ピンポン THE ANIMATION,8.65,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",BD,Completed,11,23 Menit,"Apr 11, 2014",Tatsunoko Production,"Psychological, Seinen, Sports"
21,Yuragi-sou no Yuuna-san,ゆらぎ荘の幽奈さん,7.23,"Aniplex, Shueisha",TV,Completed,12,23 Menit,"Jul 14, 2018",Xebec,"Comedy,  , Harem, Romance, Shounen, Supernatural"
22,Ergo Proxy,エルゴプラクシー,7.98,"Geneon Universal Entertainment, WOWOW, Sakura Create",BD,Completed,23,25 Menit,"Feb 25, 2006",Manglobe,"Mystery, Psychological, Sci-Fi"
23,KanColle,艦隊これくしょん -艦これ-,6.99,flying DOG,BD,Completed,12,24 Menit,"Jan 8, 2015",Diomedea,"Action, Military, School, Sci-Fi, Slice of Life"
24,Mahouka Koukou no Rettousei,魔法科高校の劣等生,7.76,"Aniplex, Square Enix, Movic",BD,Completed,26,23 Menit,"Apr 6, 2014",Madhouse,"Magic, Romance, School, Sci-Fi, Supernatural"
