,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Megalo Box Season 2,NOMAD メガロボクス2,8.26,Tohokushinsha Film Corporation,TV,Completed,13,24 Menit,"Apr 4, 2021",TMS Entertainment,"Action, Drama, Sci-Fi, Sports"
1,"Kumo Desu ga, Nani ka?",蜘蛛ですが、なにか？,7.47,Kadokawa,TV,Completed,24,23 Menit,"Jan 8, 2021",Millepensee,"Adventure, Comedy, Fantasy"
2,Osamake,幼なじみが絶対に負けないラブコメ,6.15,"Delfi Sound, Kadokawa",TV,Completed,12,23 Menit,"Apr 14, 2021",Doga Kobo,"Comedy, Harem, Romance, School"
3,Sayonara Watashi no Cramer,さよなら私のクラマー,6.08,Toy's Factory,TV,Completed,13,23 Menit,"Apr 4, 2021",LIDENFILMS,"Drama, Shounen, Sports"
4,Slime Taoshite 300-nen,スライム倒して300年、知らないうちにレベルMAXになってました,7.08,"Nippon Columbia, Studio Mausu",TV,Completed,12,23 Menit,"Apr 10, 2021",Revoroot,"Comedy, Fantasy"
5,Tensura Nikki: Tensei shitara Slime Datta Ken,転スラ日記 転生したらスライムだった件,7.54,"Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions",TV,Completed,12,24 Menit,"Apr 6, 2021",8bit,"Comedy, Fantasy, Shounen, Slice of Life"
6,86,86―エイティシックス―,8.23,Aniplex,TV,Completed,11,23 Menit,"Apr 11, 2021",A-1 Pictures,"Action, Drama, Mecha, Military, Sci-Fi"
7,Higehiro,ひげを剃る。そして女子高生を拾う。,7.46,"Pony Canyon, Magic Capsule, Dream Shift",TV,Completed,13,23 Menit,"Apr 5, 2021",Project No.9,"Drama, Romance"
8,"Dragon, Ie wo Kau",ドラゴン、家を買う。,6.39,"Pony Canyon, Studio Mausu",TV,Completed,12,23 Menit,"Apr 4, 2021",Signal.MD,"Comedy, Fantasy, Shounen"
9,Fruits Basket Season 3,フルーツバスケット The Final,9.09,"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",TV,Completed,13,23 min.,"Apr 6, 2021",TMS Entertainment,"Comedy, Drama, Romance, Shoujo, Slice of Life, Supernatural"
10,Godzilla: S.P,ゴジラ S.P ＜シンギュラポイント＞,6.75,"Toho, Netflix",TV,Completed,13,23 Menit,"Mar 25, 202","Bones, Orange",Action
11,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,究極進化したフルダイブRPGが現実よりもクソゲーだったら,6.47,"Kadokawa, Bit grooove promotion",TV,Completed,12,23 Menit,"Apr 7, 2021",ENGI,"Action, Comedy, Fantasy, Game"
