,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Ao Ashi,アオアシ,8.32,Shogakukan-Shueisha Productions,TV,Completed,24,24 Menit,"Apr 09, 2022",Production I.G,"Seinen, Sports"
1,Shadows House Season 2,シャドーハウス 2nd Season,7.99,"Aniplex, WOWOW, Tokyo MX, Shueisha, BS Asahi",TV,Completed,12,23 Menit,"Jul 09, 2022",CloverWorks,"Seinen, Slice of Life, Supernatural"
2,Warau Arsnotoria Sun!,咲う アルスノトリア すんっ！,5.86,"Pony Canyon, Nitroplus, Ultra Super Pictures, Good Smile Company, Crunchyroll, JR East Marketing & Communications, BS NTV, Kadokawa",TV,Completed,12,23 Menit,"Jul 06, 2022",LIDENFILMS,"Action, Game"
3,Soredemo Ayumu wa Yosetekuru,それでも歩は寄せてくる,7.14,Kodansha,TV,Completed,12,24 Menit,"Jul 08, 2022",SILVER LINK.,"Comedy, Romance, School, Shounen, Slice of Life"
4,Kanojo Okarishimasu Season 2,彼女、お借りします,6.84,"Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",TV,Completed,12,24 Menit,"Jul 02, 2022",TMS Entertainment,"Comedy, Romance, Shounen"
5,Kumichou Musume to Sewagakari,組長娘と世話係,7.81,Bushiroad,TV,Completed,12,23 Menit,"Jul 07, 2022","feel., Gaina","Comedy, Slice of Life"
6,Mamahaha no Tsurego ga Motokano datta,継母の連れ子が元カノだった,6.89,"Pony Canyon, APDREAM, Bit grooove promotion, Happinet Phantom Studios",TV,Completed,12,23 Menit,"Jul 06, 2022",Project No.9,"Comedy, Romance"
7,Kinsou no Vermeil,金装のヴェルメイユ ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～,6.97,"Pony Canyon, Studio Mausu, Hakuhodo DY Music & Pictures, APDREAM",TV,Completed,12,24 Menit,"Jul 05, 2022",Staple Entertainment," , Fantasy, School, Shounen"
8,Isekai Meikyuu de Harem wo,異世界迷宮でハーレムを,7.11,"Kadokawa, Cloud22",TV,Completed,12,24 Menit,"Jul 06, 2022",Passione,"Action, Adventure,  , Fantasy, Harem, Isekai, Romance"
9,Tensei Kenja no Isekai Life,転生賢者の異世界ライフ ～第二の職業を得て、世界最強になりました～,6.31,"Square Enix, Pony Canyon, Movic, BS Fuji, Sammy, BS NTV, SB Creative, GREE Entertainment",TV,Completed,12,24 Menit,"Jul 04, 2022",Revoroot,"Action, Adventure, Fantasy, Isekai"
10,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Season 3,マギアレコード　魔法少女まどか☆マギカ外伝 Final SEASON -浅き夢の暁-,6.75,,TV,Completed,4,24 Menit,"Apr 03, 2022",Shaft,"Drama, Game, Psychological, Suspense"
11,Kunoichi Tsubaki no Mune no Uchi,くノ一ツバキの胸の内,7.19,"Aniplex, Chugai Mining, BS11, Shogakukan, ADK Marketing Solutions",TV,Completed,13,23 Menit,"Apr 10, 2022",CloverWorks,"Comedy, Shounen"
12,"Yuusha, Yamemasu",勇者、辞めます,7.07,Kadokawa,TV,Completed,12,24 Menit,"Apr 05, 2022",EMT Squared,"Action, Adventure, Comedy, Fantasy"
