,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Machikado Mazoku Season 2,まちカドまぞく 2丁目,7.9,"Pony Canyon, Houbunsha, Medicos Entertainment, BS11, RAY, Nichion",TV,Completed,12,24 Menit,"Apr 08, 2022",J.C.Staff,"Comedy, Slice of Life"
1,Kenja no Deshi wo Nanoru Kenja,賢者の弟子を名乗る賢者,6.27,"DAX Production, MAGES., Kadokawa",TV,Completed,12,20 Menit,"Jan 07, 2022",Studio A-CAT,"Adventure, Fantasy, Isekai"
2,Love Live! Nijigasaki Gakuen School Idol Doukoukai Season 2,ラブライブ! 虹ヶ咲学園スクールアイドル同好会,7.74,"Lantis, Bushiroad, Sunrise Music, Kadokawa, Bandai Namco Filmworks, Bandai Namco Music Live",TV,Completed,13,24 Menit,"Apr 02, 2022",Sunrise,"Music, School, Slice of Life"
3,Birdie Wing: Golf Girls' Story,BIRDIE WING -Golf Girls' Story-,7.5,TV Tokyo,TV,Completed,13,23 Menit,"Apr 06, 2022",Bandai Namco Pictures,Sports
4,Tate no Yuusha no Nariagari Season 2,盾の勇者の成り上がり Season2,6.56,Glovision,TV,Completed,13,24 Menit,"Apr 06, 2022","Kinema Citrus, DR Movie","Action, Adventure, Drama, Fantasy, Isekai"
5,Kyoukai Senki Part 2,境界戦機,6.47,-,TV,Completed,12,24 Menit,"Apr 12, 2022",Sunrise Beyond,"Action, Mecha, Sci-Fi"
6,Gunjou no Fanfare,群青のファンファーレ,6.11,"Aniplex, Half H.P Studio, Tokyo MX, BS11, Koei Tecmo Games, Hakuhodo, Hochi Shimbun",TV,Completed,13,24 Menit,"Apr 02, 2022",Lay-duce,Sports
7,"Kono Healer, Mendokusai",このヒーラー、めんどくさい,6.38,"Nippon Columbia, Kadokawa",TV,Completed,12,23 Menit,"Apr 10, 2022",Jumondo,"Adventure, Comedy, Fantasy"
8,Spy x Family,SPY×FAMILY,8.8,TOHO animation,TV,Completed,12,24 Menit,"Apr 09, 2022","Wit Studio, CloverWorks","Action, Comedy, Shounen"
9,Cue!,CUE!,6.82,"Pony Canyon, APDREAM, Liber Entertainment",TV,Completed,24,24 Menit,"Jan 08, 2022","Yumeta Company, Graphinica","Game, Music"
10,"Komi-san wa, Comyushou desu. Season 2",古見さんは、コミュ症です。,8.16,Shogakukan-Shueisha Productions,TV,Completed,12,23 Menit,"Apr 07, 2022",OLM,"Comedy, Drama, Romance, School, Shounen, Slice of Life"
11,Kaguya-sama wa Kokurasetai Season 3,かぐや様は告らせたい-ウルトラロマンティック-,9.13,"Aniplex, Magic Capsule, Shueisha",TV,Completed,13,25 Menit,"Apr 09, 2022",A-1 Pictures,"Comedy, Psychological, Romance, School, Seinen"
12,Koi wa Sekai Seifuku no Ato de,恋は世界征服のあとで,7.53,"Pony Canyon, APDREAM, Dream Shift",TV,Completed,12,24 Menit,"Apr 08, 2022",Project No.9,"Comedy, Romance, Shounen"
13,Date A Live Season 4,デート・ア・ライブⅣ,7.84,"AT-X, Nippon Columbia, Docomo Anime Store, Kadokawa Media House, Kadokawa",TV,Completed,12,24 Menit,"Apr 08, 2022",GEEK TOYS,"Comedy, Harem, Mecha, Romance, School, Sci-Fi"
14,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,社畜さんは幼女幽霊に癒されたい。,7.08,"APDREAM, Bit grooove promotion, Bergamo",TV,Completed,12,24 Menit,"Apr 07, 2022",Project No.9,"Comedy, Shounen, Slice of Life, Supernatural, Workplace"
15,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,ヒロインたるもの！〜嫌われヒロインと内緒のお仕事〜,7.3,"Movic, Futabasha, U-NEXT, MusicRay’n, INCS toenter, Marui Group, Lawson Entertainment, tamakoshi, flaggs, Laulea Works, Alice",TV,Completed,12,24 Menit,"Apr 07, 2022",Lay-duce,"Music, School"
16,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",骸骨騎士様、只今異世界へお出掛け中,7.22,"Pony Canyon, AT-X, DAX Production, Docomo Anime Store, Overlap, Crunchyroll, Muse Communication, MAGNET",TV,Completed,12,24 Menit,"Apr 07, 2022","Studio Kai, HORNETS","Action, Fantasy, Isekai"
17,Deaimon,であいもん,7.6,"Kadokawa, Midorimatsu",TV,Completed,12,24 Menit,"Apr 06, 2022",Encourage Films,"Seinen, Slice of Life"
18,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",史上最強の大魔王、村人Aに転生する,6.25,Kadokawa,TV,Completed,12,24 Menit,"Apr 06, 2022","SILVER LINK., Blade","Action, Fantasy, School"
19,RPG Fudousan,RPG不動産,6.74,"AT-X, Nippon Columbia, Houbunsha, Kadokawa Media House, BS NTV, Kadokawa",TV,Completed,12,24 Menit,"Apr 06, 2022",Doga Kobo,"Comedy, Fantasy, Slice of Life"
20,Tomodachi Game,トモダチゲーム,7.7,"Studio Mausu, Nippon Television Network",TV,Completed,12,23 Menit,"Apr 06, 2022",Okuruto Noboru,"Game, Psychological, Shounen"
21,Healer Girl,ヒーラー・ガール,7.4,"Lantis, Live Viewing Japan, Bandai Namco Arts",TV,Completed,12,24 Menit,"Apr 04, 2022",Studio 3Hz,Music
22,Black★★Rock Shooter: Dawn Fall,ブラック★★ロックシューター DAWN FALL,5.86,"Good Smile Company, Imagine",TV,Completed,12,23 Menit,"Apr 03, 2022","Bibury Animation Studios, Bibury Animation CG","Action, Drama, Super Power"
23,Otome Game Sekai wa Mob ni Kibishii Sekai desu,乙女ゲー世界はモブに厳しい世界です,7.37,Kadokawa,TV,Completed,12,24 Menit,"Apr 03, 2022",ENGI,"Fantasy, Harem, Isekai, Mecha, Romance, School"
24,RikeKoi Season 2,理系が恋に落ちたので証明してみた。r=1-sinθ（ハート）,7.3,"Flex Comix, Hokkaido Cultural Broadcasting, BS11, Yomiuri TV Enterprise, Kanetsu Investment, Toyo Recording, ibis Capital Partners, Y&N Brothers, SUPA LOVE",TV,Completed,12,23 Menit,"Apr 02, 2022",Zero-G,"Comedy, Romance"
