,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Egao no Daika,エガオノダイカ,6.23,-,TV,Completed,12,23 Menit,"Jan 4, 2019",Tatsunoko Production,"Drama, Fantasy, Original Genres: Military, Slice of Life"
1,Ueno-san wa Bukiyou,上野さんは不器用,6.75,-,TV,Completed,12,15 Menit,"Jan 7, 2019",Lesprit,"Comedy, Romance, Seinen"
2,Radiant,ラディアン,6.84,"NHK, NHK Enterprises",TV,Completed,21,24 Menit,"Oct 6, 2018",Lerche,"Action, Adventure, Fantasy, Magic"
3,Steins;Gate 0,シュタインズ・ゲート ゼロ,8.6,"Frontier Works, Media Factory, Kadokawa Shoten, Movic",TV,Completed,23,23 Menit,"Apr 12, 2018",White Fox,"Sci-Fi, Thriller"
4,Steins Gate,シュタインズ・ゲート,9.14,"Frontier Works, Media Factory, Movic, AT-X, Other",BD,Completed,24,24 Menit,"Apr 6, 2011",White Fox,"Sci-Fi, Thriller"
5,Plastic Memories,プラスティック・メモリーズ,8.01,"Aniplex, Movic, AT-X, ASCII Media Works, Other",BD,Completed,13,24 Menit,"Apr 5, 2015",Doga Kobo,"Drama, Romance, Sci-Fi"
6,Shokugeki no Souma Season 2,食戟のソーマ 弍ノ皿,8.46,"Dentsu, Lantis, Mainichi Broadcasting System, KlockWorx, Showgate, Shueisha",BD,Completed,13,24 Menit,"Jul 2, 2016",J.C.Staff," , School, Shounen"
7,Shokugeki no Souma,食戟のソーマ,8.56,"Dentsu, Frontier Works, Mainichi Broadcasting System, Magic Capsule, Warner Bros., KlockWorx, Showgate, Shueisha, I Will",BD,Completed,24,25 Menit,"Apr 4, 2015",J.C.Staff," , School, Shounen"
8,Kakegurui,賭ケグルイ,7.55,"Dentsu, Square Enix, Movic, KlockWorx",TV,Completed,12,24 Menit,"Jul 1, 2017",MAPPA,"Drama, Mystery, Psychological, School, Shounen"
9,Gamers!,ゲーマーズ!,7.19,"Sony Pictures Entertainment, Frontier Works, Kadokawa Shoten, AT-X, NBCUniversal Entertainment Japan, Tokyo MX, i0+, Chugai Mining Co., Ltd., BS11",TV,Completed,12,24 Menit,"Jul 13, 2017",Pine Jam,"Comedy, Romance, School"
10,Cross Ange,クロスアンジュ 天使と竜の輪舞〈ロンド〉,7.48,"Starchild Records, Bandai Namco Live Creative, Bandai Channel",BD,Completed,25,23 Menit,"Oct 5, 2014",Sunrise,"Action, Mecha, Sci-Fi"
11,Death Parade,デス・パレード,8.29,"VAP, DAX Production, Nippon Television Network Corporation",BD,Completed,12,23 Menit,"Jan 10, 2015",Madhouse,"Drama, Game, Mystery, Psychological, Thriller"
12,Clannad Season 2,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,9.02,"Pony Canyon, TBS, Rakuonsha, Animation Do",BD,Completed,24,24 Menit,"Oct 3, 2008",Kyoto Animation,"Drama, Fantasy, Romance, Slice of Life, Supernatural"
