,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Roukin,老後に備えて異世界で８万枚の金貨を貯めます,6.93,"Kodansha, Crunchyroll, ABC Animation, DMM.com, A-Sketch, ADK Marketing Solutions, Sankyo",TV,Completed,12,23 Menit,"Jan 08, 2023",Felix Film,"Fantasy, Isekai"
1,Sugar Apple Fairy Tale,シュガーアップル・フェアリーテイル,7.32,"AT-X, Magic Capsule, flying DOG, Crunchyroll, Kadokawa, BS Asahi",TV,Completed,12,22 Menit,"Jan 06, 2023",J.C.Staff,"Adventure, Fantasy, Romance, Shoujo"
2,Ars no Kyojuu,アルスの巨獣,6.15,"Mainichi Broadcasting System, Sentai Filmworks, bilibili, DMM.com, Bit grooove promotion, NetEase",TV,Completed,12,24 Menit,"Jan 07, 2023",Asahi Production,"Action, Adventure, Fantasy"
3,Blue Lock,ブルーロック,8.4,"TV Asahi, Kodansha, Toy's Factory, Crunchyroll, Bandai Spirits, Bit grooove promotion, Bandai Namco Filmworks, Bandai Namco Music Live",TV,Completed,24,24 Menit,"Okt 09, 2022",8bit,"Shounen, Sports"
4,Tsunlise,ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん,7.24,"Mainichi Broadcasting System, Movic, DMM.com, Nichion, FuRyu, DMM pictures, Kadokawa, Bit grooove promotion, Pia, NetEase",TV,Completed,12,24 Menit,"Jan 07, 2023",Tezuka Productions,"Comedy, Fantasy, Romance, Video Game"
5,Revenger,REVENGER (リベンジャー),6.68,"Shochiku, AT-X, Nitroplus, flying DOG, Tokyo MX, Good Smile Company, Kansai Telecasting, Marui Group",TV,Completed,12,23 Menit,"Jan 05, 2023",Ajia-Do,"Action, Drama, Gore, Historical, Mystery, Samurai"
6,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,解雇された暗黒兵士（30代）のスローなセカンドライフ,7.06,"Kodansha, Good Smile Film, Bit grooove promotion",TV,Completed,12,23 Menit,"Jan 07, 2023",Encourage Films,Fantasy
7,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,お隣の天使様にいつの間にか駄目人間にされていた件,7.87,"Pony Canyon, Movic, TOHO animation, Tokyo MX, Good Smile Company, Pia, SB Creative",TV,Completed,12,23 Menit,"Jan 07, 2023",Project No.9,"Comedy, Romance, School"
8,The Legend of Heroes: Sen no Kiseki - Northern War,The Legend of Heroes 閃の軌跡 Northern War,5.7,"Nihon Falcom, Crunchyroll, NADA Holdings, USERJOY Technology",TV,Completed,12,23 Menit,"Jan 06, 2023",Tatsunoko Production,"Action, Fantasy, Military"
9,Hyouken no Majutsushi ga Sekai wo Suberu,冰剣の魔術師が世界を統べる,6.34,"Pony Canyon, TBS, Kodansha, BS11, Crunchyroll, DMM.com, Nichion, NichiNare, Yokohama Animation Lab, Bit grooove promotion",TV,Completed,12,24 Menit,"Jan 06, 2023",Cloud Hearts,"Action, Fantasy, School"
10,Mairimashita! Iruma-kun Season 3,魔入りました！入間くん,7.84,"NHK, NHK Enterprises",TV,Completed,21,24 Menit,"Okt 08, 2022",Bandai Namco Pictures,"Comedy, Fantasy, Isekai, Mythology, School, Shounen"
11,Isekai Nonbiri Nouka,世界のんびり農家,7.62,"MediaNet, Pony Canyon, AT-X, Hakuhodo, Kadokawa, Saber Links",TV,Completed,12,24 Menit,"Jan 06, 2023",Zero-G,"Fantasy, Isekai, Slice of Life"
12,Boku no Hero Academia Season 6,僕のヒーローアカデミア 6th Season,8.39,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",TV,Completed,25,24 Menit,"Okt 01, 2022",Bones,"Action, School, Shounen, Super Power"
13,Tensei Oujo to Tensai Reijou no Mahou Kakumei,転生王女と天才令嬢の魔法革命,7.61,"AT-X, Kansai Telecasting, Kadokawa, Bit grooove promotion, CTW, TVA advance",TV,Completed,12,23 Menit,"Jan 04, 2023",Diomedéa,"Comedy, Fantasy, Girls Love, Isekai, Reincarnation, Shoujo Ai"
14,Oniichan wa Oshimai!,お兄ちゃんはおしまい！,7.76,"TOHO animation, Egg Firm, Ichijinsha",TV,Completed,12,23 Menit,"Jan 05, 2023",Studio Bind,"CGDCT, Comedy, School"
15,Koori Zokusei Danshi to Cool na Douryou Joshi,氷属性男子とクールな同僚女子,7.39,"Square Enix, Lantis, ABC Animation",TV,Completed,12,23 Menit,"Jan 04, 2023","Zero-G, Liber","Comedy, Fantasy, Mythology, Romance, Workplace"
16,Fumetsu no Anata e Season 2,不滅のあなたへ不滅のあなたへ,8.08,"NHK, Kodansha, NHK Enterprises",TV,Completed,20,25 Menit,"Okt 23, 2022",Drive,"Adventure, Drama, Fall 2022, Shounen, Supernatural"
17,DanMachi Season 4 Part 2,ダンジョンに出会いを求めるのは間違っているだろうかⅣ深章 厄災篇,8.26,"Genco, Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative",TV,Completed,11,23 Menit,"Jan 7, 2023",J.C.Staff,"Action, Adventure, Fantasy"
18,"Ijiranaide, Nagatoro-san Season 2",イジらないで、長瀞さん 2nd Attack,7.55,"TMS Entertainment, Mainichi Broadcasting System, Kodansha, King Records",TV,Completed,12,23 Menit,"Jan 08, 2023",OLM,"Comedy, Romance, School"
19,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,人間不信の冒険者たちが世界を救うようです,6.39,"Frontier Works, Pony Canyon, Studio Mausu, Hakuhodo DY Music & Pictures, BS11, Kadokawa, Geek Pictures",TV,Completed,12,23 Menit,"Jan 03, 2023",Geek Toys,"Action, Adventure, Fantasy"
20,Isekai Ojisan,異世界おじさん,7.88,"Movic, AT-X, Sammy, BS11, Kadokawa Media House, Kadokawa",TV,Completed,13,23 Menit,"Jul 06, 2022",AtelierPontdarc,"Comedy, Fantasy, Isekai, Parody"
21,Shingeki no Kyojin Season 4 Part 2,進撃の巨人 The Final Season Part 2,8.77,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise",BD,Completed,12,22 Menit,"Jan 10, 2022",MAPPA,"Action, Drama, Gore, Military, Mystery, Shounen, Super Power"
22,Seven Knights Revolution: Eiyuu no Keishousha,セブンナイツ レボリューション -英雄の継承者-,6.31,"Rakuonsha, TOHO animation",TV,Completed,12,Menit,"Apr 5, 2021","LIDENFILMS, domerica","Action, Adventure, Fantasy, Game, Magic"
23,Shingeki no Kyojin Season 4,進撃の巨人 The Final Season,8.81,"Pony Canyon, Techno Sound",TV,Completed,16,23 Menit,"Des 07, 2020",MAPPA,"Action, Drama, Gore, Military, Shounen, Survival"
24,Zombieland Saga Season 2,ゾンビランドサガ リベンジ,8.02,"AT-X, Avex Pictures, CyberAgent, dugout",BD,Completed,12,23 Menit,"Apr 8, 2021",MAPPA,"Comedy, Idol, Music, Parody, Supernatural"
