,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Kimetsu no Yaiba Season 2,鬼滅の刃 遊郭編,8.91,-,TV,Completed,11,23 Menit,"Des 05, 2021",ufotable,"Action, Demons, Historical, Shounen, Supernatural"
1,Kingdom Season 3,キングダム 第3シリーズ,8.77,NHK,TV,Completed,26,25 Menit,"Apr 6, 2020",Studio Signpost,"Action, Historical, Military, Seinen"
2,Shiroi Suna no Aquatope,白い砂のアクアトープ,7.52,"BS Fuji, Tokyo MX, Infinite, Forecast Communications, Kadokawa Media House, DMM pictures, Bandai Namco Arts, AQUA ARIS",TV,Completed,24,23 Menit,"Jul 9, 2021",P.A. Works,"Drama, Slice of Life"
3,Saihate no Paladin,最果てのパラディン,6.91,"DAX Production, Docomo Anime Store, bilibili, Overlap, Good Smile Film",TV,Completed,12,23 Menit,"Okt 09, 2021",Children's Playground Entertainment,"Action, Adventure, Fantasy"
4,Megaton-kyuu Musashi,メガトン級ムサシ,6.19,,TV,Completed,13,28 Menit,"Okt 1, 2021",OLM,"Action, Mecha, School, Sci-Fi"
5,100-man no Inochi no Ue ni Ore wa Tatteiru,100万の命の上に俺は立っている,6.48,"Lantis, Warner Bros. Japan",TV,Completed,12,23 Menit,"Oct 2, 2020",Maho Film,"Action, Drama, Fantasy, Game, Shounen"
6,Love Live! Superstar!!,ラブライブ！スーパースター!!,8.02,"Kadokawa, Bandai Namco Arts",TV,Completed,12,23 Menit,"Jul 11, 2021",Sunrise Beyond,"Music, School, Slice of Life"
7,Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node,真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,7.25,,TV,Completed,13,23 Menit,"Okt 6, 2021","Studio Flad, Wolfsbane","Adventure, Fantasy, Romance, Slice of Life"
8,Kobayashi-san Chi no Maid Dragon Season 2,小林さんちのメイドラゴンS,8.5,"Lantis, Heart Company",TV,Completed,12,23 Menit,"Jul 8, 2021",Kyoto Animation,"Comedy, Fantasy, Slice of Life"
9,Kyoukai Senki,境界戦機,6.28,Bandai Spirits,TV,Completed,13,24 Menit,"Okt 5, 2021",Sunrise Beyond,"Action, Mecha, Sci-Fi"
10,Deep Insanity: The Lost Child,Deep Insanity THE LOST CHILD,5.5,"Square Enix, Bit grooove promotion",TV,Completed,12,24 Menit,"Okt 13, 2021",SILVER LINK.,Sci-Fi
11,Selection Project,SELECTION PROJECT,7.29,Kadokawa,TV,Completed,13,23 Menit,"Okt 1, 2021",Doga Kobo,Music
12,Gyakuten Sekai no Denchi Shoujo,逆転世界ノ電池少女,6.33,"Lantis, Egg Firm, Kadokawa",TV,Completed,12,24 Menit,"Okt 11, 2021",Lerche,"Action, Mecha, Sci-Fi"
13,Muv-Luv Alternative,マブラヴ オルタネイティヴ,5.77,Fuji TV,TV,Completed,12,22 Menit,"Okt 07, 2021","umeta Company, Graphinica, FLAGSHIP LINE","Action, Drama, Mecha, Military, Sci-Fi"
14,Senpai ga Uzai Kouhai no Hanashi,先輩がうざい後輩の話,7.75,King Records,TV,Completed,12,23 Menit,"Okt 10, 2021",Doga Kobo,"Comedy, Romance, Slice of Life"
15,Visual Prison,ヴィジュアルプリズン,6.63,Aniplex,TV,Completed,12,24 Menit,"Okt 09, 2021",A-1 Pictures,"Music, Supernatural, Vampire"
16,Taishou Otome Otogibanashi,大正処女御伽話,7.76,"Pony Canyon, Bit grooove promotion",TV,Completed,12,24 Menit,"Okt 9, 2021",SynergySP,"Comedy, Historical, Romance, Shounen, Slice of Life"
17,Sakugan,サクガン,6.57,"Sotsu, Mainichi Broadcasting System, Tohokushinsha Film Corporation, DeNA, Nippon Cultural Broadcasting",TV,Completed,?,24 Menit,"Okt 7, 2021",Satelight,"Mecha, Sci-Fi"
18,Kyuuketsuki Sugu Shinu,吸血鬼すぐ死ぬ,7.2,"Frontier Works, Pony Canyon",TV,Completed,12,23 Menit,"Okt 4, 2021",Madhouse,"Comedy, Supernatural, Vampire"
19,Scarlet Nexus,SCARLET NEXUS,5.68,Bandai Namco Arts,TV,Completed,26,22 Menit,"Jul 1, 2021",Sunrise,"Action, Sci-Fi, Super Power"
20,"Komi-san wa, Comyushou desu.",古見さんは、コミュ症です。,8.18,"Half H.P Studio, Shogakukan",TV,Completed,12,23 Menit,"Okt 07, 2021",OLM,"Comedy, School, Shounen, Slice of Life"
21,Puraore! Pride of Orange,プラオレ！～PRIDE OF ORANGE～,6.31,CyberAgent,TV,Completed,12,23 Menit,"Okt 06, 2021",C2C,Sports
22,Takt Op. Destiny,takt op.Destiny,7.25,"DeNA, Bandai Namco Arts",TV,Completed,12,23 Menit,"Oct 6, 2021","Madhouse, MAPPA","Action, Fantasy, Music"
23,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,進化の実～知らないうちに勝ち組人生～,6.12,"Hotline, Glovision",TV,Completed,12,24 Menit,"Oct 5, 2021","feel., Children's Playground Entertainment","Adventure, Fantasy, Romance"
24,Ansatsu Kizoku,世界最高の暗殺者、異世界貴族に転生する,7.59,"Lantis, Movic, AT-X, Glovision, TV Aichi, Crunchyroll, Kadokawa Media House, Kadokawa, Bandai Namco Arts",TV,Completed,12,23 Menit,"Oct 6, 2021","SILVER LINK., Studio Palette","Action, Fantasy"
