,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Usagi Drop,うさぎドロップ,8.53,"Fuji TV, Tohokushinsha Film Corporation, Sony Music Entertainment, Sakura Create, Fuji Pacific Music Publishing",BD,Completed,11,22 Menit / Episode,"Jul 8, 2011 sampai Sep 16, 2011",Summer 2011,"Josei, Slice of Life"
1,Busou Shoujo Machiavellianism,武装少女マキャヴェリズム,7.2,"Media Factory, AT-X, Nippon Columbia, KlockWorx, Glovision, Kadokawa Media House, Toshiba Digital Frontiers, Tsukuru no Mori",TV,Completed,12,23 Menit / Episode,"Apr 5, 2017 sampai Jun 21, 2017","Silver Link., Connect","Action, School, Shounen"
2,Devils Line,デビルズライン,6.49,"Kodansha, King Records",TV,Completed,12,24 Menit / Episode,"Apr 7, 2018",Platinum Vision,"Action, Drama, Romance, Seinen, Supernatural, Vampire"
3,Caligula,カリギュラ,6.43,Furyu,TV,Completed,12,23 Menit / Episode,"Apr 8, 2018 sampai Jun 24, 2018",Satelight,"Action, Sci-Fi"
4,Sakura Trick,桜Trick,7.15,"Pony Canyon, TBS",BD,Completed,12,24 Menit / Episode,"Jan 10, 2014 sampai Mar 28, 2014",Studio Deen,"Comedy, Romance, School, Seinen, Shoujo Ai, Slice of Life"
5,Comic Girls,こみっくがーるず,7.19,"Houbunsha, Kansai Telecasting, BS11, My Theater D.D.",TV,Completed,12,23 Menit / Episode,"Apr 5, 2018 sampai Jun 21, 2018",Nexus,"Comedy, Slice of Life"
6,Shokugeki no Souma Season 3,食戟のソーマ 餐ノ皿,8.5,"Lantis, Warner Bros., KlockWorx, Shueisha",TV,Completed,24,24 Menit / Episode,"[Cour 1] Oct 4, 2017 sampai Dec 20, 2017 | [Cour 2] Apr 9, 2018 sampai Jun 25, 2018",J.C.Staff," , School, Shounen"
7,Hinamatsuri,ヒナまつり,8.37,"Magic Capsule, Nippon Columbia",TV,Completed,12,23 Menit / Episode,"Apr 6, 2018 sampai Jun 22, 2018",feel.,"Comedy, Sci-Fi, Seinen, Slice of Life, Supernatural"
8,Mahou Shoujo Site,魔法少女サイト,6.65,-,TV,Completed,12,24 Menit / Episode,"Apr 7, 2018 sampai Jun 23, 2018",production doA,Mahou Shoujo Site Sub Indo
9,Mahou Shoujo Ore,魔法少女 俺,7.27,"Genco, Crunchyroll SC Anime Fund",TV,Completed,12,23 Menit / Episode,"Apr 2, 2018 sampai Jun 18, 2018",Pierrot Plus,"Comedy, Fantasy, Magic"
