,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Little Busters! Season 2,リトルバスターズ！～Refrain～,8.31,"Warner Bros. Japan, Showgate",BD,Completed,13,24 Menit,"Oct 5, 2013",J.C.Staff,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
1,Charlotte,Charlotte（シャーロット）,7.91,"Aniplex, other.",BD,Completed,13,24 Menit,"Jul 5, 2015",P.A. Works,"Drama, School, Super Power"
2,Barakamon,ばらかもん,8.48,"VAP, Nippon Television Network",BD,Completed,12,22 Menit,"Jul 6, 2014",Kinema Citrus,"Comedy, Slice of Life"
3,Kannagi,かんなぎ,7.38,"Aniplex, Sony Music Entertainment, Ichijinsha",BD,Completed,13,23 Menit,"Oct 4, 2008","A-1 Pictures, Ordet","Comedy, School, Shounen, Supernatural"
4,AnoHana,あの日見た花の名前を僕達はまだ知らない。,8.56,"Aniplex, Dentsu, Fuji TV, Fuji Pacific Music Publishing",BD,Completed,11,22 Menit / Episode,"Apr 15, 2011 sampai Jun 24, 2011",A-1 Pictures,"Drama, Slice of Life, Supernatural"
5,Kuromukuro,クロムクロ,7.33,"Sotsu, Pony Canyon, AT-X, KlockWorx, Tokyo MX, Medicos Entertainment, Infinite",TV,Completed,26,24 Menit,"Apr 7, 2016",P.A. Works,"Action, Mecha, Sci-Fi"
6,Aku no Hana,惡の華,7.22,"Starchild Records, Animax, Kodansha, KlockWorx, GANSIS",TV,Completed,13,24 Menit,"Apr 5, 2013",Zexcs,"Drama, Psychological, Romance, School"
7,Baki,バキ,7.54,-,TV,Completed,26,24 Menit / Episode,"Jun 25, 2018",TMS Entertainment,"Action, Martial Arts, Shounen"
8,Saiki Kusuo no Psi Nan Season 2,斉木楠雄のΨ難 2,8.65,"TV Tokyo, Shogakukan Productions, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc.",TV,Completed,24,24 Menit,"Jan 17, 2018","J.C.Staff, Egg Firm","Comedy, School, Shounen, Slice of Life, Supernatural"
9,Saiki Kusuo no Psi Nan,斉木楠雄のΨ難,8.56,"TV Tokyo, Shogakukan Productions, Pony Canyon, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc.",TV,Completed,24,24 Menit,"Jul 4, 2016","J.C.Staff, Egg Firm","Comedy, School, Shounen, Slice of Life, Supernatural"
10,Banana Fish,BANANA FISH,8.32,"Aniplex, Fuji TV, dugout",TV,Completed,24,22 Menit,"Jul 6, 2018",MAPPA,"Action, Adventure, Drama, Shoujo"
11,Goblin Slayer,ゴブリンスレイヤー,7.74,"Sony Pictures Entertainment, Frontier Works, AT-X, SoftBank Creative, Bushiroad, Hakuhodo DY Music & Pictures, Good Smile Film, Artist Management Office",TV,Completed,12,23 Menit,"Oct 7, 2018",White Fox,"Action, Fantasy"
12,Aho Girl,アホガール,7.39,"Nihon Ad Systems, Kodansha, Movic",TV,Completed,12,12 Menit,"Jul 4, 2017",Diomedea,"Comedy, Romance, School"
13,Fukigen na Mononokean,不機嫌なモノノケ庵,7.45,"Square Enix, AT-X, Age Global Networks, Docomo Anime Store, Yomiuri TV Enterprise, Tokuma Japan Communications, Kanon Sound, RAY",TV,Completed,13,24 Menit,"Jun 28, 2016",Pierrot Plus,"Comedy, Demons, Supernatural"
14,Irozuku Sekai no Ashita kara,色づく世界の明日から,7.67,"NBCUniversal Entertainment Japan, Infinite",TV,Completed,13,24 Menit,"Oct 6, 2018",P.A. Works,"Drama, Magic, Romance"
15,Ulysses: Jehanne Darc to Renkin no Kishi,ユリシーズ ジャンヌ・ダルクと錬金の騎士,5.63,"Lantis, Shueisha",TV,Completed,12,23 Menit,"Oct 7, 2018",AXsiZ,"Action, Fantasy"
16,Beelzebub-jou no Okinimesu mama,ベルゼブブ嬢のお気に召すまま。,7.34,"Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, Q-Tec, ABC Animation, CA-Cygames Anime Fund",TV,Completed,12,24 Menit,"Oct 11, 2018",LIDENFILMS,"Comedy, Demons, Fantasy, Shounen"
17,Umineko no Naku Koro ni,うみねこのなく頃に,7.25,"Geneon Universal Entertainment, Frontier Works, Sotsu, Movic",BD,Completed,26,23 Menit,"Jul 2, 2009",Studio Deen,"Horror, Mystery, Psychological, Supernatural"
18,Owari no Seraph Season 2,終わりのセラフ　名古屋決戦編,7.78,"NBCUniversal Entertainment Japan, Shueisha",BD,Completed,12,23 Menit,"Oct 10, 2015",Wit Studio,"Action, Drama, Military, Shounen, Supernatural, Vampire"
19,Owari no Seraph,終わりのセラフ,7.62,"Rakuonsha, NBCUniversal Entertainment Japan, Shueisha",BD,Completed,12,23 Menit,"Apr 4, 2015",Wit Studio,"Action, Drama, Military, Shounen, Supernatural, Vampire"
20,Watashi ga Motete Dousunda,私がモテてどうすんだ,7.38,"TBS, Kodansha, DAX Production, Nippon Columbia, RAY",TV,Completed,12,23 Menit,"Oct 7, 2016 ",Brain's Base,"Comedy, Harem, Romance, School, Shoujo"
21,Yagate Kimi ni Naru,やがて君になる,8.0,"AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa",TV,Completed,13,24 Menit,"Oct 5, 2018",TROYCA,"School, Shoujo Ai"
22,Tokyo Ghoul:re Season 2,京喰種トーキョーグール：re 第2期,6.42,"Marvelous, TC Entertainment, Shueisha",TV,Completed,12,24 Menit / Episode,"Oct 9, 2018","Studio Pierrot, Pierrot Plus","ction, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"
23,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,青春ブタ野郎はバニーガール先輩の夢を見ない,8.67,"Aniplex, A-1 Pictures",TV,Completed,13,24 Menit,"Oct 4, 2018",CloverWorks,"Comedy, Romance, School"
24,Kishuku Gakkou no Juliet,寄宿学校のジュリエット,7.63,NBCUniversal Entertainment Japan,BD,Completed,12,24 Menit,"Oct 6, 2018",LIDENFILMS,"Action, Comedy, Romance, School, Shounen"
