,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,JoJo Bizarre Adventure Part 4,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,8.63,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",TV,Completed,39,23 Menit,"Apr 2, 2016",David Production,"Action, Adventure, Comedy, Drama, Shounen, Supernatural"
1,BNA,BNA ビー・エヌ・エー,7.66,"Fuji TV, TOHO animation",TV,Completed,12,22 Menit,"Apr 9, 2020",Trigger,Fantasy
2,Kingdom Season 2,キングダム 第2シリーズ,8.42,NHK,TV,Completed,39,25 Menit,"Jun 8, 2013",Studio Pierrot,"Action, Historical, Military, Seinen"
3,Kingdom,キングダム,8.1,NHK,TV,Completed,38,25 Menit,"Jun 4, 2012",Studio Pierrot,"Action, Historical, Military, Seinen"
4,Kimi ni Todoke Season 2,君に届け 2ND SEASON,8.05,"VAP, Nippon Television Network, Shueisha",TV,Completed,12,23 Menit,"Jan 12, 2011",Production I.G,"Drama, Romance, School, Shoujo, Slice of Life"
5,Kimi ni Todoke,君に届け,8.06,"VAP, Nippon Television Network, Shueisha",TV,Completed,25,22 Menit,"Oct 7, 2009",Production I.G,"Drama, Romance, School, Shoujo, Slice of Life"
6,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,絶対可憐チルドレン THE UNLIMITED 兵部京介,7.58,"TV Tokyo, Geneon Universal Entertainment, Shogakukan Productions, Half H.P Studio",BD,Completed,12,24 Menit,"Jan 8, 2013",Manglobe,"Action, Shounen, Super Power, Supernatural"
7,Tales of Zestiria the X Season 2,テイルズ オブ ゼスティリア ザ クロス 第2期,7.39,"Bandai Visual, Lantis, Bandai Namco Entertainment, Anime Consortium Japan",TV,Completed,13,23 Menit,"Jan 8, 2017",ufotable,"Action, Adventure, Fantasy, Magic"
8,Another World,アナザー・ワールド,7.14,-,BD,Completed,3,10 Menit,"Sep 13, 2019",Graphinica,Sci-Fi
9,Dog Days,ドッグデイズ,7.03,"Aniplex, Good Smile Company",BD,Completed,13,24 Menit,"Apr 2, 2011",Seven Arcs,"Action, Adventure, Fantasy, Magic"
10,Jigoku Shoujo,地獄少女,7.72,"Aniplex, SKY Perfect Well Think",BD,Completed,26,25 Menit,"Oct 5, 2005",Studio Deen,"Horror, Mystery, Psychological, Supernatural"
11,22/7,22/7 (nanabun no nijyuuni),6.9,Aniplex,TV,Completed,12,24 Menit,"Jan 11, 2020",A-1 Pictures,Music
12,11eyes,11eyes イレブンアイズ,6.4,"Marvelous, Pony Canyon, feng",BD,Completed,12,25 Menit / Episode,"Oct 7, 2009 sampai Dec 23, 2009",Doga Kobo,"Action,  , Super Power, Supernatural"
13,Oregairu Season 3,やはり俺の青春ラブコメはまちがっている。完,8.56,"Marvelous, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan",TV,Completed,12,24 Menit,"Jul 10, 2020",feel.,"Comedy, Drama, Romance, School, Slice of Life"
14,Natsunagu,なつなぐ!,5.93,-,TV,Completed,12,4 Menit,"Jan 7, 2020",Imagica Lab.,"Drama, Slice of Life"
15,Boku no Hero Academia Season 4,僕のヒーローアカデミア 4thシーズン,8.29,"TOHO animation, Shueisha",TV,Completed,25,23 Menit,"Oct 12, 2019",Bones,"Action, Comedy, School, Shounen, Super Power"
16,Uchitama,うちタマ?!~うちのタマ知りませんか?~,6.92,"Aniplex, Dentsu, Fuji TV",TV,Completed,11,23 Menit,"Jan 10, 2020","MAPPA, Lapin Track",Slice of Life
17,Oda Cinnamon Nobunaga,織田シナモン信長,6.92,"Aniplex, Dentsu, Fuji TV, Sony Creative Products",TV,Completed,12,23 Menit,"Jan 11, 2020",Studio Signpost,"Comedy, Historical, Seinen, Slice of Life"
18,Majutsushi Orphen Hagure Tabi,魔術士オーフェンはぐれ旅,6.78,"WOWOW, Genco, Lantis, Marvel Entertainment, BS Fuji, Nippon Television Network, Forecast Communications, Yomiuri TV Enterprise, Bandai Namco Arts, TO Books",TV,Completed,13,23 Menit,"Jan 7, 2020",Studio Deen,"Action, Adventure, Drama, Fantasy, Magic, Martial Arts"
19,Pet,ペット,6.53,Twin Engine,TV,Completed,13,23 Menit,"Jan 6, 2020",Geno Studio,"Mystery, Psychological, Seinen, Supernatural"
20,Isekai Quartet Season 2,異世界かるてっと 第2期,7.76,-,TV,Completed,12,12 Menit,"Jan 15, 2020",Studio PuYUKAI,"Comedy, Fantasy, Parody"
21,Phantasy Star Online 2: Episode Oracle,ファンタシースターオンライン2 エピソード・オラクル,6.55,-,TV,Completed,25,23 Menit,"Oct 7, 2019",Gonzo,"Action, Sci-Fi, Space"
22,Magia Record,マギアレコード 魔法少女まどか☆マギカ外伝 (TV),6.8,-,TV,Completed,13,24 Menit,"Jan 5, 2020",Shaft,"Drama, Magic, Psychological, Thriller"
23,Dorohedoro,ドロヘドロ,8.22,TOHO animation,TV,Completed,12,23 Menit,"Jan 13, 2020",MAPPA,"Action, Comedy, Fantasy, Horror, Seinen"
24,Kabukichou Sherlock,歌舞伎町シャーロック,6.91,"Mainichi Broadcasting System, Movic, Glovision, DMM pictures, Kadokawa",TV,Completed,24,24 Menit,"Oct 12, 2019",Production I.G,"Comedy, Drama, Mystery"
