,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Amagi Brilliant Park,甘城ブリリアントパーク,7.65,"Avex Entertainment, TBS",BD,Completed,13,24 Menit / Episode,"Oct 7, 2014 sampai Dec 26, 2014",Kyoto Animation,"Comedy, Magic"
1,Kamisama Hajimemashita Season 2,神様はじめました◎,8.27,"Dentsu, Sotsu",BD,Completed,12,23 Menit / Episode,"Jan 6, 2015 sampai Mar 31, 2015",TMS Entertainment,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural"
2,Strike the Blood Season 2,ストライク・ザ・ブラッドⅡ,7.28,"Movic, Warner Bros., KlockWorx, ASCII Media Works, Hakuhodo DY Music & Pictures",BD,Completed,8,25 Menit / Episode,"Nov 23, 2016 sampai May 24, 2017","Silver Link., Connect","Action,  , Fantasy, Supernatural, Vampire"
3,Strike the Blood,ストライク・ザ・ブラッド,7.36,"Movic, AT-X, Warner Bros., KlockWorx, ASCII Media Works, Showgate",BD,Completed,24,24 Menit / Episode,"Oct 4, 2013 sampai Mar 28, 2014","Silver Link., Connect","Action, Fantasy, Harem, School, Supernatural, Vampire"
4,Kamisama Hajimemashita,神様はじめました,8.13,"TV Tokyo, Dentsu, Sotsu, Pony Canyon, Hakusensha, DAX Production",BD,Completed,13,24 Menit / Episode,"Oct 2, 2012 sampai Dec 25, 2012",TMS Entertainment,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural"
5,Psycho-Pass Season 2,PSYCHO-PASS サイコパス 2,7.56,"Production I.G, Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, Kyoraku Industrial Holdings",BD,Completed,11,23 Menit / Episode,"Oct 10, 2014 sampai Dec 19, 2014",Tatsunoko Production,"Action, Police, Psychological, Sci-Fi"
6,Psycho-Pass,サイコパス,8.47,"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, Kyoraku Industrial Holdings",BD,Completed,22,23 Menit / Episode,"Oct 12, 2012 sampai Mar 22, 2013",Production I.G,"Action, Police, Psychological, Sci-Fi"
7,Kokoro Connect,ココロコネクト,7.97,"Starchild Records, Enterbrain",BD,Completed,13,24 Menit / Episode,"Jul 8, 2012 sampai Sep 30, 2012",Silver Link.,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
8,Beatless,BEATLESS,6.18,"Kadokawa Shoten, Mainichi Broadcasting System, Sony Music Entertainment, Good Smile Company, Animatic",TV,Completed,20,24,"Jan 13, 2018 sampai Jun 30, 2018",Diomedea,"Action, Drama, Romance, Sci-Fi"
9,Eromanga-sensei,エロマンガ先生,6.9,"Aniplex, Movic, ASCII Media Works, BS11, Kinoshita Group Holdings",BD,Completed,12,23 Menit / Episode,"Apr 9, 2017 sampai Jun 25, 2017",A-1 Pictures,"Comedy, Drama, Romance"
10,Darling in the FranXX,ダーリン・イン・ザ・フランキス,7.84,"Aniplex, Khara, Movic, Lucent Pictures Entertainment, Tokyo MX, Nagoya TV Housou, Asahi Broadcasting, BS11, Lawson, ABC Animation",TV,Completed,24,24 Menit / Episode,"Jan 13, 2018 sampai Jul 7, 2018","A-1 Pictures, Trigger, CloverWorks","Action, Drama, Mecha, Romance, Sci-Fi"
11,Dagashi Kashi,だがしかし,6.7,"Pony Canyon, TBS, DAX Production, BS-TBS, Other",BD,Completed,12,24 Menit / Episode,"Jan 8, 2016 sampai 01 April, 2016",feel.,"Comedy, Shounen, Slice of Life"
12,Gosick,GOSICK -ゴシック-,8.21,"TV Tokyo, Kadokawa Shoten, KlockWorx, Memory-Tech, NTT Docomo",BD,Completed,24,20 Menit / Episode,"Jan 8, 2011 sampai Jul 2, 2011",Bones,"Drama, Historical, Mystery, Romance"
13,Binbougami ga,Binbougami ga!,7.86,"TV Tokyo, Bandai Visual, Dentsu, other.",BD,Completed,13,23 Menit / Episode,"05 Juli, 2012 sampai 27 September, 2012",Sunrise,"Comedy, Parody, Shounen, Supernatural"
14,The World God Only Knows Season 3,神のみぞ知るセカイ 女神篇,8.26,"TV Tokyo, Geneon Universal Entertainment, Shogakukan",BD,Completed,12,24 Menit / Episode,"Jul 9, 2013 sampai Sep 24, 2013",Manglobe,"Comedy, Harem, Romance, Shounen, Supernatural"
15,The World God Only Knows Season 2,神のみぞ知るセカイ II,8.1,"TV Tokyo, Geneon Universal Entertainment",BD,Completed,12,23 Menit / Episode,"Apr 12, 2011 sampai Jun 28, 2011",Manglobe,"Comedy, Harem, Romance, Shounen, Supernatural"
16,The World God Only Knows,神のみぞ知るセカイ,7.9,Geneon Universal Entertainment,BD,Completed,12,23 Menit / Episode,"Oct 7, 2010 sampai Dec 23, 2010",Manglobe,"Comedy, Harem, Romance, Shounen, Supernatural"
17,Piano no Mori,ピアノの森,7.2,NHK,TV,Completed,12,25 Menit / Episode,"Apr 9, 2018 sampai Jul 2, 2018",Fukushima Gainax,"Adventure, Comedy, Drama, Music, School, Seinen"
18,Demi-chan wa Kataritai,亜人ちゃんは語りたい,7.77,"Aniplex, Kodansha, Kanetsu Co., LTD.",BD,Completed,12,23 Menit / Episode,"Jan 8, 2017 sampai Mar 26, 2017",A-1 Pictures,"Comedy, Fantasy, School, Seinen, Vampire"
19,Sword Art Online Alternative: Gun Gale Online,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,7.41,-,TV,Completed,12,23 Menit / Episode,"Apr 8, 2018 sampai Jul 1, 2018",Studio 3Hz,"Action, Fantasy, Game, Military, Sci-Fi"
20,Tada-kun wa Koi wo Shinai,多田くんは恋をしない,7.62,"Media Factory, AT-X, Docomo Anime Store, BS11",TV,Completed,12,24 Menit / Episode,"Apr 5, 2018 sampai Jun 28, 2018",Doga Kobo,"Comedy, Romance"
21,Megalo Box,メガロボクス,8.31,"TBS, Kodansha, Bandai Namco Arts",TV,Completed,13,24 Menit / Episode,"Apr 6, 2018 sampai Jun 29, 2018",TMS Entertainment,"Action, Drama, Sci-Fi, Shounen, Slice of Life, Sports"
22,ReLIFE,ReLIFE,8.19,"Aniplex, Half H.P Studio, comico, Hakuhodo DY Media Partners, Lawson, C & I entertainment",BD,Completed,13,23 Menit / Episode,"Jul 2, 2016 sampai Sep 24, 2016",TMS Entertainment,"Romance, School, Slice of Life"
23,Clockwork Planet,クロックワーク・プラネット,6.59,"TBS, Kodansha, NBCUniversal Entertainment Japan, NichiNare, GYAO!",TV,Completed,12,24 Menit / Episode,"Apr 7, 2017 sampai Jun 23, 2017",Xebec,"Fantasy, Sci-Fi"
24,Golden Kamuy,ゴールデンカムイ,7.69,"NBCUniversal Entertainment Japan, Tokyo MX, Twin Engine",TV,Completed,12,23 Menit / Episode,"Apr 9, 2018 sampai Jun 25, 2018",Geno Studio,"Action, Adventure, Historical, Seinen"
