,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Yuru Yuri,ゆるゆり,7.61,"TV Tokyo, Daume, Sotsu, Pony Canyon, DAX Production, Studio Gram, PRA, Jumondo",TV,Completed,12,23 Menit,"Jul 5, 2011",Doga Kobo,"Comedy, School, Shoujo Ai, Slice of Life"
1,Gatchaman Crowds Season 2,GATCHAMAN CROWDS insight（インサイト）,7.32,-,BD,Completed,12,23 Menit,"Jul 5, 2015",Tatsunoko Production,"Adventure, Sci-Fi"
2,Gatchaman Crowds,ガッチャマン クラウズ,7.35,"VAP, DAX Production, Nippon Television Network",BD,Completed,12,23 Menit,"Jul 13, 2013",Tatsunoko Production,"Adventure, Sci-Fi"
3,Denpa Kyoushi,電波教師,6.93,"Yomiuri Telecasting, Shogakukan",TV,Completed,24,23 Menit,"Apr 4, 2015",A-1 Pictures,"Comedy, Romance, School, Shounen"
4,Higashi no Eden,東のエデン,7.85,"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment",BD,Completed,11,23 Menit,"Apr 10, 2009",Production I.G,"Action, Drama, Mystery, Romance, Sci-Fi, Thriller"
5,Inu x Boku SS,妖狐×僕SS,7.5,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic",BD,Completed,12,24 Menit,"Jan 13, 2012",David Production,"Comedy, Romance, Shounen, Supernatural"
6,Soredemo Sekai wa Utsukushii,それでも世界は美しい,7.71,"VAP, Hakusensha, Nippon Television Network",BD,Completed,12,22 Menit,"Apr 6, 2014",Studio Pierrot,"Adventure, Fantasy, Romance, Shoujo"
7,Devilman Crybaby,DEVILMAN crybaby,7.89,"Aniplex, Dynamic Planning, Netflix",ONA,Completed,10,25 Menit,"Jan 5, 2018",Science SARU,"Action, Dementia, Demons, Horror, Supernatural"
8,Shiki,屍鬼,7.82,"Aniplex, Dentsu, Fuji TV, DAX Production, Shueisha",BD,Completed,22,22 Menit,"Jul 9, 2010",Daume,"Horror, Mystery, Supernatural, Thriller, Vampire"
9,Sengoku Basara Season 3,戦国BASARA Judge End,6.89,"VAP, Nippon Television Network",TV,Completed,12,24 Menit,"Jul 6, 2014",Telecom Animation Film,"Action, Historical, Martial Arts, Samurai, Super Power"
10,Sengoku Basara Season 2,戦国BASARA 弐,7.59,"Dentsu, Shochiku, Mainichi Broadcasting System, Pony Canyon, Movic, flying DOG",TV,Completed,12,24 Menit,"Jul 11, 2010",Production I.G,"Action, Historical, Martial Arts, Samurai, Super Power"
11,Sengoku Basara,戦国BASARA,7.41,"Dentsu, Shochiku, Mainichi Broadcasting System, Movic, flying DOG",BD,Completed,12,23 Menit,"Apr 2, 2009",Production I.G,"Action, Historical, Martial Arts, Samurai, Super Power"
12,Kuusen Madoushi Kouhosei no Kyoukan,空戦魔導士候補生の教官,6.46,flying DOG,BD,Completed,12,23 Menit,"Jul 9, 2015",Diomedea,"Action, Drama, Fantasy, Magic, School"
